http://movie.douban.com/subject/2190919/	梅花三弄之鬼丈夫
(4星)	 梅花三弄，久远的记忆。也是难得和母辈兴趣的交集之一。            
(2星)	 只记得里面的妞嗓门一个比一个大，嘴一个比一个大，胸一个比一个小，还裹得严严实实            
(5星)	 小时候我妈都不明白我为什么一看就哭，伯拉图启蒙剧，鸳鸯锦可以听到８０岁            
(5星)	 我非爱你绝美的容颜            
(NA)	 秋冬萧瑟的味道            
(3星)	 小时候当恐怖片看的            
(4星)	 初中的记忆，我和我妈坐在地板上，边看边抹眼泪。梅花三弄里面我最喜欢的还是这部，很感人。            
(NA)	 小时候怀揣着刺激兴奋的心情看此片，就想等着看那鬼到底什么样，结果很失望            
(4星)	 乐梅真有气质啊            
(4星)	 那时还真以为有鬼～            
(2星)	 嗯……我想不起来了……            
(4星)	 不错。            
(2星)	 什么东西啊，都想不起来了。            
(4星)	 鬼脸面具其实有点吓人的            
(5星)	 那会我才小学啊            
(5星)	 我的生命是系在他的生命上，不是他的脸上            
(3星)	 男主角不是我哈的类型            
(4星)	 80后谁没看过呀，，，            
(5星)	 小学时期的美好回忆！小时候跟外婆、小姨一起看的！            
(NA)	 岳翎好漂亮!!!!!!            
(3星)	 这个太鬼畜了0，0            
(4星)	 还不错也            
(3星)	 其实没印象了 看的时候太小了             
(4星)	 当时觉得这是世上最悲伤的故事。            
(3星)	 李志希带上面具还是帅些有点歌剧魅影的意思            
(3星)	 久远回忆            
(4星)	 好吧，我也曾经喜欢琼瑶            
(3星)	 三部曲之二            
(3星)	 当时觉得那个面具还挺恐怖的，不过好像这部哭戏最多            
(3星)	 当时挺惧的            
(4星)	 梅花三弄里我最爱的一部            
(3星)	 岳翎的哭相真是超美……            
(3星)	 当初看的时候就觉得起轩太会泡妞了，那种忽远忽近若即若离还保留神秘感的做法谁都会情不自禁吧            
(3星)	 就知道那男的被烧坏了，其他没啥印象了            
(4星)	 有些搞忘了，但是看过很多遍。            
(3星)	 女主角不是陈德容，小时候觉得很奇怪            
(4星)	 梅花三弄中这一部最好。。。            
(3星)	 唯一吓哭过我的影视作品            
(5星)	 ！！！！！！！！！！！！！！！！！！！！            
(5星)	 童年阴影 吓得一逼            
(3星)	 琼瑶阿姨是个毒 ...            
(4星)	 纠结的开始……            
(3星)	 岳翎还是灵气            
(5星)	 那时候看有点害怕。现在想来很是感人。            
(3星)	 全凭当年的感觉 那个年代这也不放过 哈哈            
(NA)	 琼大娘...            
(NA)	 其实这部片子教育了我们：相貌其实并不重要            
(3星)	 你能相信李志希這么正經嗎？            
(3星)	 起轩，温谦如玉            
(3星)	 那个年代啊，一开始还很胆小，见到面具            
(4星)	 李志希像马英九哈～            
(NA)	 所谓童年...=w=            
(4星)	 童年记忆+同桌            
(NA)	 啧啧            
(NA)	 也是陪我娘看的~            
(3星)	 小时候每次鬼丈夫一出来麻麻都要给我蒙上眼睛o(*////▽////*)q             
(2星)	 三弄最不喜欢这弄了 = =~            
(3星)	 那家伙，绝逼是一部恐怖片            
(3星)	 几部曲里最不爱的            
(NA)	 小学时候还能看一点琼瑶剧，不敢复习，否则必然会恶心到自己            
(NA)	 觉得很恐怖            
(2星)	 我小时候把这当恐怖片看。。            
(NA)	 怀旧下~            
(3星)	 好吓淫~            
(NA)	 他丈夫要拿下面具得时候~直接把我吓哭了~当时太小了            
(3星)	 。。            
(4星)	 看得我不敢晚上不敢睡觉……            
(3星)	 回不去的童年            
(3星)	 演员换了，看得不是很起劲，没人叫唤了啊            
(4星)	 我记得今年不知什么时候又仔细翻出来看了一遍，岳翎的美好柔弱，乐梅可以说是她演绎的最喜欢的一个角色；每每看到柯起轩对乐梅流露的眼神，那真是不停不停的思念。            
(NA)	 我妈爱看            
(NA)	 我当年爱看到买了全套VCD            
(3星)	 一点点的记忆            
(4星)	 喜欢乐梅，人间奇女子。            
(3星)	 小时候看的。女猪脚啊，天天哭天天哭！她的眼睛怎么不肿？？            
(3星)	 因为有“鬼”字...幼小无知的我总以为是鬼片= =            
(4星)	 岳翎漂亮。梅花三弄里最喜欢的一弄。不过已经忘记为什么了。。- -            
(2星)	 草，哭得人烦死了            
(5星)	 鬼丈夫是三弄中最出色的！            
(NA)	 那时还很小很小            
(4星)	 没怎么看完，看过书            
(5星)	 这个...小时候的阴影,现在想想都怕的,枉我看了那么多恐怖片,全然不及这个有力            
(4星)	 只记得很小很小的时候，妈妈，姐姐，看着看着都会哭。            
(5星)	 经典！            
(4星)	 琼瑶就是全世界            
(3星)	 我的少女时代的记忆...没有完整看过,却是欢喜的...            
(2星)	 最不喜欢这部~~恐怖呢~            
(3星)	 梅花二弄 費思量            
(4星)	 三弄里最好的～            
(3星)	 那张脸真是“有一种想看不敢看的冲动”            
(3星)	 鸳鸯锦            
