http://movie.douban.com/subject/2190925/	鉴证实录 鑑證實錄
(5星)	 另一鼻祖，什么也不说了，经典也绝配。            
(3星)	 我很喜欢看里面那个GAY            
(4星)	 港剧精品。            
(5星)	 巨讨厌 小唐菜            
(NA)	 当年我是多么讨厌小唐菜啊。。。            
(5星)	 太讨厌小唐菜了            
(5星)	 挺林保怡!挺陈慧珊!            
(5星)	 一集不差跟着电视看下来。那时候我才多大？            
(5星)	 早期的港剧，这个堪称经典            
(4星)	 我爱侦探剧~            
(4星)	 小学时看吓死了            
(3星)	 陈慧珊特别特别的有气质 赞            
(4星)	 高中时代的记忆            
(4星)	 温故知新，各种儿时记忆，各种90年代的三角恋（奇艺 H 110523凌晨2:24-0525 4:29完）            
(4星)	 印象最深的是小棠，好喜欢她哦！他妈的最后还被杀死了嘤嘤嘤            
(4星)	 我重看了 很喜歡            
(5星)	 当年就喜欢TVB的推理破案片儿。            
(5星)	 聂宝言和曾家原，你们要永远在一起！ 2004,7            
(NA)	 这部片子捧红了林保怡和陈慧珊之后便有了他们联袂的《妙手仁心》晓棠菜，李珊珊当年也红过很多年后却只能沦为女主角的女友，男主角的前女友96年的港姐，际遇谁也无法获知            
(5星)	 经典港剧，高中时代的美好回忆！电视剧里有个小警察角色是蒋克扮演的，我一直觉得他很帅！！            
(5星)	 重新看了一遍             
(5星)	 97童年回忆系列            
(5星)	 绝对的经典            
(NA)	 小时候可爱看了。            
(5星)	 那时候百看不厌。            
(5星)	 喜欢陈知性的气质~还有林的幽默            
(4星)	 属于陈慧珊和林保怡的荧幕情侣时代            
(NA)	 未完            
(4星)	 虽然男主角有点。。。。            
(4星)	 我小时候喜欢的。            
(5星)	 港版CSI.            
(4星)	 好吧，这批电视剧我确实看过。。            
(5星)	 牛b啊            
(4星)	 还是比较经典的            
(4星)	 久远回忆            
(5星)	 就看这个知道法医有多神！            
(4星)	 推理性不那么强了，还是很不错的            
(4星)	 陈慧珊好美哎呀。            
(5星)	 还是以前的港剧给力…            
(NA)	 小学吧！港剧巨风靡            
(5星)	 那时候的TVB在我心里是神一样的存在啊！！！！！            
