http://movie.douban.com/subject/2190927/	刑事侦缉档案
(4星)	 还是以前的电视剧好看哦            
(4星)	 内地翻译叫《无敌刑警》吧？！小时后难得心动的电视剧~~            
(4星)	 经典            
(4星)	 让我对推理剧至今情有独钟～～不过金田一才是最高～～            
(5星)	 TVB刑侦剧的鼻祖啊巅峰啊。。。            
(5星)	 挺郭可盈!挺陶大宇!            
(4星)	 久远回忆            
(5星)	 香港警察从此让我肃然起敬            
(4星)	 作为TVB一代经典系列的开端还不错，那时的案子编得比现在要曲折，我仍旧记得小学时和同学讨论可儿杀人的高招和蓝恩美的诡异。几个人物也非常立体鲜明，为这一系列的辉煌打下了坚实的基础。            
(4星)	 看得最早、最多次的破案题材电视剧~~            
(5星)	 超爱啊            
(5星)	 无敌爱看            
(4星)	 当时觉得陶大宇和郭可盈好搭啊~有些案子还蛮喜欢~记得是4部~            
(2星)	 其实故事还不错，但我太讨厌陶大宇了，反感他的长相和戏路，总之就是不想看到他            
(3星)	 边吃边睡边带着看看，剧情超弱智的。。用脚趾头都能想出怎么破案。不过看到熟悉的人们还是很亲切            
(4星)	 陶和郭这对老熟脸。            
(5星)	 上初中时跟外婆一家一起看的            
(3星)	 认识陶大宇的片|||||||||            
(5星)	 看过无数遍了吧            
(3星)	 不是特别喜欢            
(4星)	 小时侯很能放，一放就看            
(4星)	 港剧            
(4星)	 当年我连看五部啊……            
(4星)	 竟然都17年过去了!!那时候郭可盈的小圆脸多好看 后来整什么容啊!!!            
(4星)	 小时候一直看半夜也看！！            
(4星)	 有钟汉良的客串，有忠义的美少女卫衣，有小青，还有讨人嫌的郭靖他妈            
(4星)	 电视经常放得嘛。小时候。            
(5星)	 04            
(NA)	 哇 童年的港剧            
(5星)	 最经典            
(3星)	 我记得还来了大陆一次~~哈哈！            
(4星)	 好经典的系列剧。时代荧幕情侣和侦探剧的翘楚。            
(4星)	 看过的第一部TVB            
(4星)	 开始添加TVB...            
(4星)	 HY给我推荐的 还有点好看 虽然有些剧情稍显幼稚            
(4星)	 陶大宇为神马时时刻刻看着都觉得他倍冲动？            
(5星)	 简直就是经典中的经典!            
(5星)	 小时候一直希望他俩能够在一起            
(4星)	 好看            
(3星)	 喜欢郭可盈不喜欢陶大宇。            
(5星)	 看过好几次重播，还是大爱。            
(4星)	 小时候特别崇拜陶大宇            
(5星)	 看的第一部YVB啊。。。。            
(NA)	 想再重温一遍，被吓的不轻……            
(NA)	 \            
(5星)	 初中时候的记忆了。。。            
(5星)	 TVB大经典            
(4星)	 想当年我看得如痴如醉            
(3星)	 苏玉华真不错            
(NA)	 记得舅妈说 看香港的警察多帅            
(5星)	 可盈，女神3。。            
(5星)	 有个案子还是没搞清楚，至今念念不忘。            
(5星)	 最喜欢的港剧            
(4星)	 经典            
(5星)	 刑事系列非常好看。            
(3星)	 说实话没看完整            
(5星)	 小时候好爱的~            
(4星)	 早期探案，个人觉得不算经典。没有法政先锋系列好，不知道是演员还是案件的原因。不喜欢早期这个色调，总觉得阴暗，即使是大太阳天也觉得阴暗。没有喜欢的演员，案件觉得故弄玄虚了，蓝恩美那个案件愚昧之意更甚。虎头蛇尾的感觉，或许每个探案剧都是这种感觉，但是此剧更明显。少数地方被吓着了。            
(4星)	 当年是有多喜欢啊！！             
(5星)	 我小时候好喜欢看的啊！！！            
(5星)	 绝对5星            
(4星)	 重温            
(NA)	 我对香港刑侦剧一直无爱的。。。但是小时候电视台一直播。。。所以每次看到TVB刑侦剧就想到下雨无聊的周末下午            
(4星)	 算是经典            
(NA)	 结尾应该是陶大宇喊失忆要离开的高婕，“如果你还记得我，就回过头来看我一眼”            
(4星)	 儿时的记忆            
(5星)	 陶大宇长得跟我爸爸好像……泪奔……            
(NA)	 经典            
(4星)	 为毛看着苏玉华就这么不自在            
(4星)	 Golden Times            
(5星)	 整个童年的阴影链 全是迷信和主观主导的杀人故事            
(4星)	 以前很喜欢，在大学的时候又把这几部从头看了一遍。            
(5星)	 经典啊经典~            
(NA)	 这一系列我都喜欢~!            
(4星)	 这个真是难得的几部戏都能保持同一水准的港剧，简直是个奇迹啊！！            
