http://movie.douban.com/subject/2210241/	贫嘴张大民的幸福生活
(5星)	 ……大民，给妈来块儿冰。。。。。。。。求同好！！            
(1星)	 没有尊严，就没有幸福。没有追求，就莫谈人生。为什么不追问这种悲剧，而去拿一个漂亮女人抵账？这就是幸福？可悲。            
(NA)	 这个真不错            
(5星)	 嗷嗷好看的电视剧，这里的大民相对于冯巩的那个天津贫嘴更加憨厚可爱，可能是因为体型的问题，一个丝瓜肠子就算再怎么实在也不如一个茄子蛋来得讨喜，记得我妈当时看的时候说云芳一脸克夫的长相，还记得他妈老年痴呆后一个劲儿的猛嚼冰，大雨怀了之后一个劲儿的猛吃圣代，最小的那个重考生，在追上了女孩子之后说了一句暴经典的，我是一个高尚的人，可，我有点忍不住了            
(3星)	 比起电影版差点意思 不过主题曲很棒啊！            
(4星)	 我太喜欢年轻时候的朱媛媛了~~            
(5星)	 娶媳妇儿就应该娶毛莎莎内样儿的，心思活络有人情味儿，即便你是个窝囊废她也爱你            
(4星)	 平平淡淡才是真。            
(4星)	 喜欢上憨厚的他            
(5星)	 幸福虽然很奢侈，但它可以很平凡。            
(5星)	 看着乐呵呵的张大民，一声叹息            
(4星)	 其实我以前可喜欢张大民这样的贫嘴爷们了 可后来逐渐喜欢文艺小青年了 现在我想喜欢个爷们和小青年的合体 恩 不知道怎么样            
(3星)	 初中时看~大民下岗了，每天去有空调吹的大商场吃臭豆腐            
(5星)	 当年可爱看啦，还记得儿子叫张树，哈哈            
(NA)	 生活象一杯酒            
(5星)	 特喜欢！！！我最爱的内地连续剧之一！！小人物们的黑色幽默处处却又透着点儿温情~真实！            
(4星)	 我能给我儿子起名叫长袜子嘛。。。咱叫张树。            
(NA)	 这好看            
(5星)	 不贫。。。            
(3星)	 简介说的是天津，，，，            
(NA)	 这个胖子演得也很可爱            
(3星)	 不乐意看            
(4星)	 原著不错            
(3星)	 北京贫老爷们儿的幸福生活            
(4星)	 家喻户晓的连续剧，北京生活~            
(4星)	 99年就告诉大家 没事儿别喝国产牛奶！~            
(4星)	 朱媛媛是贤妻良母型的、            
(5星)	 爱嚼冰块的大妈            
(5星)	 就是好            
(4星)	 风靡一时阿            
(5星)	 超级喜欢这部电视剧，百看不厌，这就是真实的北京，善良的北京，永远值得全世界人民热爱的北京我的家！            
(5星)	 平凡的日子也有情            
(5星)	 哭着笑了 笑着哭了            
(5星)	 纯爷们~            
(4星)	 小时候看的            
(4星)	 感觉没有冯巩的《没事偷着乐》好看！            
(3星)	 那个时候大家都看过吧            
(4星)	 艺术的写实。小柯包办的音乐很棒！            
(3星)	 老顽童说张大民是他徒弟            
(5星)	 李云芳是个好媳妇.            
(5星)	 中学那会儿最爱的大陆剧了~京腔儿&amp;那点子事儿！            
(4星)	 我不是张大民！但是有他那样的精气神也不错。            
(5星)	 看了无数遍~插曲也很经典            
(4星)	 这个豆瓣的剧情介绍怎么是电影版的呀~真乌龙-_-!            
(5星)	 梁冠华，对得起这名字啊            
(4星)	 苦涩的幸福            
(4星)	 喜欢贫民式的幽默，生活中的大智慧。一个家庭需要精神支柱，需要维护和发展，张大民就是这样的支柱。尽管被误解，尽管没利益，但是他的坚持就是对母亲的承诺。            
(5星)	 百看不厌，就是太短            
(NA)	 霍思燕也在里面？真不记得了……啥剧情都忘了，就记得他家里有棵树，他儿子叫张树            
(5星)	 也当年看的之哭 张大民在我心中的爷们形象不亚于鬼冢英吉            
(3星)	 果体！            
(5星)	 太好看啦！            
(5星)	 百看不厌            
(3星)	 当年只看了几集，还凑合。            
(4星)	 大雪还真是惊艳到了            
(5星)	 写情节容易，写生活难。            
(5星)	 李木勺 你笑死我            
(NA)	 我怎么看过这么多电视剧!!            
(3星)	 电视剧版不如电影版好看            
(3星)	 那个胖子 哈哈            
(3星)	 [昔时所看] 应该没怎么看全，98年讨论住房问题，现在看来还真有点小巫见大巫了……            
(4星)	 我是惊叹于“大雪”的变化，曾经那清纯的霍思燕儿啊。            
(5星)	 残忍但是真实的生活，让你窝心，让你流泪            
(5星)	 真经典 真幸福            
(NA)	 六年级            
(5星)	 所有演员均表现精彩，主题曲也深入我心！            
(5星)	 好看的            
(NA)	 小人物也可以有幸福            
(5星)	 这才是真正的奋斗，底层人民的奋斗            
(NA)	 特别生活            
(5星)	 几乎每个演员都演的很棒            
(3星)	 根据刘恒的小说改编 小人物的故事            
(3星)	 够贫的，小人物的甜酸苦辣            
(3星)	 小树            
(5星)	 清晨的茂美年华夕阳无限一瞬间成群白鸽沙沙的响又是新的一天            
(5星)	 小人物的幸福生活，有悲喜，有离合。            
(NA)	 根据刘恒的小说改编的小说是不错的。本身刘恒也是一位编剧            
(NA)	 挺真实的            
(2星)	 电视剧没有电影好看。现在看见梁冠华这张脸我就难受。            
(4星)	 你哪庙的？我要吃冰！            
(5星)	 好好活着。            
(4星)	 所谓的幸福生活             
(5星)	 这个片子也是我很喜爱的。            
(NA)	 幻想的电视剧，现实中不存在的东西，无聊，浪费资金，不如把钱拿出来拍点精品...            
(3星)	 生活多不易啊            
(4星)	 朱媛媛版云芳            
(5星)	 生活本身就这么逗 原声太牛比了 小柯！            
(4星)	 挺好看的其实            
