http://movie.douban.com/subject/2212156/	家有仙妻
(4星)	 小时候笑翻过去的电视剧……留在回忆比较好！千万别让我重温……            
(4星)	 他总是~只留下电话号码~~            
(5星)	 现在才发现林以真好像我妈！我终于知道为什么我爸那时候特喜欢林以真www            
(4星)	 我还会唱主题曲呢。            
(4星)	 当时特别希望自己也有个那个手镯。            
(4星)	 记忆中超逗的片子，还有那首《失恋阵线联盟》。不过后来有机会重看，结果看了5分钟就看不下去了...看来记忆中的还是最美啊~~            
(4星)	 才知鼻孔可以这么大            
(5星)	 从小我就想要一内样的镯子            
(5星)	 恩，草蜢的歌太经典            
(3星)	 光记得主题曲挺好听的……            
(5星)	 这也是小时候大爱的剧            
(5星)	 那个神奇的手镯～            
(4星)	 儿时的回忆，我现在只记得镯子和片头曲了            
(5星)	 小时候嚼着太有感了            
(4星)	 影片和歌曲都不错，很温情的轻喜剧~            
(5星)	 牛逼            
(5星)	 泪流满面啊……            
(NA)	 zhu ti ge shi cao meng chang de.            
(4星)	 没看过二，因为知道剧情大不一样了！            
(1星)	 闹剧            
(5星)	 幼年最爱。搞笑又善良。一听到主题曲会开心地跳起来，哭过笑过，初中疯狂地找过。            
(NA)	 豆瓣推荐的！            
(5星)	 很喜欢这个片子呀！            
(3星)	 镯子！镯子！那句咒语怎么说来的？            
(3星)	 太可怕了。想到家有仙妻就想起北源的小凤仙            
(3星)	 神奇的玉镯啊 我也想要一个~~            
(4星)	 多少年了呀            
(5星)	 这个太有爱了            
(5星)	 我现在还梦想有那么一只镯子            
(NA)	 小时候有一个塑料镯子，仿玉的，白色里带一点翠。因为看这个剧，所以也天天戴着，希望它能带给我一点好运。看到最后一集的时候哭了，因为这么喜欢的一个电视剧，居然会有放完的一天，觉得不可思议。至今记得最后一集里，主创们说这部剧的拍摄期是“七个星期”。            
(NA)	 大家好像都喜欢女二号            
(5星)	 对台剧的初体验。            
(3星)	 哇喔~~那時候的孫興~戈偉如~那叫一個正阿             
(4星)	 又一部除了名字，其它啥也想不起来的电视剧。            
(5星)	 内时一遍一遍看，都不腻！            
(NA)	 时间太久记不住了。            
(4星)	 戈伟茹 去死!            
(4星)	 其实也没什么印象了，不过记得还挺搞笑的。            
(4星)	 经典            
(5星)	 当年好爱~            
(4星)	 主題曲!            
(4星)	 那姑娘挺漂亮的            
(4星)	 这都能翻出来··            
(NA)	 有点儿忘记了。            
