http://movie.douban.com/subject/2213657/	一剪梅
(5星)	 经典民国剧，为保护小镇，娶别人女儿，放弃自己爱人，导致错综复杂纠纷，两代人恩怨情仇，寇世勋很深沉，李烈很豪爽，沈海蓉很倔强，张晨光搞笑             
(NA)	 记不得剧情了，主题曲印象深刻            
(3星)	 寇世勋搞爱情看得人有滴麻            
(3星)	 台湾版《红字》，粗糙了些。主题歌被费玉清大叔那把嗓子表现得很好！            
(3星)	 主题曲映像模糊了……            
(3星)	 很久远的故事老……            
(3星)	 主题曲比电视剧还要有名～            
(2星)	 回不去的童年            
(NA)	 小哥的歌~~            
(4星)	 真情像草原广阔 层层风雨不能阻隔　　总有云开日出时候 万丈阳光照亮你我　　真情像梅花开遍 冷冷冰雪不能掩没　　就在最冷 枝头绽放 看见春天走向你我　　雪花飘飘北风啸啸 天地一片苍茫　　一剪寒梅 傲立雪中 只为伊人飘香　　爱我所爱无怨无悔 此情长留心间            
(3星)	 那时候真是没什么电视看。。。            
(5星)	 主题曲很好听            
(3星)	 不喜欢这个版本的沈心慈，太没有说服力了，李烈的万秋玲多好啊。            
(4星)	 歌太好听了            
(4星)	 当年的电视剧             
(3星)	 爱我所爱无怨无悔            
(5星)	 这首歌的普及率~~哈哈~~            
(4星)	 话说当年我最喜欢看女主晕了，我是不是有病啊~囧rz            
(3星)	 1984            
(3星)	 真情像草原广阔，层层风雨不能阻隔总有云开日出时候，万丈阳光照亮你我。            
(NA)	 一剪梅            
(4星)	 曾经的记忆            
(NA)	 会唱歌却不记得剧情。或者根本没看过……            
(3星)	 主题歌比剧集更令人难忘。            
(4星)	 清纯老台剧。            
(3星)	 那个年代的主题曲似乎都很靠谱，过了很久还是不能忘怀            
(3星)	 真情像梅花开过，冷冷冰雪不能淹没。。。。多少年过去了，这首歌依然深刻，虽然故事已经不再记得了。            
(3星)	 貌似很早以前看的。            
(NA)	 很老很老，我都没有记忆的时候好像            
(3星)	 还是歌的印象最深            
(5星)	 童年回忆            
(3星)	 。            
(NA)	 原来是梅花三弄那个福晋            
(4星)	 太老了，连我都记忆模糊            
(4星)	 就为那首歌            
(4星)	 很美的歌。            
(NA)	 歌太熟悉            
(3星)	 我只记得这主题歌了。看在咱妈喜爱的份上给3分            
(5星)	 文字无力            
(NA)	 没太看懂，当时老师叫大家不要看才引起我的兴趣            
(5星)	 因为这首歌，一剪梅一度成为我最爱的词牌名。            
(4星)	 剧情已经不记得了。。只留下 费玉清的《一剪梅》            
(4星)	 当年的电视剧好像都很经典            
(3星)	 记得用二胡和吉他练习过同名主题曲            
(NA)	 后来的清河绝恋就是从这里改编的。费玉清唱的主题曲。            
(NA)	 岁月留影            
(3星)	 a nice song             
(NA)	 当年第一次看到的台湾剧，歌曲印象比较深，费玉清清澈温润的嗓音展开的真情倾诉带点淡淡的忧伤，仿佛缕缕梅香飘开。。。            
(3星)	 应该看过吧            
(3星)	 啊。。应该是看过的            
(3星)	 童年记忆            
(NA)	 已经都快忘记是什么剧情啦            
(4星)	 早年            
(3星)	 剧情早已淡忘，但依然记得那首经典的歌“一剪梅”            
(NA)	 太老了            
(NA)	 非常模糊，也许那时年纪太小，主要去记忆动画片了……            
