http://movie.douban.com/subject/2216963/	戏说乾隆续集之海宁断案
(NA)	 三年级暑假~            
(4星)	 当时没有现在觉得红姐不好看，但是有演技是真的。            
(4星)	 没有第一部好看            
(3星)	 大江大水天自高啊眼睛快点亮了。。。戏说系列的主题曲俺平时都爱哼哼。。。            
(4星)	 记得惠英红再戏中的名字小时候觉得很绕口。还记得她跳舞。然后这部的结尾曲还是主题曲也好听            
(3星)	 小时候的回忆，都记不真切了            
(NA)	 较第一部差了很多            
(4星)	 分开了            
(5星)	 还记得那个时候在我们市电视台放的时候，总会有一段现在看来很搞怪的介绍——为感谢全市人民的厚爱，某某公司特点播《戏说乾隆》，愿广大市民度过一个清凉的夜晚。            
(NA)	 讨厌姜辛，画虎不成反类犬版的程淮秀，还一身苦大仇深的样子。黎美娴也不适合伪女强人。            
(3星)	 帅啊            
(4星)	 我喜欢姜辛，“没成亲，但他是我男人！”好有气魄啊，陈墨福气不浅。            
(4星)	 这个电视剧很长很长            
(5星)	 那时候  周围全是            
(3星)	 最深的记忆就是惠英红的骨头好软。。。。。。            
(4星)	 英红姐姐，当年甚美！            
(4星)	 这片子后来就很少重播了。我记得赵雅芝在里面后来是死掉了的。            
(NA)	 海宁，印象里的地方，也是看了戏说乾隆对他记忆深刻，今天来到这里来，虽然是一名老师的身份，但也使我想起了曾经看过的：戏说乾隆            
(3星)	 不错            
(NA)	 想当年我是多么地爱...哇咔咔            
(3星)	 没有赵雅芝            
(3星)	 怀念``            
(2星)	 明显不好看，化妆都差了好多            
