http://movie.douban.com/subject/2221723/	情剑山河
(4星)	 看完不十分记得大小周后，倒是对京娘印象深刻。            
(5星)	 还是上小学时候看的呢，到现在还很喜欢电视剧里很多歌曲。            
(5星)	 年少的我是多曾迷恋小白脸李煜哟...            
(5星)	 终于找到这部电视，当年我那么小，那么爱李煜。            
(4星)	 李后主对爱好窝囊，而且大周后美成那个样子，你爱她妹啊？！            
(4星)	 小时候特别不明白为什么李煜会移情别恋爱上小周后~~~娥皇多美啊~~~            
(3星)	 15集之后大周后死了，就等着看周佳敏的报应了...这个剧里的李煜和赵匡胤相比差太多了，所以不能像绝代双雄那样的强强CP。关咏荷在里面太尴尬了吧....            
(3星)	 赵匡胤千里送金娘            
(5星)	 爱上李煜的词，从这部电视开始。小时候的记忆总是最美的。            
(4星)	 小时候看的，当时觉得小周后很漂亮……            
(4星)	 小时候觉得小周后好美，李煜很帅很无能，赵匡胤很性感~片尾曲我还会唱~记忆力太好了~            
(5星)	 第一次看多角恋题材，还是历史剧，好爱啊好爱啊            
(3星)	 昨天看电视上讲到李煜 突然想起来我还看过这个电视剧涅。。            
(5星)	 这几天重读李煜那些词，忽然想起自己还看过这么一个帅得惊天动地爱得死去活来的剧……当时好像都觉得赵匡胤帅哦，李煜也帅但是比不上呢            
(NA)	 原来找了半天的连续剧就是这本.原来那个我想了半天不知道是谁的人就是何晴.囧            
(4星)	 小时候看的我还想再看看            
(5星)	 但凡给该剧四星以下的同学都应该去检讨一下自己的审美。你哪里还见过何晴这么美的大周后？何晴眼角眉梢那种闺门旦的古典气韵，还有在剧中朵髻纤裳的雍容形象，史书上说大周后“有国色”，何晴恰如其分。当然，关咏荷和赵匡胤的那段“千里送京娘”、小周后被强幸的片段都很精彩。            
(NA)	 里面的歌，词美，曲子好听，小学就会对着电视机抄歌词。            
(NA)	 只为大周后            
(3星)	 很早以前看过。。            
(5星)	 李煜额！            
(5星)	 背李煜最初的动力~ 看完小周后和李煜劈情操之后就没意思了= =            
(4星)	 童年的回忆啊            
(4星)	 记得很喜欢里面的歌~            
(5星)	 小学四年级看的，好喜欢好喜欢^_^            
(3星)	 小时候就觉得秦风最帅            
(NA)	 咳咳，忽然想起我在豆瓣建的第一个2笔小组就是我们都爱看囧剧小组~            
(4星)	 李煜这个渣男，除了词写的好，一无是处。            
(3星)	 哈哈，小时候看的            
(3星)	 当时还未没看到大结局而遗憾。现在觉得这种三地合拍剧真的很混乱，质量不高，感觉不搭。            
(4星)	 赵匡胤是蒋介石演的……何晴太美了，活该李后主亡国，这么没眼珠……插曲好听……人生长恨水长东            
(4星)	 小时候看过……赵匡胤配音好个性啊！曾经很天真的以为这就叫磁性。长大以后才知道尼玛这叫鼻炎……坑爹            
(3星)	 只记得名字            
(4星)	 终于找到很小时候看的这部剧的名字了OTL....现在想来赵匡胤和李煜真是腐啊什么时候再看一遍好了.....            
(NA)	 惊鸿一瞥，难以自拔，同情赵光胤，小周后很娇憨            
(4星)	 小时候hold不住。。。            
(4星)	 只记得何晴美的不像话 居然还是被小三了            
(4星)	 流水落花春去也，天上人间。             
(4星)	 好怀念的电视剧...            
(3星)	 我心目中的后主，稍有点过于娘了吧。            
(3星)	 看到评论发现原来看过，夏天，主题曲不错            
(5星)	 看过以后南唐成了我的最爱之一，五代十国历史也学得很好~~TV作用真大            
(4星)	 小时候的回忆啊            
(5星)	 当时觉得大周后无比的漂亮 绝代。。。。。            
(4星)	 小时候确实喜欢赵匡胤            
(3星)	 长大后再看，有的地方还真雷            
(4星)	 何晴是真的美人儿，当时还是单纯，觉得就该女主被爱。其实现在想来，李煜应该就爱上大周后，至于小周后，就接受赵匡胤吧。这样也不至于到最后大家都如此不堪            
(2星)	 只冲着何晴，其他略            
(4星)	 自此萌重光            
(4星)	 大周后美，女杀手美，别的就不得了。            
(4星)	 说实话，这个里面的李后主比吴奇隆那版风流倜傥不知多少倍！！！            
(NA)	 内容不太记得了，就记着这个名字，也许还没有看过            
(4星)	 虽然很欣赏李后主的文采 可还是喜欢赵匡胤  生来不喜欢温文的男子  喜欢有王者气概的男子            
(3星)	 不知道为什么对这个剧印象这么深，李煜的印象都是从这里来的。            
(NA)	 何晴演的大周后死了以后我就没心思看了            
(NA)	 原来是叫《情剑山河》呀，可是到底讲了什么，我百度了一下，也没想起来。。。。。            
(NA)	 只是看过！            
(5星)	 里面女的个个漂亮啊！！            
(3星)	 赵匡胤再帅，美人还是爱李煜的。那个，那个，问君能有几多愁，寂寞梧桐深院锁清秋。            
(4星)	 当时怎么也不明白，男人怎么可以既爱上姐姐，又冲着妹妹动心，后来更不清楚为何爱情那么伤，输了江山也失了快乐。            
(4星)	 小时候很喜欢的片子啊            
(3星)	 当时完全没有发现里面有吴兴国            
(4星)	 偶记得偶当年还是小学六年级的说，主题曲当年很红。我们小朋友都唱。            
(4星)	 好老的剧哦。。            
(3星)	 很小时候看过的，那时候很喜欢赵匡胤            
(3星)	 大周后。            
(5星)	 當年這部電視劇讓我狂翻家裡的&lt;唐詩三百首&gt;(後有附南朝宋的詞)，也是讓我愛上歷史和中國文化的助力。主題曲片尾曲和插曲都以優美的音律融合了李後主的創作，讓人琅琅上口，不用默背都考100分!(笑) 選角也不錯，尤其是吳興國，真為這部作品加分不少，後來歌仔戲的玉樓春也讓人看得好過癮!            
(5星)	 情剑山河啊，好熟的名字，╮(╯▽╰)╭，好小时看的片子啦，但真真也被感动到了，爱情启蒙剧之一            
(3星)	 因为这部剧，初中生的我看了《中国皇帝大全》，还背了好多李煜的词！            
(5星)	 小时候看过，不是喜欢，也不是印象很深刻，而是记忆            
(4星)	 就记得大周后很美，宋太宗挺乱来的了。            
(5星)	 大爱~            
(5星)	 “你始终是我的最爱”，好感动好感动            
(NA)	 说实话，我不记得我看过没了。但是小时候，特喜欢新加坡剧。保存了            
(4星)	 当年觉得赵匡胤很帅气！            
(4星)	 小时候真喜欢看~片头收尾那个双龙画面真是令人印象深刻╮(╯▽╰)╭            
(5星)	 李后主            
(3星)	 哇塞，居然能淘到这部片。当时好小，都忘记情节了。            
(5星)	 难忘啊，秦风和吴兴国。。。            
(4星)	 小时候喜欢，但是现在看看，鲤鱼实在是太没用了            
(4星)	 小时候很喜欢演赵光义的那个，现在一看，已经是大叔了……            
(NA)	 大周后小周后            
(5星)	 放假时候突然想起这部片子了。。。真是怀念啊。。。就是看这片子萌上的太祖。。。不得不说，这里面的赵匡胤真是就仨字儿，好男人啊。。。            
(4星)	 比较喜欢里面的关咏荷和大周后，那个小周后，真的看不出来哪里漂亮啊= =            
(5星)	 小时候很爱看的一个电视剧~            
(4星)	 何晴的大周后实在是太美了。。。对了，里面还有关咏荷，好像叫京娘来着。。。 对了，因为这个剧，赵匡胤在我的脑海里留下了很帅的印象。。。            
(4星)	 我小时候最爱            
(5星)	 相比吴奇隆版的李煜，这个里面好多了喜欢 不错            
