http://movie.douban.com/subject/2222635/	塞外奇侠
(4星)	 记得哈玛雅一转头红色头巾飞掉就已是满头白发，然后《雪中莲》响起了。杨云聪至今还是我最讨厌的虚拟人物之一。            
(5星)	 雪花飘 飘起了多少爱恋 雪花飞 飞起了多少情缘            
(5星)	 据说哩世人可以原谅男子的薄情，却无法接受女子的骄傲。            
(5星)	 当年爱死了爱死了好么！！！            
(5星)	 飞红巾在桥头惊现一头白发的场景至今难忘。            
(5星)	 哈玛雅：纱巾还给你            
(4星)	 好小的时候看过的 觉得爱情真可怕            
(4星)	 哼着雪中莲就想起这部看得欲罢不能的电视剧了～            
(4星)	 哈玛雅挺惨的 杨云聪一辈子也没爱过她 感觉老中青三代白发魔女 她们的“白点”越来越低了。。。            
(4星)	 哈玛雅我好爱！！！            
(5星)	 读初中时看的经典影片，剧中反复出现王菲的歌曲《雪中莲》，你们还记得吗？            
(4星)	 喜欢纳兰明慧不喜欢哈玛雅的飘过～～亮点继续是王菲的雪中莲。            
(4星)	 小时候陪我妈看的……            
(5星)	 啊...小时候的美丽回忆            
(4星)	 这都能找到！想当初，很小的时候，很喜欢啊！            
(3星)	 啊，那一剑！            
(4星)	 居然是新加坡的？怪不得不认识演员，但记得很好看            
(3星)	 三代白发魔女啊~            
(3星)	 飞红巾，杨云聪，blahblahblah......            
(4星)	 小时候家里没人  也是这个时候我就在看这部电视剧            
(5星)	 妈的，这个电视剧影响我的一生啊啊啊啊！！！纳兰明慧啊啊啊啊！！！！易兰珠啊啊啊啊！！！飞红巾啊啊啊啊！！！有木有！！！有木有！！！！！            
(5星)	 哈玛雅 我只是难过不能陪你一起白头            
(3星)	 男人靠得住。/。。母猪也上树            
(5星)	 哦哦，这就是白发魔女            
(5星)	 小时候喜欢就对了            
(4星)	 年少回忆。            
(NA)	 小时候非常喜欢            
(4星)	 白发魔女啊            
(2星)	 哈玛雅            
(NA)	 看的心碎的，莫过于飞红巾在漫天白雪中揭开红纱露出白发，多少年后，还清楚地感觉到心痛，爱一个人至少不要藏送掉自己，好吗？这是自爱的前提。            
(5星)	 意义很重大啊！            
(4星)	 念念不忘哈玛雅……            
(3星)	 其实我没怎么看过,后来喜欢郭淑贤的时候特地找出来看过.            
(3星)	 哦灭……俺以前很喜欢那个片中花絮的说~~~还有，很喜欢郭淑贤MM滴……~~            
(4星)	 郭淑娴的明慧巧笑倩兮。            
(4星)	 多好看的电视剧啊 新加坡武侠当时真的不雷            
(4星)	 白发魔女，一生为情所困            
(4星)	 小時候每天追著看，還模仿卓一航和念霓裳的戲碼。            
(3星)	 感觉好像比96年早啊。总之当年觉得哈玛雅和纳兰明慧就是不同类型的两个大美女            
(NA)	 小时候看的电视，王菲的雪中莲惊艳            
(5星)	 小时候看的电视剧。那是竟能体会出因爱而顿生白发的心痛。真是情种啊~            
(5星)	 三代白发魔女一生为情所困,我最喜欢练霓裳.看这部电视剧的时候,还是小时候,直接就影响了我今后的爱情观.反反复复看了很多遍都不厌.            
(4星)	 三代白发魔女啊，飞红巾最让人心怜。小学的时候心里就想男人不是好东西，笑。            
(4星)	 那时老幻想自己也能一夜白头，只有童年才有的傻呀            
