http://movie.douban.com/subject/2224146/	戆夫成龙
(5星)	 自从看了这个以后觉得郭晋安应该就是这个样子的了= =             
(4星)	 傻瓜牌~            
(2星)	 就是受不了他那副傻b样            
(4星)	 “老婆仔”影真好野。。。膜拜宣萱~~~            
(4星)	 收视高峰不是白创的啊            
(2星)	 TVB            
(4星)	 阿旺不傻            
(3星)	 04            
(3星)	 郭晋安真是傻子走好运            
(3星)	 傻子旺            
(4星)	 不错~            
(NA)	 宣萱 郭晋安             
(4星)	 当时红到不行            
(4星)	 郭晋安演得极好            
(5星)	 喜欢阿旺。            
(3星)	 装傻充楞赚笑泪            
(3星)	 无敌烂尾            
(3星)	 家屬覺得宣萱不適合古裝戲，我覺得宣萱只有在《掌上明珠》裏是她最好的狀態了。            
(3星)	 郭晋安靠呢部红起嚟噶            
(5星)	 喜欢            
(5星)	 这部剧不知道为什么我好喜欢            
(4星)	 不喜欢萱萱，不喜欢郭晋安，不过还是可以看得下去            
(2星)	 我们郭晋安不是这样的！不要给他形象定型！            
(3星)	 情节太扯。宣萱同埋憨版郭晋安加星。            
(3星)	 大学。前面不错，结局那地方也拍的太烂了吧            
(3星)	 这片就前五集和最后两集好看，但不包括结局的三人行=_=            
(3星)	 我爱唐宁~~            
(3星)	 感觉没有时装版好看，竟然来个开放式结局。。。            
(3星)	 年少回忆。            
(4星)	 很喜欢的戏！但是郭晋安也不用以后动不动就演傻子啊            
(4星)	 憨夫成龍            
(5星)	 鼎力推荐的TVB剧集~            
(4星)	 不喜欢结局，所以减一颗星。            
(NA)	 最坏的时光也许是最好的时光            
(4星)	 讨厌结局            
(3星)	 傻人有傻福~            
(4星)	 是從這劇開始他滴傻子系列的麽？            
(4星)	 --阿旺！--老婆仔！            
(3星)	 就是不喜欢郭晋安 宣萱接这部片子可惜了            
(3星)	 讨厌痴呆儿.  念大学时 电视里放的            
(4星)	 不得不说郭晋安演技很棒            
(3星)	 现代中，我总觉得不会发生这样的爱情。            
(5星)	 嗯。我还记得。            
(3星)	 20            
(NA)	 【2002-12-30】            
(4星)	 阿旺虽火，郭晋安还是快转回去吧            
(4星)	 纯粹是喜欢傻傻的郭晋安~            
(5星)	 哎，TVB现在的戏都不能看了。就是这样的结局也挺好的            
(NA)	 这个当年还很喜欢。            
(NA)	 郭晋安在我心中一直有个傻气的形象！！！我也喜欢他啊！            
(4星)	 我能说郭晋安适合演傻子么？            
(4星)	 不错            
(1星)	 男主角演得太好鸟，我都以为他天生就是白痴。            
(3星)	 真经典= =            
(3星)	 补            
(4星)	 从这部改变对郭靖安的印象的            
(1星)	 女丑男傻            
(4星)	 有宣萱 郭晋安演憨夫其实演得挺不错            
(3星)	 最后那里扯得不行            
(3星)	 tvb无聊剧看了不少            
(3星)	 我爱萱萱。。。            
(NA)	 我们家宁宁诶            
(3星)	 挺好看的。            
(3星)	 现在只记得最后一幕三个人手牵手围成一个圈~~真雷人啊~~            
(5星)	 小时候的最爱 总是记得绿豆饼。。。            
(NA)	 这是转台转到就一定要马上转走的剧，我一直对郭晋安的脸有敌意            
(5星)	 原本以为是狗血剧，谁知一看成瘾。好剧。            
(4星)	 阿旺。。。            
(5星)	 到最后一集我都期待那个傻子突然变聪明。。。            
(3星)	 同锦绣良缘            
(2星)	 讨厌,不知所谓            
(3星)	 我就乐得看他演傻子 那叫一个本色出演啊            
(3星)	 老婆饼原来是这样做出来的。            
(NA)	 这个发型的时候看的 崩溃掉。            
(NA)	 瞄过 无奈我实在不喜欢白痴            
(3星)	 bad ending            
(5星)	 觉得很好玩            
(3星)	 阿旺非常喜剧，又是一部TVB的肥皂剧            
(3星)	 现代版更好看点~            
(4星)	 傻的可爱            
(3星)	 宣萱为撒要演这种角色。。啊。。。            
(3星)	 妈妈也喜欢看...            
(5星)	 最中意的style            
(4星)	 除了结局的皆大欢喜外，我都觉得好看，哪有三个人在一起的嘛，选一个不就是了？！            
(3星)	 看着也一般，不知道怎么就红了。            
(4星)	 超可爱的，。            
(5星)	 2002            
(NA)	 喜欢宣萱            
(3星)	 喜欢选宣萱，不喜欢傻子。            
(4星)	 2004            
(NA)	 老婆仔～好Gan啊！            
(4星)	 第一次看的话，真的很搞笑。            
(NA)	 HK            
(5星)	 百看不厌！            
(4星)	 阿旺真系好傻……            
(3星)	 宣萱~            
(4星)	 哈哈，傻子阿旺            
(4星)	 郭靖安确实很憨            
(NA)	 安仔从此走上了弱智之路，以后每次看到他就觉得很白痴的说            
(3星)	 专业演傻            
(3星)	 虽然阿旺傻得很逼真 但我还是对古装无感，，还有可怜了郭晋安红在阿旺也毁在阿旺            
(5星)	 我喜欢这对搭档            
(4星)	 好看好看！            
(5星)	 当年得奖的剧啊，真的还能看            
(4星)	 好到会比大陆抄 果然是精品            
(1星)	 没有萱萱我看都不看            
(4星)	 【好無聊的開始馬克看過的TBB】比現代版的好看多了            
(NA)	 一直觉得是一部很2的片子...跟男主角一样2...            
(4星)	 郭晋安一直都很喜欢，黑黑的皮肤，憨厚的笑            
(3星)	 唔中意，睇到会有少少心疼的感觉。            
(3星)	 感觉郭晋安也就这样了。以后看到他的戏都觉得他就是演傻子。            
(3星)	 我记得我看过= =            
(4星)	 看着长大的。。            
(4星)	 当初看的好欢乐的说··········            
(3星)	 原来看我过这么多电视剧——我觉得古代的更好看            
(4星)	 火啊            
(3星)	 大傻子有大智慧            
(3星)	 郭晋安的傻瓜形象。。            
(3星)	 相比迷醉于烟柳繁华的花心大丈夫 男人蠢点又有什么关系 最好蠢得只剩下爱老婆的心            
(4星)	 当年睇的，当年好钟意。            
(4星)	 小时候很爱的TVB剧啊~好看~            
(4星)	 喜欢宣萱！            
(5星)	 很温馨啊~            
(5星)	 爱宣萱爱唐宁不爱傻子。            
(NA)	 阿旺            
(2星)	 就为了看宣萱            
(3星)	 郭晋安眼了太多傻子            
(4星)	 傻傻的很搞笑            
(5星)	 看了好久了啊，还记得那时候很喜欢啊。。。            
(3星)	 我好想对宣萱的戏都没什么爱            
(5星)	 小时候除了玩就是看电视。            
(4星)	 最后的结局。。怎么说呢  也许是最好的  但也是最苦的            
(5星)	 怎么看都不厌，可爱的阿旺~~~            
(3星)	 我娘亲很爱看            
(3星)	 那时年少各种剧~            
(3星)	 演技派            
(4星)	 好看 傻人有独特的精明之处            
(4星)	 郭晋安和宣萱这对还蛮有趣的。            
(4星)	  这个形象这的把你害苦了            
(4星)	 郭晋安都成傻子代言了            
(5星)	 和妈妈，弟弟，爸爸，奶奶一起追剧的日子            
(3星)	 老婆饼。            
(4星)	 郭晋安演得真好，我甚至以为他有点真的。。。            
(NA)	 结局是啥我忘了            
