http://movie.douban.com/subject/2224813/	十八岁的天空
(1星)	 赤裸裸抄袭日剧《GTO》，导演编剧完全不顾中国教育体制、中国学生的实际状况，强行嫁接，严重脱离客观实际，弄出《十八岁的天空》这么一畸形出来，实在有够难看，高三学生不会被活活气死。             
(2星)	 内地有这样的学校?/            
(4星)	 多少年以前看的了。。。那会觉得还不错，挺适合学生时代看的。            
(4星)	 李智楠!            
(1星)	 高考完漫长的暑假啊 妈的 我干吗要看这个            
(3星)	 -  -原来我也看过这样的片。。。。而且当初还很迷……TAT            
(5星)	 MR刘和保剑锋很像，从此妈妈每次一看到他就说，看，你们刘老师。：）            
(NA)	 小时候看它的时候还迷过保剑锋 现在看保剑锋真的。。。好想吐            
(3星)	 内容有点假，金莎太做作。            
(4星)	 我最喜欢裴佩老师啦！！！            
(3星)	 请你们告诉我那个斯达哪里帅麻痹。            
(1星)	 你们高三可真轻松 还有果然都把青少年当弱智啊            
(5星)	 高一六班都喜欢看。            
(5星)	 哎经典经典～古越涛长得真像我们高中地理老师啊，性格为人也如出一辙～            
(3星)	 这也看了 我真闲            
(5星)	 当初觉得保剑锋好帅            
(NA)	 我真蛋疼,噢不,没蛋都疼            
(2星)	 保剑锋一直很嫌弃。果然后来演了更恶的“楚廉”            
(3星)	 刚刚看到围脖上有人说要拍2,我就想起来肯定看过,保剑锋,还有金莎嘛.现在金莎都胖成这样了还能拍么.还有那个男2李智楠后来好像人间蒸发了吧...            
(3星)	 这我都看过，好雷……            
(2星)	 什么狗屁玩艺儿            
(NA)	 中國山寨文化好噁心好噁心好噁心            
(3星)	 “中国版的GTO”!!!!  这显然不能相提并论            
(2星)	 很无语的片 = =            
(NA)	 此剧居然能傻叉到如此严重程度            
(4星)	 倪景阳 宝剑锋 真的很配的说~            
(NA)	 非典            
(4星)	 可以啦，水准以上的够难找            
(4星)	 校园题材对我始终有着致命的吸引力和杀伤力。            
(4星)	 蛮轻松的电视剧.依然是帅哥美女,虽然这种校园不可能在现实生活中出现...            
(NA)	 吼吼~妹妹总喜欢一遍一遍的看~我只觉得金莎眼熟,原来是妈妈以前买的&lt;上海服饰&gt;杂志的MODEL            
(4星)	 啊青春呀。            
(NA)	 - -            
(NA)	 不是因为人人上的分享，我都不知道，这片子马上十年了，当年我妈拿刀架我脖子不让我看，我都钻缝看了，不过现在也忘差不多了。            
(4星)	 3.5星吧。保剑锋你自从这片子以后，到处都是露牙傻笑的广告。            
(4星)	 没有金沙么？            
(3星)	 小學看的，覺得高三生的生活好夢幻啊=A=            
(3星)	 其实挺弱的……            
(3星)	 那个时候好喜欢啊。。            
(3星)	 过。            
(4星)	 我最喜欢的国产偶像剧耶 =。=            
(1星)	 真要这么一个班，就囧里个囧了            
(4星)	 这剧很逗            
(3星)	 好梦幻的片子。剧本2星，美女们加一星。官嘉丽、金莎、倪景阳都蛮灵的。            
(4星)	 想当年还是挺喜欢的。            
(5星)	 还是蛮好看的呀。昨天的卧谈产品。            
(NA)	 - -远久记忆里的东西了            
(NA)	 补遗            
(4星)	 我们的青春就这么过去啦...            
(NA)	 当时陪着张雯倩看的。。只记得金莎演的蓝菲琳很甜美。。。            
(4星)	 几乎是保剑锋最帅的一部剧            
(1星)	 看了一点，            
(3星)	 校园的童话，校园的美丽，都出现了有股参与的冲动。校园永远是青春的精彩……我爱校园，我爱青春。            
(5星)	 喜欢喜欢喜欢   喜欢每一个人    在班里找和戏里相近的人   我像倪景阳呢 哈哈            
(4星)	 让人怀念高三生活~~拍得调子也很好，既有搞笑，又有感悟的地方~~            
(3星)	 说实话并不好。能挑很多毛病。很假很不实际。但有温暖。            
(2星)	 好假~            
(NA)	 不错！金莎那时候跟现在好不一样            
(2星)	 没劲            
(NA)	 ~挺好看的  到现在还是想看~            
(3星)	 十八岁，你在做什么？剧中情景假借“高中”之名。应该拍个纪录片。            
(4星)	 内个……叫Star的那个还真有明星范儿~            
(4星)	 只因太像育才——从老师到学生到校园，虽然是在嘉定一中拍的=v=            
(4星)	 那年初中刚毕业              
(NA)	 看过的= =当时还觉得李智楠同学没有当年和棉棉一块拍电影儿的时候华丽了...            
(5星)	 纪念我的高中``单纯充实痛并快乐的年代            
(NA)	 十六岁的花季，十七岁不哭，十八岁的天空……你丫抄袭GTO能不那么明目张胆么，一开始看我还以为是台湾拍的呢，保剑峰的长相也很台湾，厌            
(4星)	 2006.8.10            
(3星)	 童年都看過的            
(2星)	 那个star哪里帅啊！！！！！！！！！！！！！！！！！！！雷死            
(4星)	 能算国产校园剧的精品了~            
(2星)	 那個男主……尼瑪真他媽嘔像啊！= =            
(3星)	 当年觉得石延枫帅惨了= =。            
(NA)	 麻痹我还看了不止一遍。。。就喜欢保剑锋就怎样！            
(NA)	 噗，好早以前看过的= =            
(2星)	 当年啊，放假啊，晚上在老师家上完课回家还要看最后一点啊，一边觉得不好看一边鸡皮疙瘩一边想看完整部啊，我还记得那老师那条白色裤裆的黑裤子。            
(3星)	 裴蓓老师~            
(5星)	 当年看只是觉得好玩还觉得红色石头挺好听的，后来喜欢金莎才知道她就是蓝菲琳。但是昨天在校内看到红色石头的MV突然有些怀念，今天就窝家里看。也不知道为什么，很多很多的小细节感动了我，我就一直在哭流眼泪。虽然是不现实的电视剧但是也包含了当年的一切。            
(NA)	 这个啊！！！当年年少的时候都不知道看了多少遍了！！！多少年前的事情了！！！            
(3星)	 多年前看的……就觉得刘佩琦很潇洒，保剑锋很帅气……            
(2星)	 一集弃的电视剧            
(3星)	 。。。山寨GTO            
(NA)	 宝剑锋可真够傻得 里面那个装逼的那个我一直恶心到现在，。。            
(3星)	 还。。还好            
(5星)	 好久以前的。。。哈哈            
(4星)	 高三还是大一看来着？~蛮青春和清纯的~            
(NA)	 升高中前去朝阳看环境，我弟弟说你就在这里读书吧，这个学校看起来像十八岁的天空里那样。。。嗯后来我真的在那里读书。麻痹的可是我们的校服丑多了！！（小白脸star死哪去了）            
(3星)	 想不通当初怎么会那么迷。。。            
(NA)	 内地GTO你妹妹            
(2星)	 屁            
(2星)	 金莎好看，其他垃圾            
(2星)	 太挫了。。            
(NA)	 蓝菲琳石延枫T T 我爱弱智剧...            
(3星)	 哦哟.那个金莎哇......            
(3星)	 那时候金莎还不叫金莎            
(NA)	 喜欢保剑锋            
(4星)	 蓝菲琳好甜啊             
(3星)	 编剧你是不是没在中国上过高三？            
(NA)	 我怎么看过这么多电视剧!!            
(3星)	 仍旧反复看了四五遍，我真是太他妈无聊了。            
(4星)	 某年的暑假迷得一塌糊涂。当时看着高中生活觉得可新鲜可奇妙了。古老师和裴佩老师真是不可多得的佳侣啊。            
(NA)	 这个 哈哈            
(1星)	 偶像歌手保剑锋～～～            
(4星)	 保剑锋表演可圈可点，那几个学生磕了            
(3星)	 正逢高中，当时还蛮爱看的。哈哈。            
(2星)	 演技真不是一般的。            
(1星)	 我觉得超无聊，但高中的时候很多人喜欢            
(NA)	 金莎。蓝是原名吧？            
(3星)	 小萌了阵金莎喝李智南，现在想想真傻            
(1星)	 我很奇怪怎么那么多人喜欢            
(NA)	 = =             
(4星)	 老师真帅            
(NA)	 我当年是个怎样的姑娘啊            
(4星)	 以前还是觉得有点好看的~            
(4星)	 我记得。。它有一首好听的主题歌。。            
(3星)	 ……+1拍的……            
(2星)	 说实话 很差            
(NA)	 青涩            
(3星)	 就觉得里面的蓝菲琳好看，结果……            
(3星)	 很傻            
(3星)	 有阴影啊~            
(NA)	 我的青春啊            
(3星)	 这太糟糕了主要是演员不成学生都比老师老            
(3星)	 以前看的.            
(4星)	 干净的十八岁。            
(2星)	 GTO……模仿的比较拙劣            
(4星)	 不青春的青春。            
(3星)	 中国和谐版的麻辣教师            
(4星)	 特点，有特点            
(3星)	 虽然有点假,还是值得幻想以下的.            
(NA)	 这个我还是蛮喜欢的 哈哈             
(3星)	 演员不行 其中居然还有一个我的初中同学            
(2星)	 假 以及矫情            
(3星)	 当年可是非常喜欢的            
(4星)	 还挺不错~虽说创意是盗版日本的~但国内很少这类的片子，看着很亲切~主题曲也很不错            
(2星)	 阿门。假。            
