http://movie.douban.com/subject/2226087/	同事三分亲
(4星)	 讨厌掌门人             
(4星)	 王祖蓝太可爱了！            
(4星)	 王祖蓝乃本剧亮点            
(3星)	 抱着看香港广告公司的兴趣看，结果又看见香港式的琐碎趣味，又亲切，又熟悉。            
(5星)	 爲了看黃家嵐，戴安娜的扮相，以及戴安娜和裘俊每集都讓我內牛滿面的感情線            
(5星)	 我爱关咏荷~~好(ˇˍˇ） 想～自己能做她那样的OL，爽歪歪，气质好好~~~~卡哇伊也很可爱还有王祖兰是这片后才红的，很有纪念价值。            
(NA)	 ...            
(3星)	 哈，看見沈姓編劇了。            
(3星)	 很能消磨時間的片er阿            
(4星)	 可惜到了最后一集关咏荷还是没有回到镜头里，整部364集里面，我最爱的角色就是黄家岚了…            
(4星)	 好一场持久战。            
(4星)	 香港制造。            
(NA)	 荷姐！！            
(4星)	 太长了，剧其实很好，已看到73集【马克】            
(4星)	 晚飯下飯菜~            
(2星)	 对荷姐不感冒就是不感冒            
(5星)	 很搞笑很温馨            
(4星)	 樓華＋diana正～            
(3星)	 关咏荷真的老了            
(4星)	 因为关奶，给四星。。。            
(4星)	 爱江欣燕和徐荣，戴安娜和狗俊这一对经典得没话说。            
(4星)	 喜欢关咏荷~            
(4星)	 我真是受不了了太长了我是不是有这么无聊啊才看了一半T-T            
(4星)	 360多集。。。。结局还是很感动~            
(3星)	 没有毕打自己人好看            
(4星)	 何彤彤应该和gary一起。。。            
(3星)	 很喜欢关咏荷身上的那种喜感~~~不过300多集真的是太长啦             
(3星)	 言为信好猥琐...讲话的样子更猥琐            
(NA)	 终于出完了...            
(NA)	 真是TVB好大的剧            
(4星)	 娥姐出山啦~            
(3星)	 太長，後來沒耐心看完            
(4星)	 前面蛮好看的，后面就一般般了，特别是结局不咋地！当然是冲着关咏荷去的啦！            
(NA)	 王祖蓝很可爱阿~            
(4星)	 364集啊 容易吗我 终于看完了             
(5星)	 喜欢。            
(4星)	 太长了。。。没看完            
(4星)	 关咏荷，YEAH            
