http://movie.douban.com/subject/2228608/	恋爱自由式
(4星)	 那是cookies出道的年代            
(4星)	 我中意唐宁~            
(4星)	 破冰转身            
(4星)	 这是青春的回忆            
(5星)	 少女们!!!!            
(4星)	 青春            
(3星)	 居然有黄宗泽            
(4星)	 那时的TVB青春偶像剧真不错，那时的唐宁真活力漂亮。            
(5星)	 最爱唐宁.            
(3星)	 少女们，香港制造。            
(3星)	 忘了.  当时萌唐宁            
(3星)	 去看可爱的宁宁，果然很可爱            
(4星)	 享受夏日泳池边的阳光            
(4星)	 小学时超爱追啊 午饭时段翡翠台播的 每天中午都在微微家边吃饭边看 当时cookies也挺火的            
(5星)	 看了两遍了 因为COOKIES            
(3星)	 爱死温柔。            
(4星)	 青春剧，不错的            
(5星)	 黄宗泽好可爱  呵呵~一直都比较喜欢TVB的新剧的            
(4星)	 好怀念陈小姐。游泳的特效好夸张            
(3星)	 难得的TVB青春剧            
(3星)	 唐宁~~~~还有很多青春偶像……            
(1星)	 所谓青春偶像剧。            
(3星)	 因为唐宁和黄宗泽才看的            
(3星)	 那時候，每天中午都看            
(NA)	 从lee个时候觉得唐宁好正            
(2星)	 斋看人呗，游泳特辑忒假。            
(4星)	 陈文媛真的很好看            
(4星)	 2003.7 翡翠台            
(3星)	 香港制造。            
(1星)	 偶像剧,,,我受不了,不过当年耐着性子看完了            
(4星)	 很喜欢bobo有没有 萧正楠有没有            
(5星)	 ！！！！！！  那时候我好喜欢BOBO和EDWIN!!!!            
(4星)	 宁宁很美的            
(4星)	 还是为了宁宁 =A=            
(4星)	 唐宁可爱~            
(3星)	 此剧很青春 喜欢唐宁            
(4星)	 一部很有港味的青春偶像剧。拥有偶像剧的一切基本要素：俊男美女、优美配乐、友情爱情亲情、困惑错失误会、配对、大团圆结局。通过一项体育运动来拍偶像剧是既容易又精彩的。这部剧也基本摆脱了日韩台湾等偶像剧的影子，塑造一群年轻的港男港女，加入前辈的陪衬以及明星的客串，形成港式的特色。            
(NA)	 竟然有鄧麗欣！英雄刀少年之後更愛黃宗澤的時期！            
(4星)	 最喜欢TVB制造的青春剧了。            
(3星)	 20            
(2星)	 我怎么不记得黄宗泽了 倒是挺喜欢唐宁的            
(4星)	 结果到最后，他们还是没有在一起。            
(4星)	 笑死了。。。            
(3星)	 TVB那时难得的青春剧，挺好            
(4星)	 好中意唐宁～！            
(3星)	 一般            
(3星)	 搞到D游水方法好复杂            
(4星)	 关走音王屁事啊!!!            
(3星)	 为了看两个不是主角的艺人去看了这片子。游泳的特效做滴真是夸张，超人似的。真滴是很TVB。            
(4星)	 2004            
(3星)	 当年的陈文媛那~            
(5星)	 我心中的青春偶像片，台湾那些没法比。。            
(2星)	 陈文媛在里面扮一长短脚的，话说，我还真是从始至终都不喜欢唐宁这个演员。            
(5星)	 因為是我的青春.我給五星.            
(5星)	None
(3星)	 About Swimming            
(4星)	 当年大家都好年轻喔~            
(3星)	None
(3星)	 唐宁萌。            
(3星)	None
(NA)	 嗯哼，那时候记得了唐宁。刚看完就直接过渡到大唐了。            
(2星)	 对陈文媛有印象。。            
(5星)	 启蒙剧  萧正楠            
(4星)	 主题曲~            
(5星)	 无论如何不能忽略的一部剧, 后来的TVB青春剧都比不上了.            
(5星)	 虽然故事挺老套，可是为什么我看多少遍都不腻~里面的人都喜欢啊~还有很多潜在大牌啊~            
(4星)	 主题是讲游泳的，阳光蓝天碧水美女帅哥，记得当年是暑假看的，很应景            
(4星)	 小时候爱看的电视剧~~怀念吖！            
(4星)	 又一青春大戏            
(3星)	 好无聊的片子 没有唐宁黄宗泽谁看啊真是 2个人还都是配角。。不过我确实没看完。。            
(3星)	 我还记得是讲游泳的啊。            
(3星)	 比较有印象的是主题曲。            
(4星)	 虽然那几个动作真的- -不过theresa很青春&gt; &lt;三颗星给theresa            
(3星)	 这群孩子现在都长大了            
(4星)	 我细个果阵超钟意噶~            
(4星)	 应该是港剧里少见的青春题材吧~~~            
(5星)	 全是我的爱人！好看好看            
(4星)	 tvb为数不多的偶像剧            
(4星)	 蛮励志的，还是可以的啦。。            
(3星)	 破冰转身~~哈哈            
(4星)	 喜欢陈文媛，萧正楠怎么没提到啊。            
(NA)	 当年好喜欢啊，BOBO+ED！！最近常常想起年轻时候的事，想起我那时候的可疑密友            
(3星)	 大家的演技都很稚嫩 評分低也自在意料之內            
(3星)	 好像是某个假期。和男姐。在她家租碟子看的。            
(2星)	 可惜BOBO搭上了冠希。            
(3星)	 这部戏是后来才看的，因为邓丽欣，因为唐宁            
(2星)	 寧寧很稚嫩。            
(4星)	 很好看！            
(3星)	 啊……BOBO            
(3星)	 tvb难得的青春戏，明星熠熠。但不是每个人最后持续闪耀光芒            
(3星)	 当年看觉得算蛮清爽的作品，只是已经不记得Bosco也在里面……            
(NA)	 陪我度过五年级的暑假            
(NA)	 竟然有黄宗泽？真可惜几年前看这部剧的时候还不认识黄宗泽            
(NA)	 好久之前的戏了            
(NA)	 ..            
(NA)	 这个也太久远了吧……            
(3星)	 纯粹系D青春偶像，可惜D青春系假噶。            
(4星)	 少有的青春偶像剧...            
(NA)	 以前还迷过萧正楠！！            
(5星)	 很好玩 很轻松            
(2星)	 很一般啊            
(3星)	 实在是不待见游颖这个女的。。。            
(3星)	 看在Bosco和stephy的份上，给三个星。            
(4星)	 很早年看过，某门女主角……            
(5星)	 TVB的青春剧还是很少见的，我觉得蛮活泼的，比某些大陆剧好很多。非常值得看，好人好报。            
(3星)	 不记得黄宗泽在里面演什么了，好像萧正楠才是主角。唐宁，女二号的命。记得有邓丽欣，傅颖，貌似要宣传宣传两位cookies。记得邓丽欣常常穿蛮长的裙子里面还穿着裤子。雯女只是演个不起眼的妈妈，难得我还记得她，卷发，化的妆很浓。现在红了，真是世事变迁            
(4星)	 那时黄宗泽可以~            
(3星)	 只記得阿寧很囂            
(5星)	 有励志效果            
