http://movie.douban.com/subject/2228609/	美丽在望
(5星)	 科幻元素 人与天斗 人和命运的斗争 最后以感人结尾 当中又有太多搞笑了 总之是会让你笑又让你哭又让你思考的一些            
(3星)	 从那以后没影的两位港姐            
(2星)	 容祖儿的面包脸还是挺可爱的。            
(3星)	 只记得容祖儿 唱出 明年今日的那幕，从此爱上明年今日            
(NA)	 点点            
(NA)	 好吧我承认我看过这部剧            
(NA)	 这算TVB版丑女贝蒂么            
(NA)	 我都想整形同变瘦.            
(NA)	 come on~ go go go~~~  说。。。说实话，有点脑残的            
(2星)	 很傻。。容祖儿不知道在干吗 丑的要死            
(2星)	 发觉有Joey的片子都很1般...也不喜欢神鬼的桥段,比古灵多过头了!最不喜欢瘌痢头造型...            
(1星)	 很无聊            
(4星)	 狗狗是很可爱呢~李思捷            
(3星)	 那時是KC和現在相差甚遠。容祖兒不適合演電視劇，讓人有視覺疲勞感。            
(4星)	 ...            
(3星)	 come on!~gogogo~            
(5星)	 看的非常开心，呵呵。come on, go go go!            
(5星)	 丑不是第1次见了.            
(4星)	 看。            
(3星)	 （以前看的，纯添加）            
(2星)	 得得地。            
(3星)	 容祖儿真够丑的！郭晋安真够肉酸！GO GO GO……            
(4星)	 Nardo, Go! Go! Go! ≧▽≦            
(2星)	 哎 很脑残的一部            
(5星)	 很久以前看的了，记得当时挺喜欢的            
(5星)	 come on go go go            
(3星)	 其实蛮无聊的…但我还蛮爱看- -，最后一集鬼上身多演些多好配搭好呀女主都省了！安哥哥的林家宜上身，kc的乌萃萃上身，都惟妙惟肖哒。。。come on，go go go！！！= =！            
(1星)	 容祖儿即使不化妆成龅牙~~也丑得够可以了~~            
(NA)	 那人那狗那黄毛那容祖儿的大嘴            
(4星)	 容祖儿还真开朗            
(4星)	 轻松搞笑  郑嘉颖很帅            
(3星)	 猪扒祖祖            
(4星)	 gogogo天比高的少哲            
(3星)	 come on go go go 不喜欢joey            
(4星)	 电视里差不多是看了两遍             
(3星)	 狗狗很可爱            
(3星)	 胖妹整容后变成了容祖儿...            
(4星)	 一直认为让容祖儿拍美丽在望是讽刺            
(3星)	 挺搞笑的！            
(3星)	 在香港的时候看的，只看了一个开头。香港版Ugly Betty。            
(3星)	 只记得容祖儿的猪扒角色了……            
(3星)	 是看过，不过剧情很多不记得了，反正麻麻。            
(3星)	 其实，容祖儿是真的丑。            
(3星)	 心地坏会被活埋！            
(1星)	 容祖儿？！！！            
(3星)	 很久以前在电视上看到的，其实男猪脚还是在意外表的吧，只是为了拍成HE，只好寥寥收笔，其实，我们都知道，心好，不一定就真的能漂亮。            
(3星)	 容祖儿还是丑，丑，丑            
(NA)	 tvb里有我的童年            
(2星)	 郭晋安演什么像什么，容祖儿演什么都是那个样。只是那时候很喜欢她而已            
(1星)	 容祖儿你还是别出来吓人了            
(2星)	 好傻的哈            
(2星)	 如果容祖儿肯扮丑到第三集...或许评分会高点            
(3星)	 貌似电视里面放了就看看叫 =。=有点囧            
(3星)	 ...心地坏会被活埋 美 内心的美 不理是瘦或肥...            
(5星)	 为啥评分这么低呢，当时好喜欢看的，上次军训的时候又重新温故了下，因为这部片子我喜欢上了容祖儿的。            
(2星)	 就记得GOGOGO            
(3星)	 难得容祖儿拍电视剧……            
(2星)	 犹记郭先生的gogogo……            
(3星)	 在里面听到跟《梅花档案》一样的背景音乐，我颤抖了……            
(4星)	 我真的觉得看这个片子的时候很快乐啊，真的真的。            
(3星)	 还不错，断断续续差不多看完了            
(3星)	 这部片电视又是不停放  无奈看了多遍  可爱的李思捷~~~            
(2星)	 容祖儿。。。            
(3星)	 实在是对女主无爱~~~            
(NA)	 主题曲好听～            
(3星)	 COPYING             
(4星)	 郭晋安不错哎~~贱人王，go！go！go！            
(4星)	 郭靖安在里面真的不容易。            
(3星)	 容祖儿就是个毁戏的            
(2星)	 太傻了。。莫名。。            
(3星)	 哇，初初睇真系睇唔出系容祖儿，都好大牺牲姐            
(4星)	 还行            
(5星)	 过少哲也太奇妙了。。            
(NA)	 仍然不喜欢 郭晋安。有点点无聊            
(3星)	 郭晋安演得很挫气            
(3星)	 为了学粤语看的,凑合            
