http://movie.douban.com/subject/2229425/	怒剑啸狂沙
(NA)	 最好看            
(3星)	 老片啦            
(3星)	 小学时 在北京看的~~~ 租录影带看。喜欢周海媚演的卓玛，不喜欢关礼杰的妹妹 很刁蛮的冰冰。初二家里换VCD了 我也是初二时偷偷看了人生第一部A片  美国的 好猛。            
(3星)	 只记得大漠风光以及周海媚的美颜了            
(NA)	 周海媚扮相真漂亮，总把关礼杰看成刘松仁，第一次知道红花能打胎囧            
(3星)	 = = 原来我还看过这个，居然忘了            
(4星)	 怒剑啸狂沙            
(3星)	 可能是因为拍的太早了，整体效果看起来不好            
(4星)	 忆当年！少年皆美！            
(3星)	 海味真美！            
(5星)	 关礼杰 周海媚 小时候看这部 好爱啊             
(5星)	 那个时候的周海媚好美~            
(4星)	 太经典的片子,留给记忆            
(NA)	 初中时没看完，有点挂念的片子，只记得关礼杰、周海媚和华仔唱的主题曲了。忽然很想再看。。。            
(4星)	 又是华仔唱的主题曲            
(4星)	 当年的周海媚很美~            
(3星)	 够狗血            
(5星)	 因为这部戏超迷关礼杰。            
(4星)	 儿时电视剧            
(3星)	 我喜欢霍廷玉啊，一戒和尚！！            
(5星)	 小时看过，难忘的很            
(3星)	 故事简单            
