http://movie.douban.com/subject/2229459/	烈火雄心
(4星)	 翠翠的死，山崩地裂。那年香港多少人投考消防员。            
(4星)	 喜欢梁琤！            
(5星)	 现实就是这么残酷，你不得不面对。一直不敢看全第一部，太惨了，还是喜欢喜剧，南山三虎，欢乐今宵！            
(5星)	 我靠歌儿一出来我就盈眶了南山三虎！！！！！            
(4星)	 每次看到司徒死的那段，他们那么伤心，我也会哭得淅沥哗啦的。            
(3星)	 港剧我好像看了还不少            
(5星)	 灰常喜欢王喜内个角色            
(4星)	 司徒拓跋            
(4星)	 结局狗血了点，但还是浇不灭我熊熊燃烧的热血耶 呵呵呵呵            
(3星)	 貌似TVB对很多职业都很感兴趣            
(3星)	 喜欢王喜。消防队员的故事。貌似是山东影视还是山东综艺看得。            
(4星)	 看到后几集的时候有点鸡肋了            
(3星)	 港剧            
(3星)	 开始添加TVB...            
(4星)	 诶……连王喜都Y……            
(3星)	 喜欢看卧底戏            
(4星)	 看後那一刻想成為消防員            
(3星)	 王喜的妈妈去世的时候，难过了一阵子～            
(4星)	 经典啦            
(3星)	 好老啊...            
(3星)	 忘了情节了...古天乐完全没有注意到. 那个时候            
(5星)	 童年记忆（┬＿┬）             
(NA)	 现在还记得大结局！！又喺一个我哋台山嘅明星╮(￣▽￣&#34;)╭             
(4星)	 当时喜欢极了            
(3星)	 不错            
(NA)	 陪我妈一起看的            
(5星)	 好经典啊            
(4星)	 乖乖~看这个的时候不要太喜欢王喜噢~~介眯眯眼看着真是讨喜呢~~            
(4星)	 Flame.            
(4星)	 三人的友谊            
(NA)	 模糊有印象 没看全            
(5星)	 很深的感动。            
(3星)	 年少回忆。            
(4星)	 王喜的经典            
(NA)	 最爱之一  小翠~~            
(4星)	 看港剧哭额始祖。            
(4星)	 什么时候潜移默化的看了这么多TVB电视剧            
(4星)	 當時還是很萌古天樂的呀～            
(5星)	 敬个礼！            
(4星)	 演员都很MAN~            
(3星)	 王喜             
(NA)	 我是很爱梁铮的，包括福雅            
(3星)	 古仔啊 哈哈 王喜很久没见了 小眼睛也很迷人的说            
(4星)	 看得我想做消防员~            
(4星)	 王喜~~那时候喜欢的单眼皮男~~            
(5星)	 王喜真是看不出来的人才，演得很好。            
(4星)	 很感人            
(4星)	 很感人的片子我记得司徒死的时候我哭的那叫个伤心啊.简直快快哭死了.            
(4星)	 这部很经典哦，第二部也不错，有FLORA的，偶记得            
(NA)	 大爱。王喜+荷姐。            
(3星)	 电视剧里面 还是对这部印象最深 虽然剧情仍旧老套            
(5星)	 真好看 掉多少眼泪阿！！！            
(NA)	 【1998】            
(3星)	 就是觉得这部戏太长了，人物关系好纠结~            
(4星)	 当初觉得王喜和古天乐超帅的！            
(4星)	 我只记得 古天乐太惨了  编剧太虐了            
(5星)	 古天乐好            
(NA)	 查漏补缺            
(5星)	 经典            
(NA)	 那时候好喜欢古天乐啊            
(5星)	 怀旧一把系列~相当的怀念！            
(NA)	 小时候是有多爱看TVB剧啊             
(4星)	 王喜啊王喜啊王喜。            
(3星)	 小眼睛王喜，有没有人因为这部剧去投考消防员了？            
(4星)	 其实我只记得王喜...            
(5星)	 好兄弟，有今生，没来世，两肋插刀；上刀山，下火海，欢乐今宵。            
(5星)	 此剧大赞王喜和原声            
(4星)	 第一部到现在还记得剧情，第二部记得自己哭过，第三部记得坚持了10集            
(4星)	 那時候被消防員迷到半死。            
(NA)	 喜欢过王喜...            
(5星)	 烈火1是极经典的！！！            
(5星)	 因为喜欢梁铮！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！            
(4星)	 我总觉得我看过的。其他都不记得了，就翠翠死得太可怕，搞得我当年老做噩梦。            
(NA)	 阿佑死的时候我泪了。。。            
(NA)	 是经典了            
(3星)	 不喜欢：王喜 / 古天乐 / 关咏荷……看了一半就不想看了            
(5星)	 又一部晚上偷偷起身看的剧。。还一边做作业一边打电话一边看真是美好回忆= =。想当初看得哭死我。            
(5星)	 我小时候超爱唱这里面的歌            
(NA)	 TVB真的填满了我们好多上学时光~            
(3星)	 行吧            
(2星)	 无聊            
(4星)	 老片了,王喜的经典之作            
(4星)	 王喜啊~            
(5星)	 最后的结局太凄惨了            
(4星)	 哭死            
(5星)	 古天乐好帅哦            
(4星)	 不错不错，因为这部片了解消防队了~~~            
(4星)	 王喜好可爱的说~            
(4星)	 有四星半吗……？            
(NA)	 我爱王喜。。。            
(5星)	 好看啊好看。            
(3星)	 可怜的福贵人            
(NA)	 关可以演王喜的妈了            
(5星)	 很喜歡王喜和里面的小女孩            
(NA)	 更喜欢第二部            
(5星)	 这是王心慰的代表作哦。第一部见识了古天乐的帅、酷。第二部就让人在方中信和蒙嘉慧的“爱情”里徜徉了一番。第三部，还没面世。不过不太期待了。所以还是看以前的好了。            
(3星)	 对王喜和关咏荷的搭配不怎么感冒            
(NA)	 王喜            
(5星)	 真的很感人            
(5星)	 很立志            
(3星)	 也是断断续续看的...            
(NA)	 喜欢....            
(4星)	 关注消防员，剧情其实没什么新意，不过很感动            
(4星)	 這很冗長...            
(3星)	 一般.            
(NA)	 当时的帅哥啊            
(3星)	 那个王喜，小时候就很喜欢，眼睛小小的            
(3星)	 喜欢王喜            
