http://movie.douban.com/subject/2229463/	烈火雄心2
(4星)	小學時候看的~最後一集還看哭了
(4星)	难得有我最喜欢的两大花旦同台的片子，国配方面邢金沙和Flora真的很搭但是周莹配Maggie太勉强。剧情方面最喜欢纪德部分（伙同瑶及舅，怡及家人，功贤等同僚）的所有戏分，最不喜欢唐明部分尤其是唐和YAN的感情戏，中间几集插入的大段独白把观众强行拖入一个不自然的主管视角，减一星
(5星)	结局改一下，将会无比完美
(4星)	挥之不去的记忆~
(4星)	三代里面最好看的一代，最喜欢瑶瑶的戏份啊！结局哭了TAT
(4星)	其实阵容比第三部强大很多很多
(NA)	这样的结局 让我难过...
(4星)	喜欢王喜！！！
(4星)	干嘛让王喜死掉，他们才拍拖么多久。。怨念
(5星)	结局太虐了 哭死我了！！！编剧是个混蛋！
(5星)	泪了
(5星)	再看
(3星)	张可颐替补宣萱。。。。。。。。
(3星)	还不错
(4星)	从这部剧喜欢上蒙嘉慧的
(NA)	陪我妈一起看的
(4星)	三部里面，最喜欢这部了。
(4星)	如果我是蒙嘉慧怎么会放方sir和我分开
(5星)	帅呆的方中信，可爱的张可颐
(5星)	love it so much
(4星)	王喜的经典
(4星)	高3时候超爱
(NA)	王喜是女儿太可爱了
(4星)	喜欢 王喜 喜欢古天乐~
(4星)	方中信很帅，蒙嘉慧很有气质。
(5星)	也许你坐在他身边已经是最好的安慰
(4星)	恩。。。結局有點出人意料。。。
(5星)	偶喜欢FLORA和文文的，不过这部里面的蒙嘉慧做得不错
(NA)	为结局哭死了
(5星)	好看呢
(NA)	【2002】
(4星)	我从此超喜欢张可颐的。我能不能说她长得像我妈啊。
(4星)	烈火雄心2和3的编剧都不喜欢王喜，或者都喜欢看他受虐。很多编剧都安排方中信出轨，你们都想跟他有一段吗？！瑶瑶超可爱，小孩子就应该胖一点才好玩嘛。张可颐、蒙嘉慧在这部里都很清新。
(5星)	棒！！
(4星)	坑爹啊！！！要是知道悲剧收场我就不看了 眼睛都哭肿了有木有！！！！
(4星)	彼时的TVB啊.....港剧的黄金时代~
(NA)	蒙嘉慧和方中信在我眼里超级般配
(4星)	高峰时期的TVB不需要多说什么。
(4星)	结局很感人。
(5星)	最后哭啊。。
(4星)	我可以把所有的星都给方中信么 请问 还有比他更帅的男人吗
(4星)	开始觉得方中信很猥琐，看了之后觉得很灵啊。很好看。郑嘉颖怎么感觉气质很脏呢。蒙嘉慧还是挺漂亮的，陈慧珊也没那么讨厌，张可颐和王喜很可爱，当然还有那个小朋友。小人精啊。
(5星)	方中信、蒙嘉慧两个人的对手戏是当时最吸引我的地方
(4星)	其实我只记得最后那个瑶瑶
(NA)	再也没有单纯如YAN的小女人，再也没有坚强如YAN的小女人……羡慕YAN的幸运，心疼YAN的不幸，支持YAN的决定。
(4星)	1太老了，从2开始看！还不错！
(5星)	大爱王喜呀！！失去了才知道珍惜，失而复得更要珍惜。里面的唐宁、阿ron、马明都太可爱啦~~
(5星)	王喜就是帅
(4星)	大结局让我看一次就哭得死去活来一次
(4星)	续写消防员
(5星)	结尾真是相当感人啊！还喜欢张可颐的那个角色！
(5星)	结尾超感人
(5星)	悲剧收场，所以从此不看港剧。以及港姐选美！接二连三的悲剧收场，问谁受得了！
(4星)	我爱王喜，这部剧我决定忽略陈慧珊
(NA)	喜欢....
(5星)	其实没怎看完，纪德田女儿可爱的没的说
(5星)	再次重温,泪湿青衫......然后发现不少当日的龙套已成今天的台柱.许多年前第一次看时觉得兴田很坏,今天重看到27集,忽然觉得,其实他还是喜欢茵怡的吧,所以舞会一结束就忙着看表,然后赶赴医院照料她.作为bf,仍然算是尽责,只可惜野心太大......
(5星)	第二次為了MAGGIE...
(3星)	够长
(4星)	35
(5星)	今年好像要出第三辑了，无限期待中。。。。
(5星)	王喜的表演真的非常之好！
(3星)	和第一集一样好看，王喜更成熟了……
(5星)	什么烂结局。。害我一整天心情都不好
(5星)	此剧让我对消防员素然起敬～
(4星)	8.0
(NA)	第二部还是以王喜为主线的，喜欢白嘘嘘的二小姐，可爱的YOYO，当然还是客串的我们OO
(4星)	喜欢yoyo
(5星)	结局很崩，张可颐戏里的造型好清新
(4星)	很好看的老剧，尤其成嘉莹小朋友太可耐了。但是结局太惨，跟前面的喜剧温馨路线完全不符。
(3星)	你说最后救救火就这么牺牲了？太狗血了。剧中王喜的女儿真心太cute了~~
(5星)	结尾有点接受不了
