http://movie.douban.com/subject/2229478/	莲花争霸
(3星)	 新加坡电视剧的主题歌都不错。            
(4星)	 当年居然看哭了，还看到了性启蒙（还是百合）            
(2星)	 无耻的大抄特抄            
(5星)	 我的经典童年回忆！为它做了好多傻事！            
(3星)	 主题曲！            
(5星)	 这部剧的武功很霸道            
(5星)	 白玉川最迷人了！！！！！            
(NA)	 雌雄莫辩            
(5星)	 童年记忆            
(4星)	 小蝶，沈冲，白玉川！！！！狗血的鼻祖。。。。            
(4星)	 当时喜欢李南星            
(4星)	 小時候看的，印象深刻，似乎有很色的鏡頭            
(NA)	 太强悍了！我第一次知道男人能变成女人……            
(5星)	 菊花宝典            
(NA)	 回忆            
(NA)	 恩……赞呢这个也有            
(4星)	 小时候爱死了好么            
(5星)	 李南星！我的梦中情人！            
(3星)	 1992年，布景太假。            
(2星)	 新加坡剧集一贯的生硬感，更囧的是这是至少两部武侠小说的山寨杂交品种……不对如果算上流星蝴蝶剑那应该至少三部……            
(4星)	 小时候觉得很神奇  印象很深            
(5星)	 这部能有机会再看看就好了 流星蝴蝶剑和东方不败的复合体            
(3星)	 对那女的印象很深刻。            
(4星)	 白玉川变成了个女的...........            
(NA)	 存目            
(NA)	 话说，李南星始终是俺心中新加坡印象的启蒙者            
(4星)	 尽管现在看来很傻，但是曾经美好的回忆            
(NA)	 当年觉得拍得灰常帅啊，主题曲现在都能唱：无怨无悔我走我路            
(4星)	 莲花争霸，李南星风头一时无两啊            
(5星)	 儿时的回忆，记忆犹新...            
(NA)	 由小蝶引发的血案，红颜祸水啊，女人要不得。还是男人找男人吧。            
(NA)	 小时候爱李南星            
(4星)	 朱乐玲是美的，特别是该剧扮相            
(NA)	 原来这剧是新加坡的……            
(3星)	 重温一遍发现竟然是流星蝴蝶剑+新龙门客栈+东方不败的合体版 太狗血了 配乐出自喜多郎+胡伟立            
(4星)	 小时候看得火~~貌似是罗文的主题曲，大爱            
(5星)	 我最迷恋的一个人物            
(NA)	 我觉得他们用了喜多郎的音乐……            
(NA)	 哇哇哇哇！！主题曲一响起就鸡冻了，这些童年的回忆我怎么都给忘了呢            
(4星)	 小时候看的。            
(5星)	 小碟是噩梦            
(NA)	 小时候阿小时候,一直对这个名字印象深刻            
(4星)	 主题曲和片尾曲印象深刻。            
(4星)	 虽然是抄袭古龙金庸小说的桥段，但当年还是觉得满好看的。。。            
(4星)	 印象太深刻了。。。。            
(4星)	 很经典啊。            
(5星)	 我对《葵花宝典》的最初印象，小时候叫《莲花宝典》。            
(5星)	 童年            
(4星)	 童年记忆的经典            
(4星)	 小时候看的。            
(3星)	 鸡冻啊~应该是我看过的第一部武侠电视剧，而且还是在彩色电视机上，更是我家的第一台电视机，永远记得！            
(4星)	 小时候超级喜欢看这类的武侠片            
(NA)	 小白帅死了啊……            
(3星)	 里面也有一个东方不败            
(3星)	 强大啊，流星蝴蝶剑和笑傲江湖结合了            
(5星)	 全凭当年的感觉 那个年代这就是经典！我12岁！            
(5星)	 看过的印象最深的武侠剧            
(2星)	 喜感~            
(3星)	 小时候全家都看,情节在我小时候看来很雷人,喜欢小蝶的不男不女人~            
(4星)	 那个时候是喜欢看新加坡剧集的，剧情不平淡，演员也出彩，比内地的不知要好看多少倍。            
(5星)	 最记得的镜头，是几个孩子去偷看人家洗澡后面红耳赤的样子~            
(4星)	 小时候的经典            
(3星)	 很爱古龙和徐克版东方不败的导演拍的新剧            
(4星)	 原来是叫这么个名字....            
(5星)	 想再回忆童年黑白电视的感觉 第一杀手是谁 我都忘记了但是我还记得那个人的脸 忧伤的眼 童年一去不回             
(4星)	 李南星真索帅锅哇            
(4星)	 现在还会唱莲花争霸的主题曲            
(5星)	 好看好看好看，塔琳托娅太漂亮了～            
(NA)	 我喜欢看来着!            
(4星)	 想不起来了，呜呜。            
(4星)	 我和妹妹都看疯了,剧情忘了,只知道有个姑娘叫小莲            
(NA)	 多么华丽的自宫和～莲花宝典～=_=|||            
(3星)	 里面有个老演中性人的女人，长得太man了            
(NA)	 塔琳托娅的中性气质真绝            
(4星)	  古龙             
(4星)	 为什么我一直觉得这部电视剧是我童年的噩梦。当时又喜欢看又害怕看。奇葩的没魂。            
(5星)	 江湖路            
(5星)	 只记得主题曲很好听，新加坡人说话很嗲……            
(4星)	 小时候有多喜欢            
(2星)	 果然，童年的美好记忆就应该一辈子封装在记忆里。任何心血来潮的重温旧梦都只会把美好记忆打成碎片散落一地。现在再看，这剧就是低端剽窃的山寨剧啊chiyuu~~~            
(5星)	 当时觉得很色情            
(4星)	 竟然找到了……            
(4星)	 这片子到底说什么来着  忘了            
(5星)	 什么时候，天地变成江湖。            
(5星)	 童年的记忆啊。。。            
(3星)	 除了我们的塔琳托娅的白玉川 我神马都不记得了……            
(4星)	 挖坟ing 话说这片名真土 我就只记得沈聪与小蝶才搜到的~~ 擦             
(5星)	 太经典了，至今为止都是最好的古装武侠剧～            
(4星)	 前几天半夜有强迫症的我居然从床上起来浏览了一遍该剧主要几集。。。。            
(5星)	 男变女男变女！！！我喜欢里面另一个小杀手，不是沈冲。            
(5星)	 无怨无悔我走我路，走不尽天涯路……            
(4星)	 小时候的记忆，新加坡剧。。沈冲，白玉川，小蝶。。。当年是多么喜欢看。            
(4星)	 唐娜美            
(5星)	 故事改编的还算不错，一锅烩了不少香港武侠电影，白玉川异常出彩            
(5星)	 沈冲，小蝶，白玉川            
(NA)	 就冲这名字也看过了。。            
(5星)	 神剧！神OP！            
(5星)	 葵花宝典的扛鼎之作！简直可以给你打六星了！印象还在，印象还在的。哈哈哈哈。            
(NA)	 今天想起来还看过这个。。。            
(4星)	 想来 李南星也是我年少爱人            
(3星)	 画质差到眼裂……OTL            
(3星)	 我记得其中一个男的很神奇地变成了女的。。。            
(5星)	 喜多郎！变性冷！            
(4星)	 男主角是90年代最受欢迎的新加坡古装帅哥了吧，演白玉川的蒙古帅姐真是令人难忘啊，另外片头曲真好听。            
(5星)	 莲花宝典 屌            
(5星)	 回不去的童年            
(3星)	 现在看，新加坡人民拍的连续剧好诡异啊            
(5星)	 李南星好帅 超级喜欢秋大姐~~            
(4星)	 怎么就白玉川了呢？？？？？            
(3星)	 小学四年级，还记得几张脸，和人生唯一一次去广场看升旗前熬夜的夏令营            
(4星)	 那些名字我都记得，就是想不起人长啥样了...            
(3星)	 雷人片始祖！            
(NA)	 儿时经典武侠，一点也不记得情节，只记得有个东方不败一样的变性高手，还貌似以美色和几人发生了关系。主题曲很喜欢：无怨无悔我走我路~~走不尽天涯路~~            
(4星)	 小时候坐在大院的放映室里的经典，泪奔···            
(4星)	 白玉川～～小时候超爱看            
(NA)	 最后一集是喜剧。。。            
(4星)	 童年回忆            
