http://movie.douban.com/subject/2229479/	穿越时空的爱恋
(3星)	 因此对朱允文很有好感            
(5星)	 相当之喜欢的电视剧，到现在也不清楚片头片尾曲是男还是女的唱的            
(5星)	 最后一集从开始哭到结束。            
(4星)	 六年级的时候觉得很好看            
(4星)	 绝对是穿越的早期教育            
(4星)	 上历史课学到明朝的时候老师说郑和下西洋其实要去找一个失踪的人 我们都在下面笑 其实他穿越了 哈哈哈哈            
(3星)	 张庭笑起来好可爱 除此之外对这个没啥好印象了 但是 比春光猪八戒好 真的 真的比那个好 那太弱智了            
(3星)	 纯粹看张庭。            
(5星)	 你知道我豆蔻时候多无聊了吧            
(4星)	 当时看觉得很搞笑            
(3星)	 内个张庭啊。长的真好            
(3星)	 穿越剧鼻祖。            
(5星)	 我就是喜欢张庭啊~~她太可爱了~            
(3星)	 没看到结局！            
(4星)	 挺好看的～            
(5星)	 当年看的都笑抽了啊            
(4星)	 朱棣好帅啊TVT            
(NA)	 我看过明穿。            
(5星)	 穿越剧最爱没有之一！            
(4星)	 张婷的酒窝            
(NA)	 喜欢那个王爷( ⊙ o ⊙ )            
(2星)	 无聊！            
(5星)	 我以前老喜欢看了，搞的我弟弟也没事看这个。            
(4星)	 小玩子，仙仙~~            
(3星)	 我发现只要一部剧一部电影中有不止一个女主角，我喜欢的就必定跟大家都不一样——譬如这一部里我喜欢的就是张楚楚而非小玩子……            
(3星)	 张庭，烤鸭子最适合你了            
(5星)	 小丸子好好玩            
(3星)	 穿越了~~~            
(4星)	 很好玩。            
(3星)	 学习明朝历史            
(4星)	 就因为历史书上的那句“建文帝下落不明”编剧就能编出这个剧本 想象力真的很丰富             
(3星)	 初中时看~没看全，结尾很好玩            
(3星)	 记得高中看过一本类似的书，云在人间月在天，嗯嗯            
(NA)	 当时因为军训没看上大结局，郁闷了好久......            
(4星)	 看过原著之后才发现  这电视剧跟席绢貌似没啥关系啊TAT            
(5星)	 晚上的时候一直再翻小时候看的古装电视剧--，我发现大家的打分都好低啊，明明这么好看的，记忆中最好的穿越剧，“小玩子”xD~~~~~            
(5星)	 好喜欢张庭呀呀呀呀呀。            
(NA)	 最早的穿越？            
(4星)	 补标 初一时候的电视剧。那时候很喜欢看。            
(3星)	 當時看了開頭挺有趣的，不過後來沒有追看            
(4星)	 十一二岁的时候总是对这种傻逼剧欲罢不能==            
(NA)	 当年我妈也爱看~！            
(3星)	 过。            
(4星)	 很少看到徐峥有头发。。。            
(NA)	 当时很喜欢徐峥哟=v=            
(NA)	 張庭有一個造型很好看的            
(3星)	 和我爸一起看的 我爸喜欢            
(1星)	 太无聊了太无聊了，太难看了太难看了，我的青春糟践了……            
(3星)	 好小的时候多喜欢的            
(3星)	 讨厌徐峥，国产穿越            
(1星)	 用来扫明朝史是绝对不明智的 = =            
(3星)	 嗯，我记得徐峥最后一身古装的趴在公车顶上~ 原来建文帝失踪还有这个一说。。。            
(3星)	 模仿《遥远时空中》            
(2星)	 张庭笑得跟老鼠似的，哈哈~            
(4星)	 最经典的穿越啊            
(3星)	 席大。            
(5星)	 现在看感觉还是很不错~            
(3星)	 很多人从这个电视剧中认识了建文和永乐帝            
(3星)	 日。            
(4星)	 张庭 徐峥             
(1星)	 甩~            
(3星)	 某穿越电视剧。不太喜欢张庭，若她以演乾隆里的小鱼儿的年纪去演小玩子，那会很好。恶心那柳如眉，丑死了，导演欠她钱还是潜规则啊，让这种人演女二！            
(4星)	 喜欢张ＭＭ            
(4星)	 挚爱张同学。            
(NA)	 ~不断想起啊……            
(NA)	 事实就是这个电视剧我肯定看过呗.指不定席绢的小说我也看过.            
(2星)	 算早期穿越剧了吧            
(4星)	 当时觉得张庭和徐铮都好可爱啊            
(NA)	 内地穿越电视剧的先驱了吧            
(4星)	 啊呀 我小時候也看過的啊 這個應該是穿越的第一部經典吧            
(4星)	 差不多是穿越始祖了 还有就是寻秦记            
(4星)	 如果说能给《步步惊心》打5星的，就能给这个打6星。            
(3星)	 张婷的酒窝，那时大爱的            
(4星)	 那时候爱死大嘴张庭啦~            
(3星)	 没看全……            
(4星)	 当年可喜欢看了T-T            
(5星)	 无比怀念那熟儿~            
(4星)	 我好喜欢这个的啊~哈哈哈哈哈哈哈！！            
(NA)	 五年级的时候看过！！！            
(3星)	 这个才是第一部穿越戏吧！            
(5星)	 这个也是鼻祖啊亲！！            
(NA)	 张庭笑起来很好看。。            
(4星)	 第一次知道穿越..(￣▽￣&#34;)            
(5星)	 小学的时候最喜欢的一部片子。。TT 我的LOLI时代啊！！！！！！！！！！            
(4星)	 好像主题曲很熟稔，很多人都在唱。            
(3星)	 我看的第一步身体穿的剧~            
(2星)	 我觉得吧，建文帝肯定是来现代了，我对那段历史的了解，也就全靠这部不靠谱的电视剧了。            
(4星)	 童年的记忆            
(4星)	 张庭演这个的时候已经32岁了。。。神啊。。。            
(4星)	 记得张庭甜甜的酒窝            
(3星)	 我知道这是文化工业的一员，甚至还是低端的。但还是又看了一遍。这样糟糕的心情只想看到张庭挂着大酒窝的笑。十六岁时看只会被朱棣这样成熟有力的成年男子吸引，八年后倒是注意到了情深似海的少年。但少年只能少年一次。犯傻也只能犯傻一次。朱砂痣和白月光大概都蛰伏在少年时的犯傻和成年后的梦呓里吧            
(4星)	 第一步穿越剧            
(NA)	 小玩子~            
(4星)	 烤鸭记忆犹新            
(NA)	 小玩子==            
