http://movie.douban.com/subject/2229482/	拿什么拯救你，我的爱人
(4星)	 啊 刘烨            
(4星)	 刘烨            
(3星)	 每次都忘是不是他杀的            
(4星)	 刘烨演得不错的说！            
(4星)	 第一次爱上刘烨            
(4星)	 我爱我爱，看了十多遍.虽然女的很矫情,但很爱很爱。            
(5星)	 看多少遍还是很喜欢刘烨同学ww            
(3星)	 从镜头语言的表现，已经可以看出赵宝刚风格的逐渐成形。始终不能接受罗晶晶浑身阴郁又愚蠢的气场。            
(3星)	 挺喜欢于娜的长相。            
(5星)	 大爱的一部国内电视剧咩~~~~~~~~            
(4星)	 就不喜欢于娜            
(NA)	 我喜歡劉燁!!!!!!!!!!            
(5星)	 海岩剧中 最爱的一部  龙小羽是真实的            
(5星)	 电视剧情节真的扣人心弦！当时安徽卫视晚间首播时，俺是跟小姑一家人一起熬夜看完的！！只是可惜电视剧里激烈情节太少，我要看帅哥身材嘛！！！            
(4星)	 当年导演选演员的眼睛实在是太毒了！！！现在从看这本书，一见龙小羽就想起了刘烨，韩丁就想起了印小天，傅晶也很赞！当时觉得于娜演技好差，但是现在看书，觉得她还是胜在气质相符，有点本色出演的味道。因为这部戏更喜欢绍兴，最近在看书，才发现原来东浦我是去过的，下次去石桥！            
(4星)	 它的主题歌 我大概两辈子也忘不了            
(3星)	 当时对印小天印象很不错。海岩剧的一贯风格，不喜欢于娜            
(4星)	 对啊~龙小羽不错啊就            
(5星)	 最喜欢的一部，从剧情到演员。韩丁啊韩丁~~~~~~我的韩丁你在哪儿呢？            
(NA)	 哭了            
(4星)	 大陆            
(4星)	 刘烨不用说了 其他的也还凑合 剧本不错            
(3星)	 我一向哈拉型男。            
(NA)	 tv第一次看到刘烨 且他戏里一般不露面 反而印小天让我动情但后来一米阳光时也就消失了            
(3星)	 人  应该活的自私一点            
(5星)	 故意伤害与故意杀人            
(4星)	 當年經典...            
(3星)	 这部剧让我认识了印小天。            
(4星)	 刘烨可好看了。但是里面印小天也太完美了吧。另外，于娜是个败笔            
(4星)	 龙小羽这名真好听。刘烨当时多他妈帅啊。            
(5星)	 看了这个开始喜欢刘烨了            
(5星)	 小天真的很招人喜欢。            
(3星)	 当时的演员都太青涩            
(5星)	 于娜太漂亮太有气质，天生的模特胚子，可是太不经糙勒。刘桦你太经糙勒，不糙都演不出那味。印小天你太正气勒，演坏人都演不出那味。不晓得应该怎么说这片子的优点，但是看起来就是觉得还不错，我也不知道为什么。            
(4星)	 这三。。印小天被海澜之家毁了，刘烨自从无极之后就没演过正常角色，于娜。。。在哪呢？            
(NA)	 其实蛮好看的。那个演打工妹四萍的妹子长得也满漂亮的~            
(3星)	 學院派演出。            
(5星)	 当年这片儿最让我留恋的是里西湖那栋小洋楼            
(3星)	 刘烨是阴冷派,看完我例假不好            
(3星)	 第一次看见刘烨            
(4星)	 印小天啊！！！！！            
(3星)	 韩丁 那时候我就不爽刘烨了            
(5星)	 刘烨～～～！～！～！            
(3星)	 广播剧更深入我心            
(NA)	 喜欢印小天那样叫“晶静”            
(2星)	 刘烨当年文艺气很浓的诶.....不过剧情烂了点            
(NA)	 补遗            
(3星)	 最初认识刘烨 喜欢~            
(4星)	 如果不是于娜太差，完全可以打五星的。。。            
(NA)	 当时超级喜欢刘烨。            
(4星)	 不错的故事            
(4星)	  刘烨             
(4星)	 刘烨，印小天...            
(5星)	 无疑是经典。            
(4星)	 好            
(4星)	 还是很喜欢刘烨的表演。。            
(4星)	 刘烨的阴沉还有一点点凶狠和土气，这片子再适合没有了            
(3星)	 交织的悲喜，让观众都沉溺在影像塑造的沧海桑田里。             
(5星)	 我爱刘烨！            
(NA)	 看过 有感觉~            
(NA)	 话说此时才算是真正爱上刘烨，天生的演员胚子，这几年算是给盛名废了，不好好拍戏了。            
(4星)	 刘烨在里头是在忧伤得让人揪心            
(5星)	 想到很多人和事            
(4星)	 我还是觉得印小天好可怜..            
(4星)	 貌似没看完...            
(3星)	 演的不赖呀，小烨同志。            
(3星)	 挺吸引人的，当时觉得。            
(4星)	 真是跌宕起伏，最后，到底是不是他杀的呢？            
(3星)	 又是半夜偷看的电视剧,超同情印小天.付出这么多好像得到的只是伤痛.讲得故事我觉得一般,不过帅哥美女我还是愿意熬夜看的~            
(3星)	 朋友特喜欢看 说是个长的帅的民工 就喜欢那种民工样 穿西装反而不像他了            
(4星)	 看的时候觉得女主角好看~可是她走在T台上倒觉得不好看了。。            
(5星)	 情节好曲折。            
(4星)	 对刘烨的热爱最初的来源。            
(NA)	 韩丁那个“晶晶”的发音真是叫人印象深刻            
(4星)	 那啥拯救被孽缘牵绊的这仨人呃。。= = 结尾姚大维内段总结真精辟~            
