http://movie.douban.com/subject/2229576/	上错花轿嫁对郎
(4星)	 每次看到聂远跟黄奕這對出現我就歡樂啊歡樂…哈哈，太愛這對…            
(5星)	 哎呀妈，白展堂演了驸马呀，当时好年轻哇。            
(4星)	 李玉湖小两口蛮有爱，李佳璘演的杜冰雁真是蕙质兰心，怎么后来尽演狗血伦理剧了。            
(4星)	 现在发现原来里面有老白！            
(NA)	 竟然有沙溢            
(4星)	 聂远和黄奕曾经一起过            
(4星)	 那时的沙溢好年轻啊!            
(4星)	 很好看的大陆古装片            
(4星)	 当年因为没看到结局而怨念很久=___=竟然有沙溢太神奇了T T            
(4星)	 当年青涩的黄奕和聂远啊……我喜欢里面的扬州话……虽然很不标准……            
(4星)	 这时候聂远的头发还挺多。            
(5星)	 小时候非常爱看，因为停电少看了一集在那哭            
(NA)	 吕每晚都来我家看，多亏她，那些夜晚才没有那么愁苦。而戏里的每首歌，都令我想要简单快乐的人生。虽然，此一时彼一时。            
(5星)	 当年是多喜欢齐三公子啊~❤~基本上几对都很喜欢..但是对将军和杜冰雁那对爱不起来...后来看了席绢的这本小说..差很多嘛...QAQ..还是电视剧好            
(3星)	 土鳖国产剧            
(4星)	 我恶俗的推荐了。。。            
(2星)	 从那会儿就讨厌黄奕了            
(3星)	 李琳从军营离开时惊鸿一瞥 我就没用的看了全集            
(4星)	 小学时候的连续剧了哈哈哈哈哈            
(NA)	 小时候好喜欢看啊！那时候好喜欢黄奕和聂远            
(2星)	 我真觉得这个电视剧不怎么样！！            
(2星)	 开头好看 越看到后面越无聊。            
(4星)	 因为席绢才看的。            
(3星)	 小说不错            
(3星)	 我特喜欢那扮相            
(3星)	 黄奕演戏非常非常的——做作！            
(3星)	 那時候看【上錯花轎嫁對郎】是因為同學說裏面演杜冰雁的演員姓名和我一樣長得也和我非常像。好像是有一點像，但沒他們說的那麼像= =            
(4星)	 一般般吧，身材不错。            
(3星)	 卧槽 小学那会儿喜欢的不得了             
(3星)	 那时候觉得黄奕还好看 现在看怎么那么丑啊！            
(3星)	 那个时候的聂远和黄奕 远没有现在这么挫亮点是老白 所以后来看到武林外传 一点都没有惊奇 倒是帅了蛮多            
(4星)	 那时候的李玉湖和杜冰雁啊~~~尤其是老白那时候还是小白啊！！！            
(NA)	 我喜欢袁不屈= =！            
(NA)	 吐= =            
(NA)	 补遗            
(3星)	 额滴神            
(2星)	 我第一次给“较差”。。。看书的时候我是多么萌袁不屈和杜冰雁这对啊！            
(3星)	 这片子剪辑太烂了            
(4星)	 虽然有点雷。。而且，居然有白展堂！那瘦弱的哟囧~            
(2星)	 除了黄奕另外那个女的不仅暴丑，人品还暴差            
(2星)	 妈呀，要多搓有多搓            
(4星)	 席大~            
(3星)	 好老的片子 还是不错的            
(3星)	 原著的书好看多了~            
(5星)	 床上那滴血可是我的启蒙课            
(4星)	 可爱的姑娘，可爱的故事。            
(3星)	 太阳。            
(NA)	 子啊~ 宽恕我吧~            
(3星)	 席绢的能拍电视，也不错了。黄奕太做作。            
(4星)	 很有趣的换位            
(NA)	 内个.往事真不记得为什么要看这玩意儿了.也许因为席绢大妈?            
(NA)	 安徽台看人家湖南台拍小燕子火了，也坐不住了…片子还成…不过老实说，知道安徽台在电视台实力排名就在湖南之后的时候我还是得意了一下下            
(4星)	 主要看黄奕            
