http://movie.douban.com/subject/2229596/	东游记
(5星)	 为什么这么多年过去了，我印象最深的是最后，何仙姑问吕洞宾，吕动宾有没有爱过何仙姑，而吕动宾反问，那么何仙姑有没有爱过吕动宾呢？顺序不知道对不对，但是就是这样的两句话，当时让我很惆怅.            
(4星)	 想当年超喜欢何仙姑            
(3星)	 当时就想，明明何仙姑比什么牡丹好看很多，吕洞宾真不识货。            
(4星)	 超喜欢何仙姑的，牡丹就算了            
(3星)	 当初一直希望何仙姑和吕洞宾在一起            
(3星)	 当年我看好吕洞宾跟何仙姑啊&gt;&lt;            
(2星)	 景涛哥你还是咆哮吧，你不适合演神仙的。。            
(5星)	 我最近不知道怎么了，常想起来小时候看的这些莫名其妙的电视剧，这个给我印象真的好深，而且那时教主也不吼的那么厉害。真的挺好看的，杨佩佩出品。            
(3星)	 郭妃丽很漂亮啊~~            
(4星)	 牡丹仙子这么美 为什么这么惨            
(3星)	 全给郭妃丽的美貌            
(NA)	 记得当时还是很喜欢韩湘子和龙三公主的……            
(NA)	 开始怀旧了            
(4星)	 呀，那个新加坡的郭妃丽惊艳。            
(3星)	 帅气的韩湘子啊……常铖            
(4星)	 “共饮一杯酒，人间本来情难求，相思呀难了豪情再现，乱云飞渡仍闲悠。”            
(NA)	 哇，好久之前看的了            
(NA)	 小时候看，现在已经记忆模糊~场景很迷幻~传说中的狗咬吕洞宾            
(3星)	 CULT            
(5星)	 这么好看的剧。。。。。。            
(4星)	 太好看了，新加坡美人。            
(3星)	 咆哮哥出场            
(3星)	 郭妃麗好看的~            
(3星)	 小时候看的时候喜欢韩湘子            
(NA)	 记得何仙姑很丑            
(3星)	 八仙过海。。最后的镜头。。            
(NA)	 新加坡人的发音还真是....不习惯            
(NA)	 很喜欢那个牡丹仙子。            
(3星)	 哈哈，这个雷人的剧我竟然追看过            
(2星)	 其实我主要是看咆哮教主来着~            
(NA)	 小时候觉得牡丹仙子很美            
(4星)	 何仙姑。就不喜欢那个白牡丹。            
(2星)	 囧……            
(3星)	 咆哮马在这里终于不咆哮了。。。            
(3星)	 一群新加坡人            
(3星)	 随便看过            
(2星)	 小时候看了都觉得太纠结了            
(4星)	 那个时候超级喜欢牡丹仙子的哇~！            
(NA)	 原来大家都喜欢何仙姑            
(5星)	 爱，哎~~            
(4星)	 我实在想不明白为什么当年会喜欢那个穿山甲囧。。。。。。。。。。。。。            
(3星)	 何仙姑好美。            
(3星)	 印象蛮深的，主题曲还会唱，好像挺喜欢吕洞宾。很少见群像式主角            
(3星)	 电视台播的话 怎么都要看的吧哈哈            
(5星)	 对月行单望相护，只羡鸳鸯不羡仙            
(3星)	 那时候的马景涛还真是年轻。            
(3星)	 牡丹仙子美 何仙姑一上天庭会换服装……            
(3星)	 其实这个还是蛮好看的吧，对何首乌什么的印象很深。然后吕洞宾被搞得太纠结了。            
(5星)	 那个时候就觉得穿山甲真是傻傻走上了一条不归路还甘之若饴。。。而白牡丹实在是怎么看都看不顺眼的存在~            
(3星)	 最后的结局略显烂尾，其他都还可以            
(2星)	 说实话不好看，乱乱的            
(4星)	 很八仙的八仙故事            
(1星)	 非常无聊，完全混乱的关系……            
(3星)	 哈哈哈哈哈哈哈哈 教主咆哮的比较少的一部 突然响起来了  哈哈哈哈哈            
(3星)	 久了久了，1998年            
(3星)	 ..............教主是很啦轰的            
(4星)	 里面的白牡丹很漂亮，何仙姑很有气质            
(2星)	 幼年的一部电视剧。            
(3星)	 教主！！！！！！！！！！！！            
(2星)	 除了八仙啥也不记得            
(5星)	 记得当时超爱            
(NA)	 那时候电视台天天放，没完没了，记忆里总是夏天            
(3星)	 有段时间很喜欢看~            
(4星)	 很久以前看的……乱糟糟的……            
(3星)	   小学时的回忆之一            
(4星)	 还是蛮好看的，马景涛最好一次表演            
(3星)	 当时好像很喜欢那个女的             
(3星)	 凑合着看看，穿越来穿越去的搞也搞不清楚            
(4星)	 非常喜欢里面的音乐.还有,因为它是新加坡!!!            
(3星)	 说起来新剧的配音也蛮有特点的            
(3星)	 那时很喜欢韩湘子，现在看也是囧人一个；因为这剧狂喜欢九寨沟            
(3星)	 还满好看的，重播了N遍            
(3星)	 郭妃丽真的很漂亮的            
(4星)	 “何仙姑有没有爱过吕洞宾？”“那么吕洞宾有没有爱过何仙姑” —— 然后他们为什么只笑不说了呢。 一片怅惘。            
(3星)	 各种撸管            
(3星)	 教主也            
(3星)	 又见咆哮哥            
