http://movie.douban.com/subject/2237995/	东方茱丽叶 東方茱麗葉
(NA)	就是男女主在16集里面各自迎接来自四面八方的男男女女的诱惑……
(3星)	第一次看依晨演这样聪明的角色。
(4星)	说实在的，没有漫画好看！！
(3星)	亮点都在任达华的国语里。
(3星)	还行吧。觉得林依晨的声音实在是好难听..
(1星)	巨无语的一部片子……
(4星)	台湾偶像剧 
(2星)	我高估我自己了我以为我看得下去……
(3星)	发型。。。囧
(1星)	烂演技。
(3星)	why should i care at all.
(4星)	好看～吴尊帅的
(3星)	当年的东京茱丽叶！
(1星)	做作!
(3星)	吴尊表演太虚假了
(2星)	只记得很傻
(1星)	好瓜的电视。
(3星)	其实高三那时追这部戏，还有当时超男那个俞灏明最看不顺眼了。。
(2星)	丑得一翻起
(NA)	补遗      
(3星)	噱头很大……
(2星)	吴尊那种巨丑的脸
(2星)	小时候的经典漫画就这样被毁了==
(1星)	TND 要多恶心 就有多恶心 原著毁掉了
(3星)	有点想死的感觉- -
(3星)	两人相对匹敌，所以火花造得很好，其他可以忽略
(3星)	关于设计，设计的学生，好喜欢啦
(4星)	看过漫画，觉得，电视剧拍得也不错。恩，不错。
(3星)	一般般 我不喜欢不好笑的偶像剧
(3星)	可惜后面剧情拖拉了些
(2星)	★☆
(3星)	中间弃。吴尊留长发呵呵。
(1星)	为啥任达华你要蹦跶出来呢
(NA)	当时的吴尊好帅
(1星)	任达华啊 你跑来凑啥热闹
(3星)	和吴尊站一块，林依晨没法看了。。。
(2星)	爲什麽男人都想跟林瀨穗搞？
(3星)	不喜欢吴尊。
(2星)	简直···
(2星)	不喜欢林依晨。。。
(2星)	有些故事，当做漫画的时候挺好的，拍成电视剧就怪怪的=  =
(3星)	看过漫画版。这电视有多烂。
(2星)	任达华真囧
(NA)	唯一不觉得恶心的台湾剧
(2星)	怎一个恶心了得！
(3星)	可能是由于看过漫画吧，看着部也是花瓶男撑场的戏倒是更好接受一些，里面的林依晨很好强，很坚持，很有魄力倒是非常喜欢，虽然并不是超级美女，但是她有她自己的魅力……
(4星)	林依晨在里面的造型很漂亮 剧情很狗血
(3星)	我喜欢林依晨这个姑娘
(3星)	台湾制造。
(3星)	讨厌死吴尊了
(4星)	当时看完，很想找个像吴尊这样的BF，哈哈
(4星)	我爱林依晨
(1星)	林依晨著的衫都是色系很嫩的呢,明黄翠绿桃红,
(2星)	只能用一个字形容……囧……
(3星)	情节3，画面4，平均3.5。音乐不错。
(3星)	我看的只是你哈。。
(2星)	吴尊的造型实在是败笔 
(NA)	那时候看的 已经有点老了唉 主要是男主角太恶了哈哈 鸡皮疙瘩啊
(4星)	《东方茱丽叶》在线收看地址http://v.youku.com/v_show/id_XNjAyNDg3NzI=.html
(2星)	那啥...吴尊演技也太差了吧...整一闹剧
(2星)	略微有点窘~~
(3星)	怎么看都不觉得林依晨有设计师的气质。。。原因是这部戏的造型师也太赖了吧。。。一个做设计的人，怎么自己的造型设计都那么累赘的。。。。。。
(3星)	喜欢里面的吴尊 ·
(3星)	喜欢这里面的林依晨
(1星)	因为看过漫画原著~~因此觉得这部片子真神经~
(2星)	电视剧 
(3星)	马马虎虎
(NA)	迷吴尊时看的其中一部
(1星)	同样侮辱经典。
(2星)	阿尊怎么能那么丑呢？
(NA)	抽毙了。。
(2星)	虽然喜欢林依晨但我极其讨厌吴尊.被人骂就骂了.真的不帅而且没有演技.
(3星)	看不下去了。。。
(3星)	最大的败笔在于结尾，简直太失败了...
(3星)	我也要像穗一样。
(2星)	打死编剧~
(3星)	又是一部因为本人花痴和无聊的缘故看的剧
(4星)	林依晨 吳尊
(2星)	除了男主角比较帅以外实在不知道还有什么可看的了。女主角和漫画里的感觉差太远了。
(NA)	纯粹发花痴==
(4星)	尊少的处女作。表演青涩啊
(NA)	吴尊在里面的发型让人。。。！！
(2星)	两颗星是给以服装设计为主题的此剧，每多看一秒就让我越发后悔。原著里的林濑穗是个自信又非常又毅力的女孩，为了成为服装设计师而努力，林依晨那张长得就像谈恋爱的恋和吴尊软绵绵的演技。。真是看得我好不舒服。。。
(NA)	【2006-06-03】
(3星)	依晨帶吳尊拍了這個劇之後吳尊如願以償地進一步紅了，別的沒啥好說的
(4星)	我那时候居然觉得很好看- -
(1星)	 我看过最可怕的电视剧之一
(3星)	初中看的(﹁&#34;﹁)
(1星)	恶
(3星)	好像还专程找来看的。。。
(3星)	本来给 较差的，多一颗星给依晨的。依晨真的很棒！
(2星)	无聊
(3星)	太相似的情节不要变着法的出现啊……我还是喜欢纯粹的爱情故事。。。
(4星)	因为我都看过
(NA)	难看就一个字。。
(2星)	八卦组评NC剧俺想起这部来了……剧情完全就是男女主在一起然后男方来个三完了女方来个三完了男方再来个三完了女方再来个三 不知道第几个三出现的时候果断弃了
(1星)	真的很无语 天下女人都死光了是吧
(NA)	我也不知道为毛要看这部剧 一点也不喜欢吴尊 那就当是为了林依晨吧
(3星)	演偶像剧都让人吐血的人还去演什么电影。。
(NA)	华叔您自重
(2星)	我的亲娘
(3星)	吴尊长发实在不帅  林依晨小身材实在不咋的
(3星)	吴尊的发型是败笔，林依晨身为设计师不会给自己造型。
(3星)	我太讨厌林依晨啦
(4星)	情节不错。
(3星)	看在花季年华大爱的漫画和吴尊的面上，勉强看完了~
(2星)	只看演员的小脸，不管剧情，还是可以的……
(5星)	回去再一起重温~
(2星)	还是恶作剧之吻好看。
(3星)	超喜欢片头曲
(NA)	突然记起我在初中时期看过这部剧的漫画原版 原作日本那个谁画的很不错哎
(NA)	额........这个也很喜欢.....
(3星)	毁了我挚爱的北川美幸的《东京茱丽叶》了。
(3星)	再倒回去看小尊尊的 真他妈丑 失望 让我知道发型有多重要！！！
(4星)	吴尊也是长发人妖啊。
(3星)	http://movie.douban.com/pics/sth.gif
(2星)	林濑穗（林依晨 饰） 纪风亮（吴尊 饰）褚形
(2星)	给一星会不会太狠了一点
(2星)	我看了。。一点点。。
(3星)	只记得里面坚强而又忧伤的配乐了。
(2星)	其实吴尊真的挺帅的也。。。
(3星)	看过一点点 很悲情
(3星)	为了林依晨看的，记住的还是她的小风。还有贺军翔的阿ken。
(NA)	看没看完我忘了~不过很毁我心中的漫画形象。。。吴同学太娘，林同学不够倔强，只是耍小性儿罢了~还是去看漫画吧。。。
(1星)	毁了我的漫画全印象！！！！
(2星)	我的穗。。。为毛找那个肥女来演，我靠。。。
(3星)	毁了我心目中的亮
(2星)	吴尊在里面的头发= =受不了= =
(1星)	白痴！！！
(2星)	烂
(2星)	真难得一部电视剧一开始就无聊的，中间更是囧到看不下去了...张睿家居然要屈就于吴尊，实在太没天理了！！林妹妹的造型囧翻了，倒是裴美子酷似某日萍水相逢的中大美女...
(2星)	懒得说了
(NA)	看过一点，很喜欢主题曲《逆风》
(1星)	MD,我讨厌死这部电视剧了
(NA)	没这么看完 不过很喜欢里面的一首歌《放不下》阿禧推荐的
(5星)	第一次看它，一定会惊喜又精彩。
(3星)	吴尊这个发型实在没有花样少男少女上的帅
(2星)	真不咋地，就为了看看摔锅
(NA)	……台剧不要再改编漫画了，好不[掩面]
(2星)	不断涌出的“第三者”，无聊
(3星)	和朋友一起看了几集，还是觉得《我的秘密花园》的林依晨最对版。 
(4星)	喜欢！小雏菊，梦想，帅哥，设计，什么都有。任达华真有味道。
(3星)	吴尊就是我坚持下去的动力
(NA)	好早了.0 0开始喜欢林依晨
(3星)	我，单纯看吴尊去的。
(3星)	因为林依晨才给三星的，其他人绝对只给两星，剧本不怎样~
(5星)	大致看了一下下
(2星)	气死我了！！简直糟蹋了我最爱的唯爱的一部漫画！！！！
(4星)	因为漫画太经典
(3星)	剧情太压抑，漫画原作也不喜欢。
(3星)	为了依晨~我忍。。
(3星)	啊尊扮女人。。。
(3星)	喜欢主题曲 怎么还不出道= =
(NA)	看的依晨的第一部剧。
(3星)	北川美幸的少女漫画风~~~
(3星)	五颗星给吴尊，林依晨扣两颗。。。
(4星)	主题曲蛮有感觉滴
(2星)	早知道不如直接跳11集
(3星)	小时候的漫画比较好看呀，偶像剧哎……睡前当催眠用还是合适的……
(2星)	看了《恶》才发现其实她并不差~啊啊啊编剧大人...
(3星)	片头曲挺好听的。喜欢小雏菊。
(4星)	谁让男女主角我都喜欢...
(2星)	对吴尊审美疲劳。里面的歌挺好听。
(3星)	林小姐在里面挺漂亮的 好看的衣服好看的造型 这部剧让我对吴尊改观 让我发现他其实很帅的
(3星)	台剧里面比较挫的，推荐看恶作剧之吻，你会喜欢林依晨
(4星)	好像是好久以前租碟子看的。
(4星)	这是我最爱的漫画哈哈
(2星)	疯了..
(2星)	非常之无聊
(3星)	咳咳、
(3星)	想当年 彻底黄毛丫头的我啊抱着漫画的时候啊 看的多么起劲啊
(4星)	吴尊第一次亮相~~嘻嘻很喜欢它的主题曲《逆风》
(3星)	还是健身教练比较适合你 吴尊
(NA)	除了小雏菊什么都没有。人家是偶像剧 不要要求太高。
(1星)	简直nc
(NA)	没看完。。。
(3星)	这部稍微正常点！
(3星)	故事可以，演的不行
(4星)	东方朱丽叶
(4星)	一边是仇人，一边是恋人。总的找个两全的办法。穗是一个很努力的女孩。
(NA)	吴尊当雕像还可以忍受 看着他念白能让人把隔夜饭吐出来
(4星)	嗯。。。就，还好。。。
