http://movie.douban.com/subject/2239286/	宰相刘罗锅
(4星)	 最记得里面有个荔浦芋头，很好吃的样子            
(4星)	 我是看着这个长大的。            
(5星)	 满好玩的片子，李保田就是这样红起来的。            
(5星)	 无人演的不好            
(5星)	 重温经典，编剧、导演，连写歌的都是神人，童声唱的主题曲一语警醒当代人——“天地之间有杆秤，那秤砣是老百姓”，乾隆、刘墉、和珅之间的博弈值得当代领导人借鉴。            
(NA)	 王刚拉屎那段特逗            
(4星)	 当时咱也是看的欢天喜地            
(4星)	 很好玩的电视剧，斗智斗勇，第一次认识和珅这个人物~~            
(4星)	 很久以前，小学            
(4星)	 小时候很喜欢，现在不记得了，却也不想再看一遍。            
(5星)	 李保田大爱啊，            
(3星)	 有史以来播过最多的节目～我姥爷的最爱～            
(2星)	 唔 性启蒙下去吗            
(4星)	 陪妈妈看了N次            
(NA)	 看完就睡觉,所以很怕片尾曲            
(4星)	 就是喜欢李保田！            
(4星)	 古董啊。            
(5星)	 刘罗锅啊～～            
(4星)	 不记得了……            
(NA)	 小学应该看过。            
(5星)	 很不错。            
(5星)	 还是这玩艺儿经典！            
(5星)	 我就送您俩字儿：真贫            
(3星)	 我阿公喜欢的。            
(5星)	 很经典的宫廷喜剧，张国立后来照这模式弄了不少，王刚演爆搞笑，李丁插科打诨也很棒            
(4星)	 小时候特爱看得电视剧.其实里面的刘罗锅写的更象纪晓岚            
(5星)	 戴娆            
(4星)	 我记得原来这主题曲连幼儿园小孩都会唱。。怎么唱来？            
(4星)	 百看不厌小时候            
(3星)	 就记得个驼背~            
(1星)	 好难看啊。            
(5星)	 老张~            
(NA)	 故事里的事说是不是不是也是 特小就会唱这个            
(4星)	 我不咋记得剧情了我只觉得李保田驼背的样子跟我爸很像。然后我们一家人围在火盆旁边看这个剧。            
(5星)	 到现在只要电视台放都还会看            
(4星)	 小时候看的            
(4星)	 当年真的挺逗乐            
(NA)	 天地之间有杆秤 那秤砣是老百姓 哈哈哈哈哈哈            
(NA)	 当年大爱，看到结局夕阳下的老头罗锅着的背影，不谙世事的伤感了很久。。。。            
(NA)	 這李保田是個寳            
(NA)	 补遗            
(5星)	 哈哈~            
(4星)	 嘿嘿            
(NA)	 童年回忆            
(3星)	 我真无聊。            
(4星)	 有意思。            
(5星)	 他为啥有两个老婆 = =            
(5星)	 ~~~立脯芋头            
(3星)	 那时家里在看这个电视剧，被家庭作业束缚的我也时不时溜出来看几眼。让我想起幼年听妈妈讲阿凡提的故事，小聪明斗大奸贼。            
(4星)	 全凭当年的感觉            
(5星)	 大陆此类电视剧的开山鼻祖，比后来的多了很多现实讽刺意味，值得再加一星            
(3星)	 天地之间有杆秤            
(4星)	 片尾曲我会唱啊～            
(4星)	 热播的时候我要早睡早起去上小学，所以没看到结局，第二天，我吃午饭，问道：“外婆，给我说说结局吧。”            
(4星)	 额。。。            
(3星)	 故事里的事，说是就是不是也是……            
(4星)	 很逗，野味很足~            
(5星)	 那个时候 真的全家都在看..在KTV里还唱主题曲 哈哈            
(4星)	 经典。            
(5星)	 经典电视剧啊            
(5星)	 小时候超喜欢的。            
(4星)	 哈哈哈哈.........            
(4星)	 是小学吧            
(4星)	 小时候，热遍全国，翡翠台居然还播了粤语版，前两年。在那之后，什么微服私访系列，把这种风格做滥了。开山之作，是天才也            
(5星)	 某个冬日睡了一天两夜，闲得发慌，看此片，然后喜欢上了。            
(4星)	 我们一家都爱看。            
(NA)	 我突然很想吃芋头            
(5星)	 就唯一那么赞的连续剧。            
(3星)	  片头曲我会哒            
(2星)	 还没感觉。            
(4星)	 我怎么觉得那时候的李保田比现在还老？            
(5星)	 十几年前了。。。            
(5星)	 我喜欢聪明的人            
(4星)	 陪着妈妈看电视的岁月            
(3星)	 当初看的时候挺喜欢. 这电视剧是我爸爸的最爱            
(3星)	 吃“大粪”那集把我笑得抽筋，我果然低级趣味            
(4星)	 不错            
(4星)	 小时候看的连续剧还挺多的            
(4星)	 王刚老师            
(5星)	 以前觉得王爷最傻乎乎，大了才知道闷声发大财的就是他这样的            
(4星)	 天地之間有杆稱，那稱砣是老百姓，秤杆子啊挑呀挑江山，你就是那定盤的星。            
(4星)	 忘了差不多了            
(5星)	 小时候的记忆呀~            
(4星)	 李宝田是个画家的。            
(4星)	 童年。            
(5星)	 多好看的电视剧啊 比现在乱七八糟的强多了            
(3星)	 还行            
(NA)	 天地之间有杆秤！            
(5星)	 http://tv.sohu.com/20100302/n270526654.shtml            
(4星)	 宰相刘罗锅热播期间我最热衷最骄傲的日常活动之一就是向所有来我家做客的叔叔阿姨们表演“刘罗锅式动耳朵”！叔叔阿姨可喜欢了！            
(4星)	 是更早以前的回忆了            
(4星)	 那时候这几位叫一个年轻啊~现在个个是大物~            
(5星)	 印象最深刻的就是前面一直很很很好看，到了倒数第二集的时候，整整一集都是刘罗锅和和珅在大牢里的对话，忒无聊了，于是印象里这剧就是虎头蛇尾            
(4星)	 。。。            
(4星)	 天地之间有杆秤~~和我爸妈一起追看的。            
(4星)	 李保田是徐州人哦            
(4星)	 很经典的一部戏，应该叫戏说宰相刘罗锅比较好            
(NA)	 我居然是刘墉的后代？？好雷的结果。            
(5星)	 我只想说张国立演的这个乾隆，真够色的……            
(5星)	 难得啊，我爸都大赞的电视剧            
(4星)	 可清朝没宰相啊！            
