http://movie.douban.com/subject/2240659/	李后主与赵匡胤
(3星)	 吴奇隆没李煜那种感觉~            
(3星)	 黄太祖很赞，吴后主很柔弱，还有个腹黑武夫赵光义，于是这戏好多西皮啊~~（我在说神马…掩面…）            
(3星)	 剧本编得太野史了。。。还好演员不错，多少弥补了这一点。。。            
(4星)	 男女主都爱啊！当时小心脏太荡漾了            
(4星)	 从此剧可以看出自己的品味低的有些吓人了，演员服饰妆容，都很美啊。也不记得哪个台了，剧集中间插的片花美啊美。好吧，主要是因为爱慕陈文豪，掩面。可惜，老矣，只能怀念了。            
(2星)	 我妈喜欢。            
(3星)	 其实，吴奇隆在该剧里的表现可圈可点，不但高帅富，而且悲剧气质。刘涛的大周后比起何晴是另一种气韵，秀丽不足、大气胜之，但反而就削弱了大周后被妹妹夺其所爱的柔弱感。但是该剧的女配实在是...熊乃瑾个怂货，整和没整都那么丑。            
(2星)	 赵匡胤哭了            
(3星)	 原来看过那么多。。。这种剧            
(5星)	 除了有不太符合历史的YY部分，作为一个电视剧，这戏够完美的了。            
(2星)	 其实。。怎么说呢。。好戳雷点的一本= =。。当时看了第一集就再也看不下去了。╮(￣▽￣&#34;)╭             
(NA)	 我靠( ‵o′)凸 果然是CCAV放的 陪老妈看过几眼(￣旦￣；)             
(3星)	 这个，赤果果的标题赤果果的基情啊。            
(2星)	 珊哥在里头跑龙套            
(NA)	 带不走的，并不代表不属于你。            
(1星)	 烂片            
(3星)	 其实没看完，对电视剧是越发缺乏看完的精神了            
(3星)	 看的时候还不叫这名。那个时候对吴奇隆演李煜嗤之以鼻，就老庞一直在旁边说他演得好，现在觉得吴还满像那么一回事的啊。剧情安排赵李二人同时喜欢周后比较老梗，这部剧的后遗症是我俩出门必唱《虞美人》。不过那时候是看到小虎队任何一个人出来演就本来地排斥。            
(4星)	 一直很喜欢李煜的词。故事也不错。            
(3星)	 名字特尼玛基情了            
(NA)	 服装很漂亮            
(2星)	 负心薄幸            
(3星)	 很久前看的，记得刘涛的周娥皇很漂亮。            
(3星)	 吼吼~~我爱刘涛~~~            
(3星)	 对这段历史挺有兴趣，可是这剧雷点太多看不下去，弃了。小周后这个历史人物让我厌恶到骨子里了。吴奇隆我喜欢，男二当大将的时候很有风范可我总觉得太老了。。周涛的扮相不够美……还有那女二要不要那么可悲，被两个皇帝醉酒后都当做了娥皇。            
(4星)	 @加油的手性同分异构体 还不错，服装造型妆发很好看，其实出彩的是赵匡胤。。。            
(4星)	 历史剧情两星，吴奇隆一星，刘涛舞蹈一星。            
(3星)	 呃……其實我只看過十集同人剪輯，剪得那叫一個神……每集十多分鐘，大量使用原臺詞，CP見本劇名……神是因為它毫無違和感==            
(5星)	 娥皇死了以后故事就不好看了。            
(NA)	 就是爱里面的赵匡胤，重情重义！            
(3星)	 刘涛真美啊 在这里            
(3星)	 我认为这部片子最出彩的其实是赵匡胤啊！            
(2星)	 历史就不提了反正也是戏说。但是剧情太狗血了= =另：本剧美工过于凶残导致我对后来同时期剧的发饰服装完全看不上眼…            
(4星)	 很喜欢赵匡胤啊~            
(4星)	 当时觉得很好看，演员也好，剧情也好，服装道具都好，就是喜欢。唉，偏爱李煜呀！出生在七夕节的帝王，他生于深宫长于妇人之手。他不该是帝王，他应是骑士。错位的身份，悲剧的命运。            
(4星)	 刘涛的古装扮相真好看            
(3星)	 重拾回忆，初中暑假，中央一套。            
(4星)	 剧情不讨论。演员选得很好，黄文豪吴奇隆和刘涛。重现当时的美丽~            
(3星)	 只是朱颜改？何复为甚？            
(2星)	 本来特别喜欢李后主和他第二个老婆的爱情。可惜这里只注重了第一个。害我第二个完全无感。结局也不尊重历史。完全把李同志搞的跟个英雄一样。让他自杀。我呸。            
(4星)	 还是比较尊重史实的，连花蕊夫人都挖出来了。我路过九江的时候，无意中还寻到了天花宫，突然有种“人去楼空”“景在人不在”的沧桑感。。。            
(3星)	 真无聊的说            
(3星)	 赚了我挺多眼泪的。小三始终是小三，背叛始终是背叛。里面把李煜的词表现得还好。            
(NA)	 这名字就够了            
(NA)	 自己还喜欢            
(5星)	 涛姐美美的造型~~~可惜啊 红颜薄命            
(4星)	 尊的。。粉有爱。。女主素炮灰的。。            
(4星)	 女人是祸水啊。。。            
(3星)	 服装神马的华丽丽，很适合当我做视频的素材。            
(3星)	 看过这个才觉得，吴奇隆还是适合演文文弱弱的，四爷拿捏得还是不够好啊~            
(4星)	 为了此片，假期居然每天10点准时起床看！            
(4星)	 刘涛美人~~=3=李煜也是大爱啊~~~=3=            
(4星)	 恰似一江春水向东流            
(5星)	   那么旧之前 就让我记住了 熊乃瑾            
(4星)	 衣服很漂亮            
(4星)	 这个李煜确实是文采非凡。这个娥皇也是非常的动人            
(NA)	 我觉得刘涛最美的古装戏之一            
(5星)	 牵强得很好            
(3星)	 剧情很瞎,演员很美            
(3星)	 苦情啊苦情，为什么相爱的人总不能够在一起，陪在你身边只能是爱你的人            
(NA)	 刘美人！            
(1星)	 ……这么挑战耐性极限的剧我怎么就看完了（仰天）            
(4星)	 了解一段艳情史也不错哦。。            
(NA)	 一直是因为小时候的一部剧才对赵匡胤念念不忘，可惜只能怀念当时的好了            
(5星)	 赵匡胤            
(5星)	 虞美人 李煜 春花秋月何时了?往事知多少?小楼昨夜又东风，故国不堪回首月明中。 雕栏玉砌应犹在，只是朱颜改。问君能有几多愁?恰似一江春水向东流……            
(3星)	 电视台在播 看了两眼 意境很美 没有刻意再看            
