http://movie.douban.com/subject/2240665/	枪神
(4星)	 以前觉得男主角像张宇            
(4星)	 感觉当年拍的很悬啊，想当年我家还是个小电视机，看的相当high            
(5星)	 敖天是徐二牛，徐二牛是徐小明二哥。方正和袁佳丽真是很好的一对啊            
(4星)	 那时候追着看，少了一集都觉得魂不守舍。其实今天连讲的什么，都忘记了。            
(4星)	 哎哎万绮雯萌杀一切            
(3星)	 当时简直觉得吕颂贤就是世界上最帅的人了 现在想想 真囧            
(5星)	 当时着迷死了！耍枪耍得那么帅！回想起来一直以为男主角是温兆伦，现在一查才知道是吕颂贤，无语~~            
(4星)	 枪神超帅！里面的吴毅将超MAN！小时候好喜欢这剧            
(4星)	 长腿MM那个时候实在是好酷啊 后来追着她一路看下去 如今她早已嫁为人妇 我也不是儿时的那个我了……            
(5星)	 枪管接子弹，有没有？有没有？无坐力手枪，有没有？有没有啊~~~~经典            
(4星)	 看评论想当年迷倒多少少男少女            
(4星)	 真喜欢万绮雯和吕颂贤。            
(3星)	 嘿哟,冲哥还是这副腔调~            
(4星)	 万绮雯很美啊。            
(5星)	 枪神            
(NA)	 很搞笑的 当年看的时候陈锦鸿还是小配角 愣头愣脑超级搞笑的            
(4星)	 好怀念那时候半夜不睡觉看电视剧的时候呀~~~            
(4星)	 就记得当年觉得吕颂贤真是超级帅            
(5星)	 这个太经典了！！！            
(NA)	 重温吕颂贤主演的《枪神》，小时候看过，可惜一点儿也想不起来了，只记得很好看，当时很迷。浓郁的玄幻成分在里面，玄乎其神的枪法，杀手警察美女坏蛋英雄的江湖套路，再次看到了很多老演员。配音也很熟悉，过来过去就那几个，这几年看的电视剧都是他们，陪伴了这么多年，感觉也蛮亲切。            
(3星)	 眼睛            
(3星)	 早期的咯~            
(NA)	 难忘那时万绮雯            
(4星)	 这么好的片，竟然在IMdB上没有，可恶至极！！            
(5星)	 小学的回忆，那时我都想改名字想叫自己小明了。去年突然又很怀念，重新看一遍，果然还是很搞笑，小学时看这个很喜欢吕颂贤。            
(NA)	 童年回忆，唯一的印象就是冲哥在扭屁股跳舞的场景....我好怪            
(NA)	 还有吴毅将、刘锦玲呢。这部戏的万绮雯很漂亮            
(3星)	 这个真是很小时候看过了            
(4星)	 还不错            
(NA)	 ATV不多的好片            
(3星)	 又囧又雷又萌又搞笑，ATV常常都是不注重情节漏洞得，但又在某些地方塑造的让人格外喜欢。吕颂贤那时好青涩，演技也是傻傻的；万绮雯果然适合这种玩冷内热又毒舌的角色，喜欢尹名扬的时候怀念他的时候，点点滴滴印象最为深刻。最后，原来陈锦鸿暗恋过吕颂贤。            
(4星)	 这是一部神奇的剧集！            
(5星)	 从那时起就超级爱万绮雯啊啊啊啊~~~~~            
(4星)	 剧情已经不记得了···只记得以前和额娘看的很开心            
(5星)	 万绮雯的美貌让我神魂颠倒。难怪当年甄子丹第一眼看见她就疯狂了            
(4星)	 很搞笑，除此之外，讲的什么？警察的好像            
(3星)	  ATV 就是有 ATV 的风格，这部真的挺搞的，不过放在当年是很不错的，文文就是很美。            
(4星)	 小时候竟然看过这个哎，为看此剧我也和小姑争电视过，我心里小明的原型吖            
(5星)	 万绮雯一直那么滴美            
(NA)	 小时候简直觉得没有人比吕颂贤更帅了。。。。            
(3星)	 万绮雯真是童年时的梦中情人            
(5星)	 万绮雯 吕颂贤 一个很帅一个很漂亮。            
(4星)	 小时候超喜欢的            
(3星)	 现在看觉得好夸张啊，可是当时超爱的            
(5星)	 剧情忘得差不多了，只记得当年很爱~            
(NA)	 2009年的某天无聊 去PPS看了一点            
(3星)	 看过吕颂贤版的《笑傲江湖》，然后再看的这个。别的都忘光了，就记得一个吕颂贤，我是多么喜欢他的书生气......            
(5星)	 我爱傲明            
(4星)	 只有印象，没有记忆了            
(4星)	 激动。。小时候看的。都激动            
