http://movie.douban.com/subject/2241057/	帝女花
(3星)	 我喜欢马佘配。不过女二演的太好了，太坏了，坏的都不想看了，坏到极致了。            
(NA)	 女主角敢在倒霉点吗？？            
(3星)	 堂堂公主沦落也不至于洗衣做饭吧            
(NA)	 很久以前看的了。豆瓣的分类居然是惊悚。。。给囧到了。            
(4星)	 只是喜欢陈豪这里的戏            
(3星)	 根据粤剧名段改编~~很喜欢粤剧唱段帝女花……郭羡妮演技了得，坏女人和洛神中一样让人恨之入骨……            
(2星)	 要不是太长 要不是昭仁坏得太离谱 要不是长平太没风骨            
(3星)	 一看到马先生的名字就没有好感            
(NA)	 好烂好迷人啊……            
(4星)	 挺感人挺完整的古装剧            
(5星)	 那時我還認爲阿佘好靚女...            
(3星)	 看港剧需要忍耐力啊，不然直接看结局了，那些坏人，难忍……            
(NA)	 最后的时刻，崇祯的质问            
(5星)	  郭羡妮演的那个女的坏透了            
(4星)	 太惨了吧            
(4星)	 佘诗曼            
(3星)	 香港人所谓的大制作电视剧拍出来就是有局限            
(4星)	 囧囧有神            
(4星)	 从此喜欢郭羡妮了            
(4星)	 这部片子不怎么样 但是那时候多喜欢佘诗曼和马浚伟啊~            
(5星)	 这应该是在我眼中陈豪最出色的演出，嗯，对，他扮演了最入格的崇祯。阿佘跟马仔极为相衬，嗯，对，他们一直都很相衬。比如说零九年的台庆表演。            
(4星)	 周末档            
(3星)	 基本ok            
(3星)	 那会儿就不喜欢她啊。。。            
(3星)	 年少回忆。            
(NA)	 = =            
(3星)	 不太记得了            
(3星)	 陈豪做崇祯,邵美琪居然是皇后?!            
(4星)	 当初看的时候充满激情            
(2星)	 虽然比较喜欢佘诗曼，但是马浚伟这个天下第一大圣人真是让人受不了。。。            
(4星)	 感人            
(3星)	 众星云集.只是画面不好又太悲.和马浚伟多年之后觉得很般配。            
(3星)	 忘得7788了~            
(4星)	 主演很帅气，阿mo和羡妮的演技突破很大。从此认识了唐文龙这个帅哥。这里面让我对邵美琪这个母后印象很好！            
(NA)	 烂剧，over            
(NA)	 【2003-03-24】            
(3星)	 昭仁公主坏的招人嫌了            
(3星)	 陈豪是佘诗曼她爹，还贴胡子，猥琐啊            
(4星)	 这是我当年好中意的剧啊。。。帝女花是我唯一会唱的粤剧。。。            
(2星)	 原来这个我也看过。。。            
(NA)	 妮又演大坏蛋。TVB制作规模所限，太小气了。不过演技好题材好感情真挚。劫难半生同林鸟，花烛一对直照无崖岸。是不是这个词来着，超级复古的。陈豪演佘诗曼她爹啊，爹啊，爹，啊。。。。            
(NA)	 原来看过那么多佘诗曼的剧啊            
(3星)	 才波折~才纠结~            
(NA)	 马浚伟 帅            
(2星)	 落难公主和才子牌。            
(4星)	 女主惨惨惨。            
(3星)	 朱由检是这样吗是这样吗是这样吗 -_______,-             
(3星)	 还不错            
(4星)	 被折磨的死去活来            
(3星)	 我记得他断手            
(3星)	 想气死就看这个吧~~~真能把人气死            
(3星)	 看了一半，放弃。            
(4星)	 哭惨了            
(NA)	 前面挺好看的。            
(NA)	 又是不部看不下去的,郭演的片能绕就绕            
(2星)	 马浚伟看不下去            
(5星)	 超好看的            
(3星)	 和某人打开两个视频播放器看的。。。            
(3星)	 世顯的深情的確讓人感動可是這種女主戲實在看得火冒三丈善良得成仙的人不對胃口，真是“哀其不幸，怒其不爭”看不下去，能不能只看世顯。。。。            
(3星)	 太过苦情不太好。虽然我记得我以前马克过这部。。。            
(3星)	 长平的胳膊不是被崇祯错手砍得，是崇祯故意的            
(NA)	 洛神差不多            
(3星)	 我记得，是我生水痘的时候在医院看的            
(3星)	 粤语长篇琼瑶剧。。我是真喜欢郭羡妮演坏人。。            
(4星)	 妮迷心中的痛~~虽然有ss的长平公主 可依然没勇气再看一遍 昭仁公主为什么要这样            
(3星)	 没想象的好            
(NA)	 最爱之一~            
(3星)	 原来这部叫帝女花...            
(4星)	 我觉得还好啦.....            
