http://movie.douban.com/subject/2245754/	英雄之城 记忆之城
(5星)	 因为有谢君豪            
(3星)	 只为了我的谢郎            
(4星)	 人间地狱            
(4星)	 高中，中国版《忠勇之家》……            
(NA)	 看不下去，每次童蕾一出场我就崩溃。从来觉得豪叔演年代片，特别是跟大陆合作，完全不搭调，还是他的配音听着抽筋的缘故？还有，拍主旋律非得苦大仇深才切题么，那冯小宁得奖哪儿会是谁给评的？            
(3星)	 重庆大轰炸            
(3星)	 太沉重了            
(5星)	 07年连看了47个小时没睡过一分钟。。。。亲！爱！的！今！墨！            
(5星)	 历史 痛            
(5星)	 这部电视剧拍得不错  但是童蕾演技实在是烂到掉渣。。。换个女主角估计会红很多            
(5星)	 &#34;英雄之城&#34;这个名字真的很囧             
(4星)	 谢君  是个好演员            
(5星)	 重庆            
(5星)	 看完之后，心情沉重，我仿佛不是我了。一切都已经结束了，但是我的忧伤还在延续着……            
(3星)	 很喜欢的影像风格            
(5星)	 一寸山河一寸血，不教日寇过儿身！            
(4星)	 記得以前電視上放的時候 天天看            
(5星)	    我记忆中伤感的一部分，记忆中一直难以忘记的电视剧。            
(5星)	 我超级喜欢的，战争与一个家庭，还看过原著            
(4星)	 娘亲看完不愿看第二遍，说因为太惨            
(4星)	 谢叔的演技没话说！            
(5星)	 少有的看过以后还不忘的            
(5星)	 特别喜欢的电视剧            
(4星)	 当年哭惨了。            
(5星)	 我真心觉得这部剧很震撼。            
(5星)	 当年最爱啊！谢君豪演的朱今墨，怎一个帅字了得！            
(5星)	 又看了一遍，觉得实在有必要推荐一下这部不太红的电视剧，尤其是九一八之前。剧本好，每个角色都精彩，还有那段令人震撼的历史记忆。当然谢君豪的戏太令人着迷了。朱今墨这个五重间谍的角色其实有原型，叫袁殊。当然此君的经历，如同大多数地下工作者一样，让人不胜唏嘘。有兴趣可以搜索一下。            
(4星)	 当时爱谢君豪爱的要死呢，太帅了呢。说回正题，电视剧也非常好，重庆，记忆之城            
(3星)	 童蕾穿旗袍很有闺秀范            
(NA)	 当年还是跟我爸妈一起看的！！！&gt; &lt;            
(NA)	 谢君豪那个发型很帅啊，后来怎么。。。            
(4星)	 每次听到飞机飞过的声音，都会想起这部剧            
(4星)	 很感人的一部片，谢君豪在里面超有气质            
(5星)	 不是想象中教育意义的枯燥无聊的抗战片。这是关于一个民族一座城市一些人的震撼动人的史诗。            
(5星)	 震撼。            
(4星)	 重庆为躲避日军三日轰炸而窒息闷死的镜头永生难忘呀            
(5星)	 爱屎你了~~~谢生            
(5星)	 HC有理            
(4星)	 风衣不是每个男人穿都能这么帅的            
(5星)	 当这么多的人被活活闷死在那个防空洞的时候，我被震撼了。我很庆幸自己出生在没有那些个战争的年代里            
(5星)	 从这部剧开始喜欢上谢君豪，我就是喜欢老男人。            
(NA)	 很好。            
(5星)	 当年从这部戏开始喜欢大叔、喜欢谢君豪            
(5星)	 只是我最喜欢的抗战片            
(4星)	 记忆之城！记忆之城！            
(5星)	 很好看            
(5星)	 很有无间道的味儿，谢生功不可没            
(5星)	 我就是因为这部电视剧而疯狂爱上谢生的。。他的气质是在太有味道。。            
(5星)	 好看！            
(5星)	 有血性，家书写得好，难得国产电视剧拍得如此出色            
(NA)	 很喜欢剧中的每个人物！            
(3星)	 才知道这段历史，作为四川人惭愧呀！            
