http://movie.douban.com/subject/2246583/	苍天有泪
(4星)	 男主角太丑！            
(5星)	 蒋勤勤太惊艳了              
(4星)	 当时全家女同胞都爱看，然而当年我就没觉得蒋勤勤漂亮。朱茵倒是真漂亮。至于庹宗华……我到现在也不明白他哪儿帅            
(5星)	 那时的蒋勤勤真纯            
(3星)	 我喜欢焦恩俊演的那个坏蛋            
(4星)	 两个我喜欢的大美女啊！！我记得我好像还蛮喜欢焦恩俊旁边那个GG            
(5星)	 朱茵超漂亮。            
(4星)	 太好看了 ... 蔣勤勤太美了 ...            
(5星)	 没有焦恩俊的搞笑怎么看啊            
(5星)	 小时候的琼瑶剧。天让我这样的苦一再重复，没有退路没有结束没有勇气逃开这条路。            
(NA)	 当年俺娘惊为天人的蒋美女            
(4星)	 跟着俺娘看的。那时水灵还是黄花大闺女，现在竟成了人妻。。            
(4星)	 前几个星期湖南卫视又重放了一遍，所以又重温了，朱茵在蒋勤勤旁边真的很像个丫鬟。。。            
(3星)	 这歌我还会唱..            
(3星)	 第一次见蒋勤勤，苦美，难得居然有朱茵。            
(4星)	  蒋勤勤 那时候真出水芙蓉啊            
(5星)	 当年蒋勤勤多美啊~!!!!!!!!!!!!!!!!!!!!!!!!!!!!            
(5星)	 苍天有泪啊！因为我也想着爱情。            
(5星)	 当初很爱看!!            
(4星)	 唯一能看的琼瑶剧            
(3星)	 剧情一点啊不记得了。。。就记得蒋勤勤的美了，虽然现在我觉得朱茵更美 ╮(╯_╰)╭            
(3星)	 一直以为蒋晴晴是台湾人。            
(5星)	 我妈当年特喜欢的 啊            
(4星)	 当时就觉得蒋勤勤好漂亮啊啊啊啊！现在再看觉得阿超蛮帅的⊙_⊙            
(2星)	 从小就看不下琼瑶的东西，人物单薄，煽情过度，不过当年觉得这剧还好，至少朱茵演的老二没那么的柔弱苦情。不过当我的年龄变成那时的两倍再复习起来已经太煎熬了，感情戏完全受不了，只有复仇的部分还能看            
(NA)	 补遗               
(4星)	 当时很喜欢。。            
(4星)	 焦恩俊            
(4星)	 记得当时年纪小            
(5星)	 哭死我了            
(3星)	 俊美和娇媚的两姐妹，拥有仇恨的两兄弟，那句由衷的赞美：空谷幽兰。那个幸福的大家庭，那个多难的大家庭。云消雾散，配乐和人物造型都很有特点，故事结构也紧凑有度，化仇恨为生活的新力量，那一场轰动全城的婚礼，那一位人人赞扬的少爷，归宿是他们相依相伴的天堂。            
(5星)	 小时候超爱看的 我爱朱茵爱庹宗华！！            
(4星)	 朱茵 蒋勤勤 焦恩俊             
(3星)	 庹宗华在成亲那晚亲蒋勤勤的时候，真是猥琐            
(3星)	 有些矫情            
(NA)	 大爱            
(4星)	 不知道为什么喜欢这部琼瑶剧,里面的&#34;云飞&#34;好有型,也对朱茵留下了非常好的印象,古灵精怪的丫头~            
(NA)	 TwT焦恩俊一演坏银我就喜欢了....            
(5星)	 最爱蒋老师，蒋老师的剧中最爱这部            
(5星)	 好喜欢            
(4星)	 小时候            
(4星)	 其实这部真的算经典了             
(4星)	 当时觉得女主二人太美了            
(4星)	 小时候可喜欢了!            
(3星)	 这戏值得吐槽的地儿太多了！            
(3星)	 chez Viviana en été            
(NA)	 想起来了。。。。。            
(NA)	 看镁铝。。看帅锅。。。            
(NA)	 很多很多很多年前了！！！！！！！！！！            
(4星)	 蒋勤勤那个是哈漂亮            
(3星)	 这部其实都演的不错的，但是就是让我很无爱，我也不知道为什么！            
(4星)	 呀呀呀呀、。童年的回忆，当时跟我妈两个人都看疯了。            
(4星)	 蒋勤勤、朱茵、焦恩俊，亮点！            
(3星)	 朱茵和蒋勤勤都好漂亮            
(5星)	 小时候好喜欢=口=            
(3星)	 蒋勤勤的惊艳之作。庹宗华也是我杯茶。            
(NA)	 小时候的记忆            
(4星)	 惊奇发现原来云翔是小李飞刀呀            
(4星)	 琼瑶就是全世界            
(4星)	 蒋勤勤真TM漂亮            
(5星)	 小时候大爱            
(4星)	 中学时代的记忆。            
(3星)	 朱茵真的很漂亮            
(3星)	 你看当年的焦恩俊=。=果然，岁月不饶人            
(5星)	 现在再看肯定会觉得矫情。。            
(4星)	 我怎么那么喜欢水灵呢~~            
(3星)	 依旧跟着老妈看。片里的人都是泪人儿 - -。            
(4星)	 想当年看了多少遍            
(4星)	 喜欢蒋勤勤和朱茵，很俏丽~两位男主。。。不敢恭维            
(3星)	 蒋勤勤那时候真漂亮~ 我记得有庹宗华，我空庹宗华的大叔样            
(5星)	 那个时候很喜欢~            
(3星)	 朱茵和蒋勤勤的美丽大比拼~印象最深的都只剩歌曲了呢……“痛”的歌词我都依然记得很清楚。            
(NA)	 选角、造型、摄影都很好啦，现在还记得饱和度很高、很美的片子。            
(NA)	 !!!!!!哇吖!!!!!            
(NA)	 蒋勤勤美在年轻，年轻是一个太好的东西。            
(4星)	 我当时还买了书的哈哈。            
(4星)	 这片太神奇了。其它自己体会。            
(3星)	 只记得一个情节：朱茵躺在男主角腿上和他kiss，然后突然抽出一把刀刺向男主。。可惜没成功            
(4星)	 琼瑶剧里最喜欢的一部            
(4星)	 奶奶的新剧中算不错的            
(NA)	 辣个时候，蒋勤勤好愣好愣的            
(5星)	 焦恩俊！            
(3星)	 小时候可喜欢了……蒋勤勤美翻了！            
(5星)	 不错的，俩姐妹印象蛮深。            
(3星)	 朱茵的娇俏泼辣非常撩人。            
(3星)	 可以看            
(4星)	 蒋勤勤真漂亮啊！            
(4星)	 我觉得焦恩俊还是很帅的。现在才知道里面那个是蒋勤勤            
(4星)	 那时候我就觉得蒋勤勤特别漂亮            
(NA)	 很好听的主题歌.很喜欢水灵.蒋勤勤的美浑然天成.如江南烟雨过目难忘.            
(NA)	 一般            
(2星)	 我非常遗憾我居然看过它，瑶大妈，要想再让我上当不容易了。老焦，演反派就反派，怎么胖得不像人样了            
(4星)	 蒋勤勤真的很美。            
(3星)	 蒋勤勤好漂亮            
(NA)	 蒋勤勤。。            
(3星)	 妹妹就算不跟焦帅，也不至于沦落到跟了姐夫小厮吧            
(NA)	 记忆中那些让人抓狂的琼瑶阿姨的剧集！            
(3星)	 那年蒋勤勤还没有残            
(NA)	 原来我连这个都看过……            
(5星)	 琼瑶剧里的最爱            
(3星)	 很苦 ！！！            
(3星)	 尼玛片尾曲我还会唱呢            
(NA)	 【1998-03-25】            
(4星)	 朱茵还不是紫霞               
(3星)	 蒋勤勤的成名之作。。。当年追了不知多少遍！！            
(4星)	 朱茵好可爱，蒋勤勤真是惊为天人啊~！            
(3星)	 朱茵那么美，当年一见蒋勤勤惊为天人。            
(NA)	 那个时候的蒋勤勤简直让我hold不住~            
(3星)	 小时候觉得好看的飞起来外~最喜欢那个展云飞的那个小跟班了。。。哟西~            
(4星)	 小时候看得 很悲剧啊！印象朱茵            
(5星)	 被迷的七荤八素的            
(4星)	 朱茵是有多好看啊！！歌是有多好听啊！！            
(NA)	 看这部的时候迷上了朱茵；那时候我还没看过大话西游。            
(NA)	 我因为这个爆爱陈昭荣            
(3星)	 看的时候几岁来着？完全不记得了            
(3星)	 反正当年狂迷，朱茵在里面很美            
(3星)	 记事以来看的第一部琼瑶阿姨的剧！            
(4星)	 蒋勤勤真美            
(3星)	 童年记忆啊~蒋勤勤和朱茵美死了啊            
(4星)	 还珠的姐妹片。蒋勤勤太美了。            
(4星)	 蒋勤勤美女啊            
(4星)	 当年觉得蒋勤勤真是美翻了！            
(4星)	 啊啊啊。那时候多美的蒋勤勤、            
(3星)	 真心觉得蒋勤勤就是个空有其表的花瓶。至少在这部电视中。            
(3星)	 庹宗康他哥演的            
(NA)	 我小时候觉得展云翔更帅，我更喜欢~~我是从小就有受虐倾向么            
(5星)	 这是我最爱的琼瑶剧 蒋勤勤好美            
(4星)	 蒋勤勤在里面真是太美～主要的那对cp太梦幻，倒是喜欢二位二号的情节            
(3星)	 一个多妻制引起的受伤的老二带来的家庭问题。            
(4星)	 后来结局是啥？            
(4星)	 当时觉得蒋勤勤怎么会那么美            
(4星)	 小时候看的继环珠系列大红的琼瑶作品,现在想来很童年。            
(NA)	 做为老派荧幕帅哥美女拥护者，此片也是必须的。那个骑着载满姑娘孩子的自行车手，忘不掉了～            
(NA)	 蒋勤勤那时候有多水灵。朱茵那时候有多天真。            
(3星)	 琼瑶片啊！！！！！！！            
(5星)	 苍天有泪 因为苍天 也有无奈人间有情 所以人间 会有天堂            
(3星)	 蒋勤勤朱茵都惊艳            
(NA)	 这年头谁没看过几部穷摇剧的。。            
(3星)	 雨娟一出场 我就知道喜欢她             
(NA)	 朱茵好看~~            
(NA)	 由此萌上焦叔叔~当年演的真的十恶不赦啊，但是比男主帅太多了，当年不喜欢哭哭啼啼的蒋勤勤，倒是朱茵实在美艳极了~            
(4星)	 他们家孩子都叫小三，小四，小五~            
(3星)	 现在想来。。。也就这样了            
(5星)	 言情剧有了这么两个大美女，就算情节俗，我也忍了            
(5星)	 啊啊啊啊啊 小时候的最爱啊 好怀念            
(4星)	 惊为天人的蒋勤勤            
(5星)	 小蒋的美丽岁月            
(3星)	 当时看蒋勤勤真是惊艳！            
(4星)	 水灵当年真水灵啊~            
(4星)	 我从小就很不明白，为什么男主角那么丑！            
(NA)	 我记得我小时候觉得蒋勤勤巨好看            
(4星)	 小学 居然有朱茵??            
