http://movie.douban.com/subject/2248747/	聚宝盆
(2星)	 拜托张卫健别再出来演戏了            
(NA)	 张庭不错            
(4星)	 这货其实挺深刻的……            
(3星)	 教育片 认识商人。            
(4星)	 商人就是勤劳，诚信，智慧加机遇。信心就是我的聚宝盆。            
(2星)	 那范冰冰呀……            
(3星)	 有点意思。            
(4星)	 杜文和写的作品都挺有意思，轻松幽默背后，总有玩味不尽的内涵。这部戏也算是群星荟萃了，梁冠华的演技实在是厉害            
(3星)	 不知道该说什么，典型的张卫健。            
(5星)	 太他妈好看了              
(1星)	 巨恶            
(NA)	  张卫健             
(5星)	 电视剧还是以前带的好看。            
(3星)	 三星全给江南的屋檐与流水            
(3星)	 不就是沈万三嘛 还是阿婆菜好吃            
(4星)	 下午刚看的南方台粤语版，里面有着见过的最不好看的朱重八。。。            
(4星)	 当年觉得很好看 现在想再看一遍了            
(3星)	 张庭坐的那个轮椅是欧阳明日乔小受坐的那张吧喂            
(2星)	 继续怀疑我的品位。            
(4星)	 我觉得挺好看的呀            
(NA)	 忘了 XJY爱看            
(3星)	 年少回忆。            
(2星)	 差就一个字            
(3星)	 电视剧             
(NA)	 没有什么深刻映像.居然发现有范冰冰.还是很喜欢张庭.            
(NA)	 【2003-05-08】            
(3星)	 这里面有范爷的么 = =            
(3星)	 发现张卫健演的大部分都看过= =            
(4星)	 很好看啊 沈万三。            
(3星)	 也是当年在电视上看的，从此片得知首富沈万三。            
(3星)	 当时很讨厌范冰冰，其实片子不差。            
(3星)	 我想要那个聚宝盆啊聚宝盆！            
(3星)	 这我也看过诶！！            
(NA)	 不喜欢张            
(5星)	 搞笑            
(3星)	 我不敢相信我真的看过啊            
(4星)	 2010.06.01            
(3星)	 只能说是有范冰冰的我都不喜欢。            
(4星)	 7/10            
(3星)	 有钱的张GG            
(2星)	 无语啊，张卫健是不是总是自己写的剧本。。。            
(NA)	 范冰冰拍了不少片子啊            
(3星)	 张庭的剧又没错过。            
(3星)	 古代商战。            
(4星)	 不错...            
(NA)	 同上            
(4星)	 有张卫健的就是赞~好八这部有点傻            
(4星)	 算是张卫健所有作品中挺好看的一个了            
(5星)	 更加不一样            
(2星)	 还行吧 还行吧 还行吧            
(3星)	 补遗            
(3星)	 啊嘞？我还看过这个啊            
(4星)	 同年的回忆啊            
(NA)	 双冰都和张卫健合作过嘛。            
(NA)	 我还真的是什么电视剧都看过啊。。。            
(NA)	 看过一点点。。。            
(NA)	 小时候看的            
(NA)	 沈万三开启了我对商人的向往            
(3星)	 张婷多好的姑娘啊            
(3星)	 继游龙戏凤后张卫健和张庭的再次合作            
(4星)	 那时候这部剧真的是很红啊，张卫健饰演的沈万三很励志            
(4星)	 好看            
(3星)	 那几年我是有多无聊……            
(NA)	 年头太久了这个....            
(4星)	 又是TVB            
(4星)	 前段和麻麻去周庄还想到了这部片纸。。。            
(3星)	 看这片子的当时我也幻想自己有个聚宝盆            
(NA)	 内地电视剧走马观花            
(3星)	 原来看我过这么多电视剧            
(3星)	 范冰冰死了            
(4星)	 我看过好多啊为什么我感觉我对电视剧的打分都这么高呢。。            
(3星)	 +半            
(4星)	 具体情节不清楚了，只记得片头曲最后沈万三举起了聚宝盆，貌似是这样            
(3星)	 为什么这种剧我都看过            
(2星)	 没看完，烂到不行。。。            
(3星)	 我总觉得范爷被张卫健潜了，或者范爷在拍这个戏的时候被潜了。。            
(3星)	 高一下学期在学校旁边的小饭馆看的吧。            
(4星)	 好吧。。。彻底忘了             
