http://movie.douban.com/subject/2248758/	铁齿铜牙纪晓岚Ⅱ
(5星)	 津津有味. 老少皆宜.            
(4星)	 别当真——只是优秀的古装剧，不是优秀的历史剧！            
(3星)	 陪妈妈看的片            
(4星)	 加入感情戏的纪晓岚。。。第二部那个什么。。。还行吧。            
(3星)	 从小吃高露洁的男人            
(3星)	 后来就没意思了            
(4星)	 觉得很好看啊，第二部也好看。            
(4星)	 过。            
(3星)	 ★★★☆            
(4星)	 看这三个铁三角老头在一起挺乐呵的            
(4星)	 就喜欢看别人斗嘴            
(4星)	 没事看着乐呵            
(5星)	 第二部的水准也很高~继续痴迷啊~            
(5星)	 １．２不错，没了杜小月后没意思了            
(4星)	 我很喜欢铁三角的            
(3星)	 继续JQ            
(2星)	 谁说书生百无一用            
(5星)	 和父亲一同看过            
(4星)	 有趣。            
(4星)	 我觉得第一部最好看。。            
(3星)	 年少回忆。            
(4星)	 想当年是一路追着这部戏走的            
(4星)	 总之就不喜欢皇上            
(4星)	 太有劲了            
(3星)	 继续娱乐            
(NA)	 逗            
(3星)	 没有第一部好看。            
(4星)	 [昔日所看]            
(4星)	 中国大陆            
(3星)	 又是张国立 王刚 张铁林 组合             
(4星)	 那是我还是正义的            
(NA)	 延续第一部风格            
(3星)	 嗯            
(NA)	 怎么拍都一个样            
(4星)	 谁说书生百无一用。不过第二部明显不如第一部节奏快，有些拖沓了...            
(NA)	 继续津津有味            
(3星)	 第2部还有点趣味……            
(3星)	 全剧最喜欢袁立=。=            
(3星)	 我三俗了，谁让这是我的本家呢。            
(3星)	 贫~            
(4星)	 这个前两部挺不错，挺逗乐的。            
(4星)	 我觉得好看            
(NA)	 我心中唯一一部续集拍得比第一部还棒的片子……不过似乎也仅限S2了            
(4星)	 笑一笑嘛。            
(NA)	 果然后宫深似海，莫愁姑娘自此消失。            
(4星)	 第二部还行，第三部就没想看。。            
(4星)	 哈哈,小时候还蛮喜欢看的            
(4星)	 我看这铁三角都看腻了……            
(4星)	 好看 没解释            
(5星)	 依旧好看到爆！！！            
(3星)	 小月是永远的亮点。。。这三个男人身边的其他女人全是蜂啊蝶啊之类的。。。没有撑过两集的，就算撑过；也熬不到下一季。            
(4星)	 这个第二部的时候还没烂。。。            
(4星)	 第一部续。真是好戏不能滥，也就这两部能看了，第三部换了个张庭，粗嗓门一口台湾腔，听着就没食欲；第四部太拖沓了，段子也不是天天有，没那么可乐了。            
(NA)	 大年重温。            
(4星)	 第二部最欢乐，排的最好。            
(4星)	 小月篇~            
(4星)	 最近迷纪晓岚中。。。            
(4星)	 这个系列都不错！            
(5星)	 这个好看！            
(3星)	 多了就有点腻歪            
(NA)	 &#34;想,比相处在一起互相伤害好&#34;。瑶琴这话，真的很有道理。            
(5星)	 啊。大烟袋。            
(5星)	 貌似从最后一个故事起老纪就开始不着调了。            
(4星)	 老和太靓了            
(4星)	 7/10            
(4星)	 记忆中这部最经典            
(4星)	 年轻人看看没啥不好的··            
(NA)	 这部加了许多相声的包袱。            
(3星)	 不好看            
(3星)	 同第一部。            
(3星)	 我也追着看来着            
(5星)	 张国立~            
(4星)	 哎这种片子也算凑数的            
(3星)	 嗯~ 老爸的最爱~            
(3星)	 补漏            
(NA)	 一部能学到东西的电视剧            
(4星)	 绝配啊。。。            
(5星)	 2003            
(NA)	 铁齿铜牙纪晓岚Ⅱ (89)张国立 / 王刚            
(4星)	 老百姓为啥喜欢呢大家想过没有            
(4星)	 庆幸还是他们，。            
(4星)	 继续笑。。。。            
(NA)	 不错            
(4星)	 可爱的小兰            
(NA)	 和我老爸一起看的。            
(NA)	 挺经典的其实～            
(3星)	 不是历史，而是狗屎            
