http://movie.douban.com/subject/2249632/	隔世追凶
(3星)	 郭晋安到底演了多少稀奇古怪的侦探片……            
(2星)	 是不是这种稀奇古怪的刑侦片都要找阿旺来演。。。            
(5星)	 每部港片都有很多做人的道理            
(4星)	 非常喜欢这种具有逻辑性质的穿越            
(3星)	 mamamia，就是这样，我催眠了那个人            
(5星)	 能让我看一次哭一次的电视剧只有这一部。            
(2星)	 前半部好看 自从陈慧珊演了另一个人我就开始打瞌睡了            
(NA)	 第二集里的小箭头20年后居然会长高？而且没被营养流吞掉？这都是不可能的！！            
(3星)	 敢再复杂点伐。。。。            
(3星)	 讨厌改变的历史            
(NA)	 干嘛要抄黑洞频率馁？14集之后就太潦草了            
(4星)	 tvb少见的题材 有点蝴蝶效应的感觉            
(4星)	 2天看完了&gt;&lt;还有神马别的片子好推荐啊啊            
(3星)	 陈慧珊的短发刘海造型真的很。。磕碜。。。 结局加5分            
(5星)	 很久都没有看过如此精彩的TVB短剧了            
(3星)	 前面还可以，后面就越编越扯了。            
(4星)	 开始添加TVB...            
(4星)	 以前有部外国电影也是讲这个的。            
(4星)	 悬疑，穿越？~~!!边看边感觉背后嗖嗖的冷风~~            
(NA)	 恩，后面好看些。            
(3星)	 扯~            
(3星)	 = =剧情不算突出，但flora的表演给我印象深刻。。            
(4星)	 陈慧珊变了。            
(4星)	 前段很精彩            
(NA)	 很神~~~            
(3星)	 那个电话穿梭时空的设计...god            
(3星)	 TVB剧中，撞头果然不是小事，怪不得每次都要留院观察，最普通就是失忆了，关键时刻还能恢复记忆，这回更牛，撞头撞得看破红尘了。。。            
(5星)	 我爱郭晋安 而且这个剧还是很好看的            
(4星)	 虽然细节设计上有很多破绽，整体还是悬念感满满。            
(1星)	 受不了那个穿越电话，后面女主的脚好的莫名其妙            
(3星)	 原来，这是一部04年的剧~~            
(NA)	 好看啊！！            
(3星)	 有盘的，不太记得了            
(NA)	 悬念很妙            
(5星)	 这么好看啊~            
(4星)	 除了部分比较狗血，其实整体还行~~~~15集——22集我是快进的~~            
(3星)	 开始还不错，结局太不喜欢。。。            
(3星)	 剧情太扯了。。。            
(3星)	 心血来潮重新找出来看，看到最后依旧坐立不安。            
(NA)	 結局……            
(3星)	 14集是转折点。。后面就风云突变。。没想到改变一个人的命运。。会影响那么多人的未来。。为了自己的姻缘却使原本的幸福家庭支离破碎、、很多事情都改变了、、10年的等待或许作为个一个惩罚显得太轻了、不过足够成为一个教训、、我觉得他爱的还是是原来的阿珊，爱情是不能勉强的、、如果不是那么刻意去            
(NA)	 除了结局有那么点雷            
(NA)	 我为了看这剧理解时空，特意买了时间简史哦！            
(4星)	 一个电话的穿越            
(4星)	 光光啊，她已经不是你喜欢的人了            
(4星)	 有李思捷            
(NA)	 有点乱，哈哈            
(3星)	 漏洞百出的时空穿越 当时被我骂的要死            
(NA)	 喜欢陈慧珊从轮椅上站起来那段            
(3星)	 忘得差不多了...            
(3星)	 編劇很狗血            
(NA)	 手机铃声也变这个            
(NA)	 还是不喜欢陈慧珊            
(3星)	 陈慧珊重新出生之前的情节超好看，之后的超难看.            
(5星)	 2人的对手戏不错            
(NA)	 好看死了            
(4星)	 好看啊！！！            
(5星)	 何天光。什么比大团圆的圆满结局更让人遗憾和伤感？——是原本可以更加美满的大团圆。            
(NA)	 FLORA在这部戏还是有所突破的            
(4星)	 好看，最喜欢这种神秘兮兮的探案剧            
(NA)	 现在超级爱看tvb悬疑片~            
(4星)	 有些事改变了也未必可以尽如人意。。。╮(╯▽╰)╭            
(3星)	 前半部很不错，后面弱爆了，还有“纪录片”的类型是谁加上去的……            
(3星)	 催眠也太容易            
(4星)	 看过很多次了，还是觉得好看。            
(3星)	 - - ！以前看的。就记得结局是个悲剧。。            
(3星)	 1.这部里的陈慧珊也太丑了，一定是我打开方式不对。2.商天娥年轻时好漂亮，过生日碰到妓女那集太精彩了。3.那个什么师兄也好丑，还是hugo讨人喜欢啊⋯⋯爹爹当和尚的戏份也很可怕~~            
(4星)	 构思不错              
(3星)	 不大欢喜郭晋安呀 -0-            
(5星)	 少见的题材 以及 喜欢的女演员 以及 感人的故事            
(3星)	 结尾的时候开始狗血了。。。。(-&#34;-)            
(5星)	 剧情不错撒            
(4星)	 应该这么说。。故事分为两季，第一季1到14集。第二季，14到22集。。。第一季的故事很完美，第二季故事略有瑕疵。随着15集的神展开，所有案子都必须推倒重新来过，这在TVB里面是个很少见的拍法，当然当中有许多不合理的BUG和不完美。帅气的高明没诞生，方妙玲与丈夫的心结未解。。。冲着最后的大团圆我            
(3星)	 后半段不好看 太扯            
(3星)	 可是真的很雷穿越剧啊            
(3星)	 剧情挺有创意的            
(3星)	 郭晋安老是演些奇奇怪怪的侦探剧。            
(4星)	 这个有点扯，但是还不错。求好看的侦探片。            
(3星)	 结尾有点莫名其妙            
(4星)	 终于花了一整天的时间看完了。之前我一直没看，我知道是因为我舍不得看，TVB这样的剧，无论好坏，总之是看一部少一部了。            
(5星)	 感觉超奇妙的好电视剧！            
(2星)	 这剧各种穿越 OTL 男女主压根儿没火花 |||            
(4星)	None
(4星)	 前半段的劇情推理還是好看的            
(3星)	 看了一点点 觉得比古灵精探好看~            
(5星)	 题材好            
(3星)	 电视里看了几集，空了补补            
(4星)	 虽然多处逻辑硬伤，但比起现在的TVB电视剧真是好看很多啊            
(4星)	 又一部穿越剧            
(4星)	 这个剧简直就是不能断开看啊！！            
(3星)	 时空线索…            
(NA)	 太尼玛复杂纠结了orz……这片子追不起……陈慧珊还是扎头发戴眼镜好看呐            
(NA)	 还不错~男主真梦幻            
(3星)	 穿越剧编演成这个样子还是有新意的，只是后半段反复剧情，打折扣了。            
(3星)	 好么，父子同心这名字太傻缺了。。。话说这片子真穿越。。。            
(3星)	 相當神奇的時光機——一部大哥大。            
(3星)	 。。。            
(3星)	 习惯性无视关于穿越、蝴蝶效应导致的BUG            
(3星)	 竟然改名成了父子同心 无语            
(4星)	 是满好看的！！！            
(2星)	 卧槽就我觉得难看么= =            
