http://movie.douban.com/subject/2252747/	第三类法庭
(NA)	 当年邵美琪像能掐出水来一样水嫩            
(5星)	 自从重温此剧后再看见中宝这黑白分明的眼睛我都会恍神。这样片尘未染的眼睛只有天真如孩童才会拥有啊，让我连带对温Sir这个演员都疑惑起来，他是怎么做到的orz这真是tvb史上的神作啊。这个故事竟然能挑战几乎所有的社会规则——从舆论、法律、伦理到道德底线再到良心的拷问一个都不放过            
(NA)	 这这这这这～～（颤抖ing）是我看过的最牛×的都市爱情纠葛复仇三角恋的电视剧啦（以上感叹转述自十岁左右心智时期的记忆）。当时真是爱死了啊，一度为男女主角们之间的纠葛心碎啊（当时真是没见过世面啊～），另外，特别喜欢郭蔼明因为我自认为自己是那一型的（汗～）            
(NA)	 青蛙与蝎子            
(5星)	 印象太深了。            
(4星)	 韦海怡！韦海怡！韦海怡！最经典的蛇蝎美人！！！            
(4星)	 终于看完了，不容易啊。            
(2星)	 好像只有我一人觉得青蛙蝎子的比喻很傻            
(NA)	 回忆            
(NA)	 记忆中的第一部港剧哇            
(5星)	 我记得蝎子，没记住青蛙            
(5星)	 是我很喜欢的一部电视剧，尤其喜欢郭蔼明，从这部戏喜欢上她的~            
(4星)	 最后邵真哭得太凶，鼻涕乱流，从此被我 不当美女看            
(5星)	 Pink Floyd            
(4星)	 第一部看的港剧            
(5星)	 当年就是看了这个才喜欢上温兆伦的。。打算这几天再看一遍。。            
(4星)	 小时候觉得马中宝是个弱智，希望海怡永远和乔大羽在一起..但现在觉得马中宝太珍贵了，海怡配不上他...            
(3星)	 要得到女人的青睐，一靠美貌，二靠智慧，这两样我都没有！            
(5星)	 重温。经典的片子，复杂的人性和爱，纠结的人生啊……            
(5星)	 印象非常深刻            
(NA)	 苦涩的故事            
(NA)	 小时候啊小时候            
(4星)	 年代久远的剧集 那时候觉得邵美琪满灵的            
(5星)	 大概要算我记忆里最好看的TVB经典剧了！真的，我觉得没有什么可以超越的！            
(3星)	 后面变囧了……主题歌还不错            
(NA)	 1994 除非蝎子变成另一只青蛙，它们才可以继续过河            
(NA)	 小郭，你是可怜的小三            
(NA)	 完全颠覆的我本善良中的形象 可就是很喜欢            
(4星)	 比较另类，比较深刻            
(3星)	 这种复杂的感情纠葛还是不适合我            
(5星)	 铁杆温同学和邵同学粉。            
(4星)	 有关于青蛙王子和蝎子的故事,还有我觉得自己和阿诺很像            
(3星)	 阿咪是专家，这一部原来我很早就看过。            
(5星)	 绝对经典的剧，爱死！            
(4星)	 青蛙和蝎子的故事很深刻。            
(5星)	 韦海怡 的老妈 很犀利！！！            
(4星)	 当年的TVB真是精品啊，自然又精致又真实深刻，现在的TVB可以吃屎了            
(5星)	 太美好了，膜拜韦海怡            
