http://movie.douban.com/subject/2253577/	人龙传说
(4星)	 好喜欢袁洁莹啊好喜欢            
(5星)	 陈浩民实在太帅了！俩主角男才女貌 片子很惊艳！值得一看            
(4星)	 我从小喜欢的女主角            
(5星)	 怎么把这部电视给忘了呢，今天忽然听到手机里的这个插曲，啊~~~~ 真的好感动~~~ 很好看的电视，演员喜欢，剧情喜欢，歌曲喜欢~ 现在的TVB已经很少能拍出酱的了~~~ 真的很喜欢袁洁莹，很漂亮~            
(5星)	 初中的时候看的，爱得不得了            
(NA)	 唔多唔少咯，睇得。不好看            
(4星)	 全班 都在看！！！！！！！            
(4星)	 肥皂剧，但是男女主角都秀色可餐，所以还是值得一看。            
(NA)	 偶真滴很喜欢袁洁莹            
(NA)	 那时候好喜欢袁洁莹啊。            
(3星)	 不解释            
(5星)	 哭死了，从小就喜欢的一部电视剧            
(NA)	 TVB老剧            
(3星)	 袁洁莹！            
(4星)	 小龍女啊！那時候哭得死去活來啊有沒有！            
(2星)	 = = 以前看的            
(NA)	 陈浩民其实也红过            
(4星)	 晚饭档。            
(5星)	 惊艳！！！            
(5星)	 大爱, 陈浩民和袁洁莹就是金童玉女的写照!看着他们就深深祝福~~~可惜不能在一起 袁洁莹真得很漂亮!            
(4星)	 袁洁莹我喜欢~多给一星~其实剧情真的不知道说什么好~            
(3星)	 很多年前看得TVB了            
(4星)	 因为很喜欢袁洁莹，所以也很喜欢这部剧。            
(3星)	 人龙童话            
(3星)	 出来搞屎棍的人真多...            
(4星)	 袁洁莹很好看哇~            
(4星)	 TVB很无敌。            
(5星)	 袁洁莹真是长的很漂亮!公主也很可爱!!其他也都能算美型!剧情很不错!每段感情都很感人!!画面很美!演员演技很好!题材老却并不太俗!而且一直使我对昙花有种美丽的错误幻想~---但是他妈的怎么就是没红呢!            
(3星)	 张燊悦，张燊悦            
(5星)	 记得小时很喜欢..            
(NA)	 袁洁莹很漂亮这是我的感受.剧情什么的都记得但记得最深刻的还是袁洁莹的可爱.             
(3星)	 人龍戀            
(3星)	 当年迷过陈浩民啊，叶希好男人啊，龙女也很清纯，就是剧情有点儿囧= =            
(3星)	 小时候看的，觉得小雨真心美啊，当年很萌陈浩民啊- -！可是最近这些个事儿。            
(4星)	 因为这部剧喜欢上袁洁莹            
(5星)	 当时看的时候 就记得女主角好美。。男主角好倜傥。。。= =~            
(NA)	 【1999】            
(5星)	 当时觉得男女主角就应该永远在一起!            
(2星)	 陈浩民啊陈浩民。            
(4星)	 龙女我超爱啊 T3T             
(3星)	 两个女主角都好靓啊            
