http://movie.douban.com/subject/2253598/	康熙秘史
(4星)	 改叫纳兰秘史，删掉康熙戏份，才是这戏的精髓。            
(3星)	 若不是钟汉良的纳兰公子，这片真没法看            
(NA)	 为看纳兰君            
(3星)	 为了钟汉良。。。哎。。我得忍受多少烂片啊？！            
(NA)	 我本讨厌辫子戏，可这钟纳兰真是这浊戏中的翩翩佳公子，温润如玉，收放自如。            
(5星)	 我唯一为胡静的美而惊艳的电视剧，怎么其他电视剧里面她就不这么漂亮了呢？            
(5星)	 为了钟纳兰俺也要给5星啊啊啊啊啊啊啊！            
(5星)	 中纳兰性德、青格儿毒很深很深很深。            
(4星)	 冲着纳兰才去看的。大才子，多愁善感的公子哥。长了颗做人的心，奈何生了做奴才的命。            
(NA)	 呃~~《已然秘史》~~~~主要叙述了一个帝王攻如何调教傲骄showshow~~~~康对兰：朕不信朕征服得了天下，会征服不了乃？！康对兰：反正朕就不让乃离开朕身边！兰对康：皇上俺棉就要分手了。。。            
(NA)	 钟纳兰            
(3星)	 正常人都是冲着小哇看的吧……            
(4星)	 纯粹来看钟小良同学的 没有钟小良这片子根本没法看            
(4星)	 编吧编吧……            
(3星)	 删掉夏雨的康熙吧！！！            
(4星)	 其实我很喜欢小哇演的纳兰            
(2星)	 绝对的垃圾片，浪费演员            
(NA)	 俗死吧，，            
(3星)	 BLBLBLBLBLBLBLBLBL            
(3星)	 为鸟钟汉良看滴            
(4星)	 钟汉良你绝对有一颗赤子之心！            
(5星)	 现在终于发现小哇的纳兰是那么有味道            
(2星)	 要不是为了钟汉良。。。我才不要看夏雨那张脸！            
(NA)	  钟汉良  钟汉良             
(NA)	 有必要在这种剧里加个韩国人吗，导演是怎么想的啊啊啊！            
(4星)	 ♥♥♥钟汉良♥♥♥            
(3星)	 康熙好小受阿。。。            
(3星)	 胡静的漂亮和这次钟汉良的扮相，和我本来就很喜欢的夏雨以外。蔡琳等人让我感到无聊。多喜欢纳兰性德和青格儿、康熙他们三个的故事。            
(2星)	 若做同人女大戏看，可得三星。            
