http://movie.douban.com/subject/2253613/	越狱  第三季 Prison Break Season 3
(4星)	 早就下完，一直没看，担心自己看不下去。一口气看完，还行，没放弃。《越狱》是我看的第一部美剧，也该是第一部追完的美剧！0947            
(3星)	 抠墙壁的大叔们历险记III            
(3星)	 越来越没意思了            
(NA)	 不要再拍了...            
(3星)	 实在不爱看            
(4星)	 进度：第13集              
(3星)	 这样的结局。            
(4星)	 迈克什么时候看起来都是很疲惫很累的样子，说话都是小声细气的，像是怕被别人听到一样，完全没有第一季时候精神。这一季完全是在sona监狱里完成的，13集基本上都是在那个小空间里。又回到了越狱的主题。整体而言，还是值得一看，虽然还是有些地方不合常理。之前还说看到第二季便作罢呢。            
(3星)	 miceal~            
(3星)	 星星随季数递增而递减。            
(3星)	 没错，我对美剧从来毫无品位            
(4星)	 陪大天使看的，不如以前            
(NA)	 不高兴看了，再说            
(3星)	 这……啥情况……就这么没了？            
(3星)	 慢慢地等待            
(2星)	 MD真扯            
(3星)	 坑爹啊！            
(5星)	 留悬念真实太讨厌了，欲罢不能。。唔            
(2星)	 越来越唬烂了            
(3星)	 强扭            
(4星)	 莫名其妙但依然很紧张！            
(3星)	 前7集真是挺过来的，差一点儿就要放弃了。还好编剧们最后没有让我失望，把剧情推向了高潮。            
(NA)	 越狱 第三季            
(4星)	 明顯比S2要好...一點吧..(p.s:sucre增是個苦命的孩儿...)            
(5星)	 越狱             
(4星)	 只有13集，太对不起我的辛苦等待了            
(3星)	 从第一季到第三季，直线下滑，终于在第三季的时候滑入谷底            
(3星)	 不太喜欢            
(NA)	 断断续续了，太断断续续了。            
(3星)	 消失了很多人。            
(4星)	 还是第一、二季更精彩            
(2星)	 不想追了            
(4星)	 虽然觉得太紧凑了一点，越狱的环节也很碰巧，但还是比第2季要好看。            
(3星)	 没劲，不追了            
