http://movie.douban.com/subject/2259830/	神医喜来乐
(4星)	 好看！！！            
(5星)	 看过最好的国剧 没有之一            
(NA)	 沈傲君            
(4星)	 那赛西施很漂亮            
(4星)	 赛貂蝉！！！！            
(4星)	 我这不是看过的么～            
(5星)	 清朝妻管严的故事            
(NA)	 突然的欢乐            
(4星)	 国内拍的少数几部我爱看的电视剧            
(4星)	 李保田很有喜感 特别是如果认真看的话 能学到一些中医土方的 似乎蛮有用            
(NA)	 李保田的形象始终如此。            
(4星)	 保田老儿艳福不浅啊~            
(3星)	 女的都长得丑。            
(5星)	 片中官员，无论一品还是九品甚至杂兵统统是红顶子，狂汗。            
(4星)	 挺欢乐的啊            
(4星)	 人間情多            
(3星)	 这片子。。。够怀旧哈。。。            
(3星)	 沧州！！！            
(NA)	 这是距离现在最近的我看完的中国电视剧，高二            
(NA)	 补遗             
(3星)	 李保田的脸的确喜庆哈            
(5星)	 好看~            
(3星)	 跟风清宫戏，虽然有李保田，但也不咋的            
(4星)	 我很喜欢李保田，然后陪我奶奶姥爷看！            
(4星)	 李保田还讨着媳妇儿了，沈傲君看着很舒服            
(4星)	 我爸最爱看了            
(4星)	 学了好多偏方            
(4星)	 那时候我就觉得沈傲君最好看啊- -            
(3星)	 我姥爷喜欢……            
(3星)	 没什么印象了            
(NA)	 那时候是看得蛮乐的=。=            
(NA)	 内徒弟徒弟~            
(NA)	 蛤~吕保田这个演技啊。。。多年未变            
(4星)	  一时欢乐 一时寂寞 一生相伴最难得            
(4星)	 铁狮子头，小时候看过的片的记忆只剩下关于吃的了（好啦我承认现在也是这样）……            
(NA)	 过年全家一起看的好电视剧。。。            
(4星)	 喜欢沈傲君            
(NA)	 很久以前看过的，跟家里一看的            
(NA)	 有点夸张。。。            
(4星)	 【昔时所看】 全部看完了，很好玩的故事，很传奇、机灵，却又有些木讷的乡下郎中喜来乐……            
(5星)	 很棒！！            
(5星)	 很经典的一个电视剧啊~~~            
(4星)	 中国大陆            
(4星)	 嘿嘿,还记得一起去赛里木玩时.            
(NA)	 娱乐百姓            
(4星)	 沈傲君呢？怎么后来很少看到她了？            
(3星)	 小学时候看觉得超好看！            
(NA)	 陪老爸看的啊！            
(NA)	 忘了            
(NA)	 从中学到一个知识点是牙疼的时候可以放花椒...但是以身试法多次也没觉得见效！！！坑爹！！！            
(4星)	 人间情多真爱难说。            
(4星)	 沈傲君，李保田，两个人真般配，演技也真好。配乐很不错，世事多舛的那种感觉。            
(4星)	 一家人坐在饭桌前看重播。            
(3星)	 各种偏方思密达。            
(5星)	 最后喜来乐她老婆替他喝毒药的时候都把我感动哭了，虽然是好几年前看的，但是现在想来依然觉得感动            
(3星)	 童年记忆            
(4星)	 那时候看着很可乐。全家一起看片的日子。            
(2星)	 就记得沈傲君好看。但多年之后作为一个发福母亲她在节目里大谈女儿的屎尿屁，令我痛心            
(4星)	 李保田真是个好演员，沈傲君也漂亮。            
(4星)	 突然想起来看过这个。标一下            
(4星)	 不错的片片            
(5星)	 我真的觉得挺好的            
(5星)	 2005暑期            
(3星)	 这么多年还是觉得他是刘罗锅......            
(4星)	 喜欢阿里郎组合演唱的片尾曲～            
(4星)	 沈傲君美的不可方物            
(4星)	 赛貂蝉            
(3星)	 我觉得女主角很好看，对她为啥爱上男主角大惑不解。            
(4星)	 后面凄惨得不协调了，但依然有刘罗锅似的平民幽默            
(4星)	 打得都是感情分~和我娘            
(4星)	 没看全            
(3星)	 狮子头            
(4星)	 有的演员能撑一部戏            
(NA)	 沧州            
(3星)	 此乃神医也。            
(3星)	 补充            
(NA)	 赛西施真漂亮            
(4星)	 有李保田垫底的喜剧都还不会太坏            
(5星)	 沈傲君很惊艳。故事很赞，演员很赞，音乐很赞，引人入胜。            
(4星)	 很经典哦...            
(5星)	 也是一家人一块看的，记得喜来乐特喜欢吃狮子头，最近终于在学校街边的小摊吃到了，也算是了了一个情结，哈哈...            
(4星)	 四喜丸子!            
(NA)	 一直很想吃那个“铁狮子头”啊...            
(4星)	 王太医也算一个有骨气的坏人            
(4星)	 在欧洲的长途车上大家的最爱。            
(5星)	 以前晚上每天和爸爸一起看的。2010.06.01            
(NA)	 我居然还看过这种剧……            
(4星)	 老爸老妈最喜欢看            
(2星)	 赛貂蝉怎么能看上喜来乐？？？！！！你只能看上余则成！！！（尽管不能让他忠于你！）            
(3星)	 2002年的？忘了哪年看的了            
(4星)	 我还蛮喜欢他老婆的啊，赛西施也不错            
(3星)	 老爷子笑起来很可爱。            
(4星)	 左蓝！            
(3星)	 当时想尝尝红烧狮子头。他媳妇儿还演过大大商城呢～            
(3星)	 舅舅，我想你。            
(5星)	 和老爸的记忆            
(4星)	 是因为很喜欢沈傲君的原因，所以很喜欢这部电视剧            
(3星)	 赛西施漂亮个毛线啊- -            
(3星)	 一边是我爹跟我讲历史啊拍摄技巧啊这些的一边是我姥姥跟那儿记偏方，囧            
(4星)	 那时候的沈傲君老好看了            
(4星)	 我就喜欢李保田，跟喜欢田村正和一样喜欢            
(4星)	 简直是巫术不是医术            
(1星)	 刘罗锅叛变了            
(3星)	 还可以            
(4星)	 好有才的神医，不过怕老婆的时候又超搞！            
(3星)	 喜欢沈傲君            
(4星)	 红烧狮子头····            
(NA)	 我觉着很好            
(3星)	 补漏            
(5星)	 最喜欢的满清古装剧了            
(4星)	 狮子头~            
(NA)	 感觉非常……            
(3星)	 当时觉得女主角很PL!            
(4星)	 李保田演得好，颁奖时的表现更好。            
(4星)	 台词不俗，讲述那个时代百姓生活的酸甜苦辛，展现历史人物我们给罩上的那层面具背后复杂的人性。            
(NA)	 跟外婆一起看的            
(3星)	 补遗            
(3星)	 喜欢辣个西施姑凉@@...不过印象最深的还是老李拍着桌子喊“人怎么这样啊”...            
(4星)	 古装版都市言情剧            
(5星)	 我太木有用了！！！一听到人间情多就泪奔了 简直弱爆了啊 摔            
(3星)	 小时候觉得沈傲君长得还不错            
(4星)	 沈傲君漂亮啊~~            
(3星)	 超有爱的李保田            
(2星)	 打心底里讨厌。            
(4星)	 很好看。结局很伤心            
(4星)	 结局苦逼。            
(3星)	 小时候看的 断断续续 觉得好像不是特流畅            
(NA)	 对狮子头印象深刻            
(4星)	 剧情俗套吧，演的倒不俗            
(NA)	 红烧狮子头！            
(5星)	 看过的最好的国产剧            
