http://movie.douban.com/subject/2259843/	皇太子秘史
(NA)	 我喜欢赵鸿飞演的四阿哥。 有点符合我心目中年轻时四阿哥的形象。             
(3星)	 赵鸿飞的演技非常值得肯定~~~片子本身不咋地,但是太爱这个四了!            
(3星)	 看见赵鸿飞就好好看，看见马教主就快进            
(NA)	 少年不知事的时候，我娘带着我看了多少烂片呐，可是我还是看完了            
(3星)	 喜欢紫英和雍正的那段            
(2星)	 咆哮是一门艺术。            
(4星)	 从来也没想过自己会看这类型的电视剧。穿越看多了= =四爷太帅了= =            
(4星)	 赵鸿飞演的雍正可帅了~            
(4星)	 曾经我也是个四爷党。            
(4星)	 说实话我觉得秘史系列都挺好看的            
(3星)	 赵鸿飞和胡静的对手戏才是重点。结尾的时候，他终于坐上皇位，背过手去，紧握的是这辈子都回不来的爱。            
(3星)	 其实是雍正秘史啦！以及皇太子就是一草包啊！美化得跟天仙似的！            
(3星)	 咆哮兄。。。            
(NA)	 冲着赵鸿飞同学的44            
(5星)	 我贼拉喜欢            
(5星)	 5星只为四阿哥和紫英！！！ 其他人全部无视。            
(3星)	 秘史产物。            
(3星)	 胡静说：“你要理解我，我都是为了恨。”戴娇倩说：“可我却是为了爱。”泪奔~其实剧情的确过于言情了，少了九子夺嫡应有的霸气和气魄，但是还行可以看看~从这样的角度来踹度历史上那个庸碌荒淫的皇太子未尝不是一种探索，其实他本来是什么样子的，又有谁真正知道呢~            
(3星)	 喜欢舒畅的云格格~            
(4星)	 经常被马同学雷倒...            
(NA)	 恩。。。这个印象比较足。。。            
(3星)	 四四，四四四四            
(3星)	 我真的真的真的好喜欢里边的雍正啊！还有胤禩和云儿萌死了。            
(3星)	 这三星是为了小赵的四四~~            
(4星)	 小时候最喜欢尤小刚的三部秘史剧了！！！最近借着穿越风又看一遍仍然觉得经典。一直觉得舒畅好漂亮啊、还有所有扮演四爷的演员都出彩是一种定律了吧.........（可是好好的剧情非要安插俩红颜祸水搅来搅特没意思）            
(3星)	 YY之作，里面的妹子倒是个个水灵，尤其是小云儿，太招人疼了T T            
(NA)	 看过一点没看完……不同戏里人物差别不要太大那个时候好喜欢的竟然是皇太子胤礽！！！在步步里面他就是一个好色的烂人好么……算了，读正史去！            
(4星)	 我就是这个时候讨厌马景涛的！！！！            
(5星)	 历史的变迁  虽有狗尾续貂 却更是绵延流长            
(4星)	 秘史系列还是挺好看的            
(3星)	 我就是觉得不可思议~ 教主没能演绎出那股精神分裂的劲儿~            
(4星)	 一对刺猬接近到刺伤的亮点。让我们将彼此作为一缕悠悠拂过心中的清风，自在来去，因为，至情不痴，至情无怨，情到极深处，见不见，念不念，都已不是最重要的了。            
(3星)	 咆哮帝~            
(4星)	 烂片啊烂片！            
(3星)	 好吧... 其实 这个 也看过一些            
(NA)	 19集.28集 我是最懂得欣赏你万丈雄心的女人。我会在你身边，我会始终在你身边。            
(3星)	 看到咆哮大哥在这里，不过，我是来围观四阿哥的。。= =里面，也就四阿哥这个演员出彩点。。            
(2星)	 娘啊。。。            
(3星)	 这部确实一般了            
(3星)	 马大矫情。。。            
(NA)	 秘史系列。            
(2星)	 咆哮吧，我的景涛兄！            
(4星)	 特喜欢四四了。。            
(2星)	 个人觉得是秘史系列最不好看的。            
(4星)	 一袭白衣            
(3星)	 虽然亦有改编，三个主角都演绎得很好，只是剧情普通了些            
(4星)	 这回4星给纠结的老四和紫瑛            
(3星)	 景涛在咆哮            
(2星)	 剧情拖沓的不是一点!            
(4星)	 补咆哮！！！！！！！！！！！！！！！！！！！！！！！            
(NA)	 内容依然记不清了。。。反正又是言情历史剧。。。            
(3星)	 真心觉得马教主演挺好……            
(3星)	 尤小刚导演的秘史我就中意孝庄秘史。。。其他都觉得一般。。。            
(3星)	 紫瑛和如玉，比上部秘史，更有靈氣~            
(2星)	 过于言情化，把胤礽说得太好了……            
(4星)	 老马的对手戏应该找陈德容嘛            
(4星)	 我给四星完全因为赵鸿飞！！我太喜欢他了！从孝庄秘史开始！            
(3星)	 不觉得马景涛就是胤礽的最佳人选么。。            
(4星)	 中国五千年历史，最了解的就是清史，这与看多了清宫剧是有很大关系的，即使有的不是真的。            
(3星)	 秘你妹啊            
(3星)	 马景涛的不怎么咆哮的剧作之一！            
(NA)	 看过点            
(4星)	 除了看就是玩就是吃。            
(4星)	 我洗翻赵鸿飞！！！！！！！！！！！！！！！            
(3星)	 秘史产物。            
(2星)	 理不清的关系            
(3星)	 我就是特特特喜欢赵鸿飞的四阿哥。。。。            
(3星)	 就冲着赵鸿飞去看的            
(2星)	 秘史系列中只喜欢赵鸿飞，他的雍正相当不错。石小群也不错。            
(3星)	 咆哮哥            
(3星)	 我是为了教主看的！！！            
(3星)	 我马哥~            
(3星)	 涛哥用生命在演戏有木有            
(4星)	 喜欢紫英那一段~惊奇发现原来是四爷！！            
(3星)	 一颗星给马景涛，三颗星给赵鸿飞~因为编剧是历史白痴的原因减一星            
(5星)	 刘德凯，马锦涛，果然不俗。宁静客串。却还是印象深刻啊。人才啊 演员啊 就得这样            
(2星)	 看片花的时候很期待的。马景涛的痴情王子很有看的欲望。可惜看完后。但凡胡静和戴娇倩的对手戏我就想抽他们两大美女。一个要恨。一个要爱。然后我鸡皮疙瘩掉了一地。两位都是美女。可惜演技都差的要死。。。            
(4星)	 只要舒畅一哭我就哭。。            
(3星)	 纠正了我的历史谬误 建宁公主是康熙他姑~            
(3星)	 赵鸿飞演的真好……            
(3星)	 感觉不如孝庄秘史            
(3星)	 赵鸿飞真是倾城呀，倒数第二集他派人杀紫英，昏黄的灯光下，他将不舍、无奈与浓浓的爱意表现到极致，看之扼腕，为之动容。            
(4星)	 我还是喜欢赵鸿飞马景涛 黄金搭档啊！            
(3星)	 四爷太帅了！！！纵然剧情雷人……            
(4星)	 给4颗星纯粹是为了胤禛。这部剧培养了多少赵鸿飞的粉啊。他和紫英这对couple最喜欢了            
(4星)	 赵鸿飞的胤禛，绝对出彩。            
(5星)	 喜欢鸿飞，喜欢四爷            
(NA)	 不好看            
(NA)	 教主的戏，怎可以不顶            
(3星)	 实在没孝庄秘史好看            
(2星)	 剧情突兀，远不如孝庄，不过雍正的光芒盖过了咆哮兄。            
(3星)	 小马哥还是如此能喊            
(3星)	 赵鸿飞的四爷真TM帅，围观，果断围观            
(4星)	 只看四爷            
(NA)	 秘史系列真是干活时候的好背景            
(3星)	 还是喜欢孝庄秘史，小马哥啊小马哥            
(4星)	 当时老妈特别爱看就和她一起看...            
(NA)	 真不如孝庄秘史好            
(4星)	 俺对那段篡位记忆犹新--             
(3星)	 尤老师携教主倾情奉献            
(4星)	 小时候的大爱            
