http://movie.douban.com/subject/2262099/	银狐
(3星)	 伍咏薇是最大亮点            
(5星)	 我爱江华，从宋泽元死的时候开始就恢暗了~            
(5星)	 醉生梦死再生天地。其实到最后我对黄日华也恨不起来 是不是我对坏人都太宽容 曾华倩美不胜收。完全不起眼的小人笑到最后大概是我第一次看到            
(5星)	 挺好看            
(4星)	 同学们，主演是曾华倩呀……恩，话说我觉得本剧的重点是在配角刘锦玲身上            
(4星)	 妈呀douban居然连我喜欢这个都猜到了，现在我晚上在小区里散步还老唱伍咏薇唱的那个主题曲呢。。。好怕怕啊，douban千秋万载一统江湖！！            
(3星)	 小时候特别喜欢看我说我要回家看银狐，别人以为我养了动物            
(5星)	 卫视中文台演的，片尾曲我现在还会唱！这剧给我印象最深的是，结尾是坏人得逞，那镜头好像是黄日华和一个女的在床上，之后就“全剧终”了，让年少的我根本反应不过来！            
(4星)	 久远回忆            
(5星)	 亚视经典力作，值得看几次            
(4星)	 很好，彻彻底底，仇恨生者必为仇恨反噬。江山代代，小人物偏有喜感。在有限的空间里，演绎得淋漓尽致。邪亦真，纯亦假，赤裸裸来去不悲不喜。            
(4星)	 不记得这片子多少年了。            
(4星)	 似乎是黄日华第一次演不那么好的人            
(4星)	 那时那么喜欢的一部剧，从此喜欢上江华～～            
(5星)	 ATV经典作...            
(4星)	 小时候的记忆。            
(3星)	 儿时记忆。            
(3星)	 完全和戏王之王混成一滩            
(4星)	 不记得剧情了            
(4星)	 还不错看嗳！            
(4星)	 唉呀，伍詠薇；唉呀，江華。            
(4星)	 亚视当年经典            
(3星)	 嗷嗷~~俺当时就很喜欢江华滴说~~            
(NA)	 伍咏薇啊！！            
(5星)	 那个时候的电视剧真是好看呐~~~~ 原来印象中的一些电影片段是这个啊~~~ 好看！！！！ 曾华倩真漂亮~~~~~~~~~~~~~~~            
(5星)	 伍咏薇 江华 裸泳戏 印象森刻！            
(5星)	 还想再看一遍！            
(5星)	 最爱宋泽元            
(4星)	 伍咏薇真是好销魂啊            
(5星)	 这个我映像深刻            
(4星)	 黄日华也可以这么酷            
(5星)	 好喜欢曾华倩的……还有伍咏薇            
(4星)	 亚视的代表作            
(4星)	 伍JJ啊江GG啊曾JJ啊吕GG啊~~~            
(5星)	 这个真是好看的没法形容~可惜情节都忘了。但我还是挺华哥的            
(5星)	 我们全家最爱的一部港剧!            
(4星)	 小时候好像看的满则劲额            
(4星)	 好看的电视剧            
(4星)	 看得第一部主角是坏人的片。曾华倩美得冒泡            
(NA)	 还记得那句，醉生梦死，再生天地            
(NA)	 绝对经典啦            
(5星)	 那是曾华倩最美丽的时候。红颜弹指老。            
(5星)	 黄日华演技的证明！谁说他只能演郭靖，肯定没看过这部戏！            
(5星)	 对父子同时H一女的印象特别深。XD            
(3星)	 为了曾华倩看的            
(NA)	 如果没有记错的话，这算是ATV为数不多的经典了            
(3星)	 伍咏薇。。。            
(5星)	 当时把我那心弦可给扣坏了。。。            
(4星)	 年代久远的回忆之一            
(5星)	 那时候可喜欢江华啦            
(4星)	 当年我喜欢女猪脚白梅也~~            
(4星)	 我记得那些雪景~记得黄日华貌似很悲惨~还有那个满脸疤的男人曾经是我的梦魇~            
(5星)	 重看还是五星！非常好看。江华和伍咏薇这一对真印象深刻。曾华倩很漂亮。            
(5星)	 江华和伍咏薇的那段床戏哦，完全是我审美教育的启蒙。            
(NA)	 伍咏薇那时候太漂亮了。            
(4星)	 (1993) 1) 当时来说很有新意，因为港剧里面难得有是坏人最后胜利的。2) 为什么我记得的和大家不一样？我记忆中是张家辉最后抱着一女配角的上床，而不是黄日华。            
(NA)	 汗死了，当年主题歌我都会唱            
(NA)	 曾华倩的美，真是无人能及了！            
(NA)	  这是我看过最峰回路转的故事了，曾华倩真是漂亮，难得黄日华和吕颂贤我也喜欢，伍姑娘在里面真是销魂啊，所以这个结局我很无语，没有续剧我一直觉得很奇怪....对了。。方刚那橘子皮的脸。。真是印象深刻啊。。哈哈            
(4星)	 这么多电视剧主题曲里面，它的主题曲我总是能第一时间想起然后一字不漏的唱出来            
(5星)	 人生原是靠演技            
(4星)	 印象很深的港剧，张家辉抽雪茄，那个小人得志样啊～～～～            
(5星)	 人性教育片            
(5星)	 前半部是所有精华。千娇百媚的五姑娘，怎么都恨不起来的江华。还有在盛年的曾华倩以及黄日华。            
(3星)	 记得剧情有点脑残，大家都打鸡血一样的复仇            
(5星)	 多少年前的记忆啦。觉得曾华倩好美啊。            
(5星)	 ATV经典。黄日华，伍咏薇，江华，吕颂贤，方刚，曾华倩……还有年轻的张家辉。每一个演员都让这部电视剧更值得一看。            
(5星)	 此剧最经典的是舞厅老板一句：“我干这行这么多年，没见过你这么想当舞女的”。江凯伦真是人才，不，奇才啊！            
(3星)	 张家辉在电影里的屎尿屁和凶悍的形象，从这部就开始了。。            
(4星)	 黄日华演技真好，看到最后，巴不得对这个曾经的靖哥哥早点死            
(4星)	 黄日华也可以演亦正亦邪的角色！            
(4星)	 螳螂捕蝉黄雀在后~N年前的老片子了            
