http://movie.douban.com/subject/2262119/	聊斋志异
(3星)	 为了唐宁看的。            
(4星)	 平均水准只有三星，但画皮的水准超四星，电视剧能拍成这样的悬念，真是佩服！！            
(4星)	 很养眼~无论是帅哥还是美女...很痴情~            
(4星)	 = =  帅哥啊美女啊所以这个就是看点？            
(5星)	 这个第一部的聊斋是先后版本中我认为比较好看的            
(4星)	 个人比较喜欢看这部聊斋，拍得还不错            
(5星)	 陆判 小谢与秋容            
(NA)	 聊斋都变爱情故事了，这是蒲松龄的本意吗            
(5星)	 喜欢这部。记得2006年夏天，和妈妈在义乌的旅馆里看。好幸福的夏天~            
(4星)	 还好啦，不至于6.6的分啦。。。这种片子我都是捂着眼从手指头缝儿里面看完的。。            
(4星)	 久违的TAE啊，陶望三哈哈            
(4星)	 系列故事，有些看着还真得挺不错，有些感动与启示。            
(NA)	 《小谢》最对味。            
(4星)	 很喜欢聊斋    人有时比妖魔鬼怪可怕得多            
(4星)	 有关《聊斋》的我都喜欢            
(4星)	 我就喜欢小谢。            
(3星)	 画皮还行的……            
(4星)	 挺好玩的啊，我品味低            
(4星)	 初中还是高中看的。。就记得TAE和我家老胡了。。。            
(4星)	 只喜欢《小谢与秋蓉》《画皮》这一章节其实拍的不错~~~~~~~~~~~~            
(2星)	 跳着看了5-6集，本来要看胡歌的，没看到，戏太难看了，不看了。            
(NA)	 补遗             
(2星)	 这特技。。。            
(3星)	 对胡可演的角色很YY.            
(3星)	 小倩还不错 胡歌杨幂很养眼            
(5星)	 俊男美女观赏盛宴            
(3星)	 依稀记得当年最喜欢小倩那个故事，再后来，才知道那是你演的。            
(3星)	 大巴上看的            
(4星)	 其实蛮好看滴 啊哈哈            
(5星)	 蛮经典的            
(3星)	 东拼西凑的 这个台看几集那个台看几集 居然也就看完了            
(3星)	 大唐是大陆的可米。            
(4星)	 《失业生》DVD            
(4星)	 每部都不错，感觉找得准            
(3星)	 电视剧             
(NA)	 周末在家电视了两天的剧，我觉得这版真心还不赖。            
(5星)	 最爱这部，经典.，几个小故事都挺特别的，细腻，不落俗套....后面一部不如一部，俗不可耐            
(4星)	   我品位低，觉得挺好看的啊。就特技不行。            
(NA)	 这一版的杨幂演的小倩真的尼玛的清新脱俗美的人肝肠寸断啊，胡歌也各种美好书生气十足，可是杨幂之后怎么就残了啊，还脑残了啊！            
(5星)	 之小倩～～喜欢胡歌饰演的宁采臣            
(4星)	 所有《聊斋》改编中最好最靠谱的一版。            
(5星)	 第一次把电视剧记录在我看过的电影里，早就看了的，五星全给小谢            
(5星)	 每个故事都很好看，喜欢小谢那段，里面有唐宁。。            
(4星)	 只看了林志颖的部分，小志呀小志~            
(4星)	 最好看的一个版本。            
(2星)	 聊斋的改编越来越差强人意。阿宝的故事还算喜欢，小翠是为了林志颖。            
(NA)	 林志颖！！！            
(4星)	 阵容真是强大，比后面的都强大。最喜欢《小谢》，因为唐宁~~            
(4星)	 杨幂的成名作。。            
(3星)	 有的小故事还行，有的扮相很丑哈哈            
(4星)	 这部聊斋是最好的~            
(4星)	 因为胡歌，我本来最看好《小倩》。。可惜我觉得那女的演的有点假，他们俩之间的互动也不咋样。            
(NA)	 聊斋的影视改编版本那么多，坦白说，这也算得上是其中的上层之作了。            
(3星)	 每个的第一集介绍完人物，后面就显得拖沓无比。            
(4星)	 最爱这个版的小倩~~            
(4星)	 画皮好             
(4星)	 青春偶像版。最喜欢的故事是小翠，李冰冰和林志颖好有爱啊。            
(3星)	 以前看觉得很恐怖。            
(3星)	 还可以，不错~不过怎么又是野花杨啊。。。本来四星，再减一星。            
(3星)	 小谢小谢小谢小谢            
(1星)	 一群傻逼妖魔鬼怪            
(5星)	 百看不厌的聊斋！！            
(3星)	 断断续续看的！~            
(3星)	 话说还行。            
(NA)	 唐宁最可爱            
(4星)	 唐人拍的一系列聊斋剧只看了这一部。最喜欢《陆判》。            
(NA)	 還是老袁...            
(3星)	 其实满好看的.........            
