http://movie.douban.com/subject/2270526/	情书
(4星)	 看得时候小啊~世界末日            
(4星)	 看过的最早的内地偶像剧，喜欢里面的徐静蕾，纯纯的，另外还记住了两首歌——《世界末日》和《值得一辈子去爱》~~            
(4星)	 对于这个的记忆比将爱深==#            
(4星)	 多怀念，以前还觉得超好看来着，我是说剧            
(NA)	 插曲是《世界末日》            
(4星)	 不知道怎么就想起这个电视剧了。。。            
(4星)	 小徐。。            
(4星)	 像本私密的床头书一样好看。            
(3星)	 是，第一次未见其人地喜欢jay的歌            
(4星)	 和《老房有喜》一样是为数不多喜欢的国产电视剧之一，很多年前就喜欢片尾曲世界末日，那个时候的周杰伦还是个默默无闻的写歌的路人甲，刚被宪哥赏识。奇葩的是，当年的徐惊雷老师还不怎么傻逼呢，我就烦她，特别烦，喜欢另一个忘了名字的女主。            
(5星)	 原来暑假合肥台每天下午四集联播但好像好多人不知道啊！我特别喜欢的一个片子~片头片尾都好听！直到后来周杰伦火了我才想到原来世界末日是他写的……            
(NA)	 SBDW            
(3星)	 里面的主题曲是周杰伦的《世界末日》呀，高中时候看的呢。            
(4星)	 为什么那么多年前刘耕宏看起来就那么老，那么多年后还是那么老？            
(NA)	 刘畊宏华丽的肌肉            
(4星)	 小学时看的.尤其喜欢那个时候的徐静蕾.            
(4星)	 真的好怀念            
(5星)	 真正的“当时只道是寻常” 只是这年头阿雷难找，夏琳也成“老”徐了            
(3星)	 小学看的偶像剧。那时候的徐静蕾唉。再反观一哈杜拉拉。            
(4星)	 潘虹比老徐好看            
(2星)	 一个假纯女的乱搞            
(NA)	 这部戏印象最深的是徐静蕾的房子，不过好像没看到结局，不知道那些情书都是谁写的            
(4星)	 世界末日，这首歌从这里听到的            
(4星)	 曾经，玉女时代的徐静蕾拍过小两部有爱情味道的电视剧            
(5星)	 记忆中美好的情节都在这里，那会儿三四年级，一晃十几年过去了。            
(NA)	 当年《情书》里的徐静蕾我也可爱了，她家那个阳台，哎呀！            
(4星)	 影响爱情观的剧。徐静蕾美死啊~ 多年以后才惊觉小时候迷恋的阿雷竟然是刘畊宏……我的眼睛…… - -！            
(4星)	 今天突然想起来，这部好像是我想去上海的原因            
(4星)	 第一次听到周董的歌是在这里。。世界末日好像。那个时候还不是周董，叫野孩子吧。。            
(4星)	 当时应该是蛮喜欢看的，不过都不怎么记得了。            
(4星)	 我小时候好爱看电视剧啊...            
(4星)	 原来觉得刘畊宏眼熟不是没有原因的！            
(4星)	 青涩年代最喜欢的之一            
(NA)	 呃 只记得那个吸尘器和大便的笑话。。            
(4星)	 那时已经认识刘畊宏了            
(3星)	 当时是去看潘虹的。。。            
(3星)	 内时候特推崇徐静蕾在剧中当睡裤的内种运动裤，然后就是特想有刘畊宏的身材……            
(4星)	 徐静蕾最初清纯的模样。            
(NA)	 恩恩 我就是这么看上徐静蕾的~            
(4星)	 第一次未见其人喜欢Jay；从这部剧开始喜欢徐静蕾，近年来结束+1            
(4星)	 又是一部老片子，不过我觉得是现在的很多剧不能比的            
(3星)	 李亚鹏在里面太难看            
(3星)	 不靠谱，过去抑或现在。            
(NA)	 当年老徐还年轻啊~~            
(2星)	 老徐撑场子            
(3星)	
(4星)	 那时徐静蕾清清纯纯的样子很好。播这部剧时周杰伦还没红，可是片尾曲却是他写得歌，就是后来的《世界末日》，只不过那时是刘畊宏唱的。印象里一直很喜欢夏琳家的那个大阳台，还有那个会吐泡泡的熊。            
(3星)	 那时候的静蕾特别怀念.            
(4星)	 第一次看国产偶像剧。徐静蕾就是靠它红的。现在才晓得还有刘畊宏。囧。            
(4星)	 美死人的上海。            
(4星)	 当年竟然觉得阿雷长得最帅。。。            
(4星)	 怎么都找不到了后来,今天终于找到了.            
(4星)	 我因为一个很莫名的理由异常喜欢这部电视剧，我真的喜欢            
(4星)	 当时真的很喜欢 还有片尾曲非周杰伦版的 世界末日            
(5星)	 从这里知道刘畊宏和世界末日的.喜欢徐静蕾.永远的将爱情进行到底.            
(NA)	 我看过的第一步“偶像剧”，至今记忆犹新            
(4星)	 从这部电视剧开始喜欢她，直到07年结束对她的欣赏。            
(4星)	 最美的徐静蕾，动人的世界末日            
(NA)	 小时候那么喜欢她跟刘畊宏一对儿。            
(4星)	 那时候徐静蕾最美了！            
