http://movie.douban.com/subject/2270545/	春光灿烂猪八戒
(4星)	 小时候因为最后小龙女变成了泉眼而哭倒在沙发上，还被爸爸妈妈笑。现在回头去看一定觉得很脑残，所以断然不会再看，就停留在童年的美好回忆吧。            
(NA)	 小时候看，觉得很感人，现在也觉得感人，泉中有眼，眼中有泉。            
(5星)	 最后一集小龙女变泉眼时哭了            
(5星)	 好春光，不如梦一场，梦里青草香，这一次人间也匆忙，小风大浪地狱天堂还有清风吹斜阳。。。            
(5星)	 徐峥演的真好。我最后流了一滴泪。            
(4星)	 当年看的很HIGH啊            
(4星)	 其实这部电视剧现在回想起来还是不错的。            
(5星)	 笑死我又哭死了我呀            
(3星)	 这个开篇作还是可以看的，只是后来的那些就太滥俗了~~            
(4星)	 超喜欢有没有            
(5星)	 现在回放我还看呢。挺有滋有味儿的一部剧。            
(NA)	 陈红的嫦娥飞天那一幕，我有落泪，为着那么简单的人间至情都不能实现。更为了那为了人间安乐而自我牺牲的奉献。是有点妄想和自恋，但我感动。            
(5星)	 居然是叶伟信导演的            
(5星)	 我給它打五星是因為當年看這部戲的時候我很孤獨，我感動了，甚至哭了。爲了這段記憶，我要給它五星。            
(4星)	 最后一集我肯定哭惨了            
(2星)	 特无聊！            
(3星)	 每个暑假都演！            
(3星)	 徐铮和陶虹的爱恋            
(3星)	 让我呕吐一下吧~            
(4星)	 一对情缘～            
(3星)	 我喜欢陶虹~            
(5星)	 读高中时看过，就觉得里面太白金星和东海龙王很不错！            
(4星)	 猪哥哥！！！            
(4星)	 好春光，不如梦一场，梦里青草香，这一次人间也匆忙，小风大浪地狱天堂还有清风吹斜阳~~~~~~~♪            
(4星)	 这个还是记忆犹新的            
(3星)	 徐峥在这片儿里挺恶心。可是还是一集没落下            
(4星)	 反正我就是每次重播都会看一看            
(4星)	 看了好多遍..哭哭笑笑            
(2星)	 = =            
(4星)	 年少的回忆。记忆最深的就是那首主题曲了。好春光 不如梦一场 梦里青草香 你把梦带身上 蓝天白云青山绿水 还有轻风吹斜阳~             
(NA)	 一剧定乾坤            
(4星)	 很好笑~            
(NA)	 超级。。无聊            
(NA)	 雷啊雷            
(2星)	 我就是无法接受这种恶搞            
(4星)	 虽然也是胡说八道，但到底还是挺有意思的            
(4星)	 好难看啊。            
(4星)	 靠 我小时候的最爱啊 怎么才6.5            
(NA)	 不爱看= =猪好丑            
(3星)	 实在是太二了。。。            
(2星)	 我实在不喜欢陶虹。。。            
(5星)	 徐峥有戏！！            
(2星)	 当年看得津津有味，日！            
(NA)	 徐峥其实演过王明，囧            
(4星)	 好物都是开篇作==            
(5星)	 当年看的津津有味啊            
(2星)	 不能忍。            
(NA)	 重口味。》但还是看完了            
(4星)	 我還覺得老感人了~            
(NA)	 我真的不敢相信......就像我知道流星花园2侯孝贤拍的一样........            
(NA)	 那个猪牌好好看            
(3星)	 徐峥啊！其实还是有萌点滴！            
(4星)	 第一部的猪八戒是最好看的，喜欢徐峥和陶虹            
(3星)	 当年看最后一集给我看哭了。。。哎哟            
(5星)	 我的青春啊            
(3星)	 哈哈哈哈 从前居然没觉着这么雷 哈哈哈哈            
(NA)	 ，，，放在现在肯定算脑残= =            
(4星)	 又看了一遍！            
(NA)	 补遗            
(NA)	 突然想起它            
(4星)	 大陆最好的神话剧之一，末尾曲很好听。。。            
(2星)	 现在类似的电视剧特别特别多，吐。            
(5星)	 最后一集我HLL的哭了。            
(NA)	 呃            
(3星)	 小龙女头上的牛角我以前很想要            
(3星)	 徐峥挺好玩的            
(4星)	 这部还不错，之后的猪八戒系列就乱来了            
(4星)	 这一对。。。。小龙女好惨TAT            
(3星)	 最后一集还小感动了一下            
(3星)	 我挺喜欢徐峥陶虹俩口子的，嗯            
(4星)	 多有爱啊            
(3星)	 男女主角都不喜欢，那时候我就不太爱看这种电视剧了            
(5星)	 这片给了5颗星。其实并没有那么好，但是在我记忆中实在印象太深刻。那个暑假，每个台都在播这部。我天天看，看到结局，小龙女死了，大哭。            
(1星)	 光想起里面的猪八戒和小龙女我就恶心到不行            
(3星)	 好春光，不如梦一场，梦里青草香            
