http://movie.douban.com/subject/2277411/	济公
(5星)	 由李克勤唱的主题歌和插曲都很击赞。特别是插曲。何宝生更是没话讲。虽然出家了，但只要你觉得幸福就好。            
(4星)	 曾经的回忆~“天生丽质难自弃，芙蓉如面柳如眉。”那个痴情女配念的这句一直还记得。一直觉得梁小冰很漂亮啊，她演的阿珂很美~            
(4星)	 何宝生居然出家了，好遗憾的~            
(4星)	 欣賞下何寶生嘅間歇性無厘頭~            
(4星)	 当年真的很迷            
(NA)	 十年生死两茫茫~~            
(NA)	 梁MM洗掉脸上痦子之后的惊艳，直接导致我坚定的认为他就是阿珂的不二人选。            
(3星)	 暑假看的            
(4星)	 童年记忆。。“嫁猪嫁狗都不会嫁给你”小冰好像是这么说的。。            
(3星)	 梁荣忠还有别的担正的剧没            
(5星)	 里应外合，杀他个片甲不留……            
(4星)	 岁月的味道 too。            
(4星)	 比较下饭            
(NA)	 十几年前看过的东西，突然想找出来看一遍            
(3星)	 年少回忆。            
(3星)	 小時候為啥主題歌都會唱lei= =～ 何生則么就出家了呢～淚            
(NA)	 很搞笑            
(4星)	 很喜欢林荣钟            
(5星)	 梁小冰像王菲            
(4星)	 当时还很喜欢呢，哈哈            
(5星)	 寳生啊~~~~~~~~~~~~~            
(5星)	 记得在外婆家也看过，结局也很好            
(NA)	 我正在听郭德纲的《济公传》。。。所以。。。            
(5星)	 五星全献给我那再也回不去的童年 到现在剧情还记得一二 梁小冰爱念 十年生死两茫茫 呵呵 14年白驹过隙 再也回不去了             
(2星)	 那个时候，还是冲着“忠义”去的            
(5星)	 梁小冰超级美。何宝生和梁荣忠演得都很到位。是我最喜欢的TVB剧之一。            
(4星)	 这部印象深刻啊！哎，何宝生，梁荣忠，梁小冰都只是那个年代的记忆了。            
(3星)	 苦逼。。梁荣忠和何宝生。。我一直觉得他们很像            
(4星)	 =。=这个和大陆的那个乞丐版不一样。。。基本是一部武打片，着重写了降龙罗汉和玉女的爱情故事以及和哮天犬的恩怨情仇，道济的妈妈被哮天犬杀掉的那段挺感动得。。。总得来说算是不错的颠覆作品。。。            
(3星)	 佛渡有缘人！            
(3星)	 第一次看喜欢济公，第二次看喜欢释元，他就是这么个让人感到无奈心伤的人，我喜欢的何宝生啊，如今的你也出家了，真是人生如戏，戏如人生啊！~            
(5星)	 小时候最爱看 有没有              
(3星)	 梁小冰长相很讨喜            
(5星)	 很经典的回忆            
(5星)	 还记得他们最后没有在一起。            
(4星)	 最后那个结局太瞎了，什么叫爱世人啊喂！            
(4星)	 以前的TVB比现在强呀            
(4星)	 仔细看过，有些情节很感动            
(4星)	 又是一部让我记忆很久的            
(3星)	 应该是哪个假期看的吧            
(4星)	 小时候很喜欢看的~             
(3星)	 梁荣忠蛮次的...            
(4星)	 记得结局挺波折的            
(NA)	 这才是济公            
(3星)	 梁小冰很可爱            
(3星)	 忠义            
(4星)	 很喜欢的剧            
(3星)	 梁荣忠不适合            
(5星)	 原来哮天犬的演员名叫何宝生，最难忘的是他演的林平之，欲练神功，挥刀自宫而原来济公的演员叫做梁荣忠，两个人都是我好喜欢好喜欢的演员，而且一度以为他们是一个人来的            
(4星)	 这个歌真的是经典   我现在还会唱            
(4星)	 那时候的我很喜欢梁小冰            
(4星)	 何宝生好！            
(NA)	 印象有深刻 可以再看一次            
(4星)	 再次重温这部剧也是机缘巧合，可惜哮天犬已经出家了，我只能慢慢回味他演的电视剧了，不管是现代还是古装，都一样的帅气英俊            
(2星)	 TVB的神怪剧总是有点雷~梁荣忠当主角~很少见~            
(4星)	 梁小冰真美~~~~梁荣忠也是那时候红极一时的小生~~~            
(4星)	 梁荣忠演得济公还是影响很深刻的~知识女主角有点像容祖儿。。。            
(3星)	 那时年少各种剧~            
(4星)	 忘记哪一年播出的了。 不久就有《西游记》了。。带给我童年很多美好的欢笑            
(3星)	 小时候幻想聚宝盆就是此剧给祸害的 ！！！！            
(NA)	 好喜欢演济公的这位，长得好像穿山甲，以前是不是演过很可爱善良但是又变小坏的穿山甲啊？金童玉女好相配，好爱梁小冰，你是我的女神哦！            
(4星)	 妈妈喜欢看的            
(4星)	 最古灵精怪的济公了            
(4星)	 小学时候每天追着看，一集不落            
(5星)	 童年经典，最喜欢的一对，为他们不能在一起扼腕良久。现在?现在已经不重要了。            
(NA)	 当年好喜欢呢，觉得何宝生很帅            
(5星)	 超爱            
(NA)	 男女主角长大重逢，感情戏等让人难忘，男二帅            
(3星)	 童年的记忆啊~            
(4星)	 儿时的回忆。            
(4星)	 当年还学这个济公把下牙抵到上嘴唇上。            
(3星)	 原来我看过这部剧            
(NA)	 原来我看过梁小冰的片儿            
(4星)	 童年回憶神馬的            
(5星)	 粤语的江城子念得特有腔调 再看还素这么亮啊。。。            
(4星)	 梁小冰！！！            
(4星)	 哮天犬不错啊            
(4星)	 梁荣忠代表作            
(5星)	 梁荣忠 很风趣，有些诗词挺富哲理性，喜欢            
(5星)	 小时候看的，当时觉得梁小冰真的很漂亮。            
(4星)	 很小的时候看的，记得比较悲，很不tvb，梁小冰超级美！            
(3星)	 济公            
(3星)	 喜欢梁荣忠            
(4星)	 印象还颇深刻的            
(4星)	 十年生死两茫茫......            
(NA)	 有意思，搞笑又感人，主题曲也挺有禅意！现实生活中的哮天犬的扮演者真的出家了。            
(3星)	 还可以，梁荣忠不是不好，而是他当主角的魅力总是差了点。            
(2星)	 我又想起了梁小冰- -            
(5星)	 最爱港版的济公电视剧！玉女如果能和修元结成连理就好了。梁小冰很漂亮，风流倜傥的何宝生在戏外竟然出家了！            
(4星)	 小冰很可爱，主题曲很好听~            
(3星)	 我娘说不喜欢济颠。            
(3星)	 那时的梁小冰的确很漂亮            
(5星)	 那年夏天的回忆            
(3星)	 记得里面貌似是济公的一个亲戚，穷苦的时候，满腔热血，就爱吼抛头颅洒热血，话说这句话还是从这儿学来的呢。没想到那亲戚一直做到宰相，囧死。            
(4星)	 记得很清楚：十年生死两茫茫 ，不思量 自难忘            
(4星)	 何宝生的哮天犬我好喜欢啊~~            
(4星)	 那时候他们这对很友爱            
