http://movie.douban.com/subject/2279816/	少年张三丰
(5星)	 为什么我看过这么多张卫健的片子……当时代李冰冰一身红白装，清纯洒脱，为他俩错过久久不能释怀，还有那首悔恨交加的片尾曲《孤独不苦》            
(4星)	 当时觉得李冰冰好美=A=            
(5星)	 我喜欢看张卫健和李冰冰搭档。            
(3星)	 被张卫健毁掉的暑假还不嫌多吗？            
(5星)	 因为有严宽啊。XDD。            
(4星)	 我喜欢易继风啊易继风~            
(3星)	 张卫健老是装嫩。            
(4星)	 我就喜欢张卫健搭李冰冰            
(5星)	 喜欢李小璐扮演的神婆            
(5星)	 李小璐。。。那是的发型。。。哇哈哈哈。。。还是很喜欢。。。            
(4星)	 凉风有性，秋月无边，亏......            
(2星)	 就记得HLL的严宽了            
(NA)	 牛萌萌长得比李冰冰萌 这里张卫健老了            
(5星)	 好看惨了            
(2星)	 只知道演个神神叨叨的装B犯            
(3星)	 两岸三地            
(3星)	 忘掉了= = 李冰冰X张卫健最高            
(3星)	 张卫健怎么感觉越长越矮呢？又粗又挫            
(2星)	 还是李连杰帅啊。            
(5星)	 初中的时候迷着个            
(3星)	 悲剧人生            
(1星)	 你又吓到我了            
(4星)	 张卫健佳作            
(3星)	 不知道为什么，突然很怀念这部片子            
(3星)	 港剧            
(3星)	 张卫健。李冰冰。^_^张三丰啊啊啊            
(3星)	 不好意思我只记得严宽了╮(￣▽￣&#34;)╭             
(5星)	 天呐，初中好爱看，当晚错过一集，第二天就让前座的男森讲述一遍剧情            
(4星)	 当时喜欢张            
(3星)	 过。            
(NA)	 张卫健你太红了！搞得看上个跟你一型的矮子！            
(2星)	 当年年幼无知居然看完了。。            
(NA)	 这个真是重口味啊            
(4星)	 张铁林在里面...啊哈哈哈            
(4星)	 初中的记忆            
(2星)	 脑残时代            
(4星)	 个人爱好            
(3星)	 我更喜欢小不懂..            
(4星)	 张卫健 李冰冰             
(3星)	 苏有朋在里面不错            
(3星)	 曾经喜欢张同学好久。            
(3星)	 张卫健模仿星星的痕迹很浓。            
(NA)	 我揣测,大概是当时电视台放的没什么可看了.完了表妹一忽悠一坚持.于是我也跟着看了.            
(4星)	 啊哈哈，這個很歡樂。            
(4星)	 李小璐在里面好可爱            
(NA)	 我只是马克一下            
(4星)	 挺不错的，就是张三丰成了光头流氓。            
(4星)	 孤独不苦            
(3星)	 张卫健真是个活宝。            
(3星)	 那时候的TAE，古装扮相好的没话说了。。。            
(3星)	 我记得以前每年暑假都会有张卫健的..            
(3星)	 我喜欢张卫健说话的方式··现在渐渐都淡出影坛了··但是看到以前那些电视剧，还是会感叹·            
(3星)	 曾一度迷恋张卫健 ...             
(4星)	 这个导演是不是信耶稣哦？最后二十分钟出现的牧师实在是出乎我意料            
(5星)	 高中毕业的夏天            
(4星)	 呀，以前狂爱看这。            
(2星)	 脑子被踢了。            
(NA)	 我怎么看过这么多电视剧!!            
(5星)	 我为五星而羞涩。。。。但是当时是觉得好看啊o(╯□╰)o            
(3星)	 喜欢张唱的主题曲阿。。。觉得他演的最好的剧            
(3星)	 张卫健少年系列一            
(3星)	 纯为了李小璐给你三星～            
(3星)	 那时候我还不知道李冰冰是who....            
(NA)	 电视台            
(2星)	 没看头,李冰冰那叫一个雷光闪闪。            
(3星)	 记不太清楚了 但当时觉得挺好看的 还有个逍遥派掌门人 长的特像我们当时一讨厌老师            
(NA)	 可怜这些女的了            
(3星)	 只能 看作一部搞笑剧吧            
(3星)	 年少回忆。            
(3星)	 暑假全献给张卫健了！            
(NA)	 三部曲            
(3星)	 除了搞笑外，一无是处，可惜了张三丰的形象            
(NA)	 美人严宽的初次登场            
(NA)	 他们好像有  和尚那            
(4星)	 其实怀念这个时候的张卫健            
(3星)	 其实主要还是喜欢上了李冰冰~            
(3星)	 当时没给严宽迷死!!!            
(3星)	 [昔日所看]            
(3星)	 还是冰冰~            
(3星)	 小时候的爱好……            
(3星)	 电视剧             
(3星)	  张卫健式无厘头的开始            
(NA)	 一般            
(4星)	 当时津津有味            
(NA)	 这个一般般            
(4星)	 很喜欢里面的小璐和TAE.当然小璐后来死了但TAE找到了属于自己的幸福.我是占卜女皇.哈哈.            
(2星)	 这个这个 貌似看过 什么都不记得了 反正不好看            
