http://movie.douban.com/subject/2282470/	绝世好爸
(3星)	 不晓得是不是洛神的影响，一直不喜欢郭羡妮            
(4星)	 郭羡妮最漂亮，陈慧珊最有气质，胡杏儿尚未更丑，刘锦玲依然个性。陈豪的上位之作，唐文龙扶不上墙。秦沛再次让人想哭的慈祥！            
(5星)	 最喜欢的，反而不是《创世纪》、《刑事侦缉档案》一类大制作，倒是这种小巧玲珑的家庭剧。唠叨慈爱的爸爸，三八却义气的好友，在工作中日久生情一波三折的爱情，每个人都很平凡，每个人都很了不起。陈豪多可爱，一张马脸，居然越看越帅，演迂腐不化也行，演油腔滑调也行。            
(3星)	 父亲是家庭的重要角色，承担着很多的责任。子女要成长，要教育，要成家，做爸爸的当然要全程把关。这样的好父亲，当然是绝世难找，由秦先生来演绎这个角色最合适，最恰当。            
(4星)	 郭羡妮很漂亮哦，在里面。            
(3星)	 总是感觉秦沛是tvb老戏骨里面最慈善的。好温暖的。            
(4星)	 曾经一度最爱的就是这种温情剧 那时候的郭羡妮多好看多招人喜欢            
(4星)	 开始添加TVB...            
(5星)	 这里比较喜欢郭mm            
(NA)	 我喜欢这个老爷爷演的电视剧~~~            
(4星)	 温馨的家庭            
(5星)	 陈豪很灵            
(NA)	 很温情的片子            
(5星)	 难得推荐本五星的，个个都很出色，尤其怪物甲            
(4星)	 tvb老剧 多想回到从前            
(4星)	 萧公子look不错            
(4星)	 亲情无价            
(3星)	 当然还是为了陈慧珊看的，不过陈豪的萧公子很亮眼，另外唐文龙蛮帅的，刘锦玲时装比古装好看            
(4星)	 我喜歡那老爸            
(5星)	 要是我也有那么多姐妹该多好            
(3星)	 年少回忆。            
(4星)	 只得一个萧公子            
(4星)	 FLORA时期,一口气看完10集.陈豪那个角色一开始很好笑.唐和郭讨论昆德拉真雷人            
(3星)	 TVB里面算没啥看头的。。            
(3星)	 发现陈豪的帅            
(NA)	 可爱的老爸            
(4星)	 很温馨的..            
(5星)	 非常好看 演员也很到位            
(4星)	 温情            
(NA)	 秦沛一直演好爸爸            
(3星)	 温情片            
(5星)	 很喜欢，是我初三看的            
(4星)	 黑温馨            
(4星)	 偶愛FLORA            
(NA)	 从这里开始喜欢陈慧珊和陈豪.对于父母的感情也是从这里学会感恩和珍惜.            
(NA)	 怪物甲乙丙哈哈哈哈            
(3星)	 纯粹陪着别人看的~            
(4星)	 难得的既温馨又感人又搞笑而演员我又都喜欢的片子...            
(NA)	 【2002-10-14】            
(4星)	 秦沛还是演普通老爸好呀  一般演老爷的都不是好角色            
(4星)	 怪物甲乙丙            
(4星)	 陈豪！            
(3星)	 这个欢乐。            
(5星)	 很喜欢这个绝世好爸呀            
(4星)	 补            
(NA)	 陈豪陈豪！            
(5星)	 难过的时候看心情会变好            
(NA)	 很很很有爱~~我也有个绝世好爸            
(5星)	 超温馨            
(4星)	 怪物甲乙可爱的紧！            
(4星)	 很温馨。            
(5星)	 温暖            
(4星)	 秦沛哩类角色做咗好多次边个打边个我都有D对五上号了。。            
(4星)	 温情的家庭剧，不错！            
(5星)	 超好看的家庭剧,里面的人都挺招人喜欢,也是没的可看的进修我就会翻出来重看的剧            
(4星)	 温馨又好笑，好多喜欢的演员~~~            
(4星)	 很sweet很温馨            
(4星)	 初中看的了 好久远            
(4星)	 爱！！！            
(3星)	 以前一边吃饭一边看的，还行            
(3星)	 2002            
(4星)	 很爱秦沛啊  慈祥的好爸爸代表            
(5星)	 秦沛做老爸，太温馨了            
(NA)	 萧公子..很适合陈豪            
(4星)	 父爱~~            
(5星)	 sonija 和 flora 嘿嘿 很温馨的一部剧 喜欢！            
(4星)	 很好看的一部戏。秦沛一直的水准保证。对陈豪的印象深刻。自此后，就觉得他的确演什么像什么！            
(3星)	 喜欢            
(4星)	 郭羡妮。胡杏儿。            
(5星)	 几百年前看得好怀念T~T            
(3星)	 那么多女儿,幸福的老爸            
(NA)	 满喜欢滴            
(5星)	 总是会出现这样的温馨小品，让人惊喜            
(5星)	 看着觉得舒服的剧            
(5星)	 FLORA憑此拿最佳...秦沛真老戲骨            
(3星)	 记得歌曲            
