http://movie.douban.com/subject/2282477/	武林外史
(NA)	 这女人把朱七七演得太招人烦了！！！            
(5星)	 不知道为什么很喜欢王艳在这里的表演            
(4星)	 飞飞的头饰服饰，配上那楚楚的气质，真我见犹怜。可沈浪最后选的是朱七七            
(NA)	 还是恶心到我了，女主角77。            
(3星)	 十分讨厌沈浪和猪77 大陆那几个演员。。啧啧 也就王艳的白飞飞还像个样            
(3星)	 飞飞才是小三呢！！！哼！我就喜欢朱七七 = =+            
(4星)	 演朱七七的张琰琰怎么就销声匿迹了呢？多年以来这个问题困扰我许久。这部电视里爱死她了。还有配乐，也是大爱。尤其是快活王出场时那段。王艳（白飞飞）在里边也很美：蝶儿闯入我梦，我在蝶梦之中，是梦是醒有什么不同            
(4星)	 好喜欢王艳。。。。。。。。。            
(3星)	 虽然和原作差好多。。。白飞飞死得好冤！！！朱七七get out。。。            
(NA)	 蝶儿闯入我梦，我藏梦之中            
(3星)	 当年很喜欢呢            
(3星)	 熊猫儿穿的是什么东西啊……            
(4星)	 朱七七，那时候觉得这个名字很洋气，还让我妈给我改名            
(3星)	 把原著改的乱七八糟，朱七七的演员和编剧剧情太垃圾，原著里的七七狡黠聪明美艳，有小女儿的骄纵任性却有度，白飞飞换了个讨喜的演员来演，凄苦有余狠毒不足，有失偏颇。导致现在N多人还以为是朱七七破坏了沈浪和白飞飞的爱情，殊不知原著里压根儿就不是这样。            
(4星)	 这曾是我最喜欢的古龙作品，没有之一，不过实话是编剧刻意想要营造大完美结局，忽略了原著，而女主角的选取又导致了大家多年的遗憾。            
(NA)	 黄海冰唯一过得去的一部啊，当年沈浪多帅，我喜欢白冰冰啊，朱七七多恶心！            
(4星)	 古龙改编的我最喜欢的            
(4星)	 小时候很萌的一部武侠~真的蛮好看~            
(1星)	 很讨厌这个电视剧，不喜欢。            
(1星)	 二一个            
(3星)	 拍成这样 实在辱没古龙的名声。            
(3星)	 黄海冰在这部里真是塑造经典             
(4星)	 原著控应该很忍不了吧。。没办法我就是爱白飞飞啊。。即使是原著。。。（七飞两派掐了好多年了。是有多大的魅力。。。）            
(3星)	 熊猫儿穿麻将排...            
(3星)	 很喜欢白飞飞当时。            
(3星)	 朱77我讨厌你~（初中看的。。一直不变的讨厌）            
(NA)	 当时全班似乎只有我觉得十分不好看            
(3星)	 永远记得讨厌朱七七！            
(4星)	 如果这部电视剧换个名字就好了 不叫武林外史 叫武林内史沈浪不叫沈浪 王怜花不叫王怜花熊猫儿不叫熊猫儿 朱七七不叫朱七七白飞飞不叫白飞飞那该有多好            
(4星)	 那时候真是心碎了一地。            
(3星)	 完全没有古龙的韵髓，作为武侠剧还可凑合着看。            
(3星)	 这里面的朱七七就不是一般恶心鸟……%￥除了刁蛮任性一无是处。。。和原著差别太大            
(4星)	 故事很不错,扮演沈浪的黄海冰和扮演白飞飞的王艳,还有像岳耀利这样的重要配角都很不错,就是女主角朱七七的扮演者——她叫什么来着，感觉怪怪的            
(2星)	 很不喜欢黄海冰            
(3星)	 小时候追着看~朱七七太厉害了，亲爹是武功天下第一，养父是天下第一富            
(4星)	 T____________T好多年前好喜欢看呢！！            
(4星)	 白飞飞心疼死人了有木有            
(3星)	 想当初我是多么的喜欢白飞飞呀            
(3星)	 其实书里，就喜欢白飞飞。 另，这朱77有点太2了..            
