http://movie.douban.com/subject/2287261/	婉君
(3星)	 琼瑶阿姨的女性向后宫作，而且后宫质量不咋的            
(NA)	 六个梦。小小新娘，缘定三生。却是最大的讽刺。最记得那蒙太奇剪接，一个毽子，俯仰之间，婉君十六了。            
(3星)	 只记得主题歌。            
(5星)	 一个女孩名叫婉君！这样的经典陪伴过我们度过很多美好时光！            
(2星)	 愚蠢            
(4星)	 看过后，还买了件婉君装。应该是8岁左右吧。            
(3星)	 有一个女孩名叫婉君~内容完全模糊了            
(NA)	 以前            
(3星)	 好吧 我看过 那时候1直以为俞小凡跟蓝洁瑛有什么血缘关系。。            
(4星)	 经典。            
(3星)	 小小新娘。。            
(1星)	 我老妈和老姐都不知道琼瑶这个人，但她们确实是不折不扣的琼瑶迷，从《婉君》到《情深深雨朦朦》            
(2星)	 也不记得了            
(3星)	 我还满喜欢俞小凡的长相呢            
(NA)	 小小新娘缘定三生，恍然一梦千古伤心            
(2星)	 久远回忆            
(3星)	 有个女孩名叫婉君！！！            
(5星)	 谁爱小伯健？我爱，我爱。            
(3星)	 婉君这样的女子，你伤不起。            
(NA)	 有个女孩名叫婉君...........囧            
(4星)	 有个女孩名叫婉君~            
(3星)	 琼瑶阿姨作品。            
(NA)	 补遗                
(4星)	 牛了，谁没看过            
(4星)	 主题曲至今仍能哼唱，情节有点模糊了            
(4星)	 和我很像的俞小凡~            
(4星)	 太经典了！太经典了！            
(NA)	 童年回忆            
(3星)	 小时候懵懂无知懵懂无知。            
(3星)	 不记得了 = =            
(4星)	 我一直想知道结局，书里没有写。            
(4星)	 全凭当年的感觉 有个女孩名叫婉君。。。            
(3星)	 金铭很萌~            
(3星)	 剧情记不得了。主题曲至今还会唱几句：一个女孩名叫婉君/她的故事耐人追寻/小小新娘缘定三生/恍然一梦千古伤心/一个女孩名叫婉君/明眸如水绿鬓如云/千般思爱集于一身/蓦然回首冷冷清清...一个女孩名叫婉君/冰肌如雪纤手香凝/多少欢笑多少泪痕/ 望穿秋水望断青春/一个女孩名叫婉君/她的故事耐人追寻/几番风雨几度飘零/流云散尽何处月明            
(4星)	 还记得当年徐乃麟有多帅            
(4星)	 大了后又重温了一遍            
(4星)	 琼瑶啊琼瑶~ 其实这部戏当时的印象还是比较深的            
(4星)	 完美的仲康。为啥婉君就不勇敢一点说出来呢。伤害就伤害呗。总归能幸福两个人啊。现在四个人都伤害了。            
(3星)	 哎哟我的妈呀，重播的时候发现除了徐乃麟，大哥和三弟真是丑得好彪捍            
(3星)	 我是跟着我妈看的...我不想看...            
(3星)	 当年小婉君，今已成妇人            
(3星)	 主题曲还记得……            
(5星)	 播了很多年，看了很多遍，从黑白到彩色……依然经典。            
(3星)	 2008初~            
(NA)	 所谓童年...=w=            
(3星)	 已经记不清情节了            
(3星)	 知道了“冲喜”是什么意思            
(NA)	 金铭，多少少男少女的梦中情人……丫肥的太口耐了！            
(3星)	 当年偶还有盘那谁唱歌的磁带来着            
(NA)	 我娘看琼瑶就哭 哦除了还珠格格            
(NA)	 小学时候还能看一点琼瑶剧，不敢复习，否则必然会恶心到自己            
