http://movie.douban.com/subject/2287748/	老婆大人
(3星)	 某法官在书店玩跟踪慌乱之下带书出店被抓以及诸如此类的神奇故事            
(NA)	 妹妹和哥哥关于未来的志愿有过一段激烈又出色的对话。            
(3星)	 妈妈觉得还不错的一部戏，还好，还好，反正最后皆大欢喜，有情人都终成了眷属            
(3星)	 香港人日常的法律意识/其余剧情鸡飞狗跳 宣萱还是很好看            
(4星)	 yoyo，那不是爱，是占有。。            
(3星)	 TVB的电视剧 早就有了“经典”模式了。            
(4星)	 宣萱~            
(NA)	 20090515-0524            
(4星)	 恩。一般吧……            
(2星)	 宣萱，老了。剧情很烂。            
(2星)	 天哪，这编剧是脑子进水了么？好多地方明显不符合逻辑嘛！TVB的水准越来越差了            
(4星)	 王杰还会演戏啊            
(5星)	 剧情棒~唐诗咏也太灵了吧~王杰不该再唱歌了应该当演员            
(NA)	 木有看完哦~~~            
(NA)	 宣萱和王杰 是亮点。。。            
(NA)	 蛮喜欢萱萱的            
(3星)	 这也37点 香港观众太好人            
(NA)	 没看完            
(4星)	 被感动了蛮多次            
(4星)	 这里的王杰很有魅力,电视台演好多遍了,不用说了吧            
(3星)	 还好啦  TVB的剧总比无聊雷人的乡村片好            
(NA)	 half            
(NA)	 世界上所有男人都该看的电视剧            
(3星)	 不喜欢 陈锦鸿油头粉面            
(3星)	 王杰是真帅啊。。            
(NA)	 宣萱，一如既往地稳定。            
(NA)	 喜欢宣萱            
(4星)	 不错看 宣萱很适合这个角色 里面的BB很可爱            
(3星)	 陆陆续续看了点~蛮搞笑的~            
(4星)	 王杰好有魅力！            
(NA)	 【2005-05-09】            
(3星)	 王杰真是惊艳啊 竟然演出了完全不合自己味道的精品男人 太惊叹了！主线故事很不错 复线的太无聊了 尤其是女配吐槽都无力了 开始不错 越到后面就越不行了            
(NA)	 男女主……讨厌            
(3星)	 很喜欢宣萱的样子呢            
(3星)	 事业型女性的生活            
(4星)	 王杰演的角色好怨啊，默默的付出，缺总受伤害            
(3星)	 除了李诗韵都很好看，几丑还腹黑            
(3星)	 呀，我想起来我可喜欢戴官了当时            
(3星)	 女主外，男主内            
(4星)	 补            
(4星)	 边做法律论文，边看这部剧            
(2星)	 看不下去啊……            
(3星)	 虽然有宣萱 但真不是我喜欢的风格 陈锦鸿也不是特别萌            
(2星)	 男主角不讨喜，宣萱让人失望            
(5星)	 是不是真的爱一个人，就能为他/她无限包容，一让再让？            
