http://movie.douban.com/subject/2287750/	胭脂水粉
(4星)	 这个这个，黎姿很出彩。脂粉堆里最心机！            
(4星)	 主要是黎姿太美了            
(5星)	 大学时全班一起看            
(4星)	 最爱黎姿。            
(1星)	 看完这部戏我明白了一个事实 黎姿绝对不能当第一女主角            
(3星)	 人，真的是爱争斗的动物。无论什么原因，争斗是基本，复仇是目的，迫害家人是手段，得到财富是结果。但，人生本来就是有舍才有得，代价是均等的，醒悟的时候已经太迟了。            
(3星)	 金枝欲孽的老梗，极度讨厌向海岚            
(3星)	 当时觉得失望。            
(2星)	 那个妆容……OTZ            
(3星)	 为了我的豪哥才看的，可是这里面的以方也太迷人了点吧？！            
(3星)	 黎姿总是美丽的。            
(3星)	 好看，喜欢黎姿            
(3星)	 对tvb无爱~            
(3星)	 口红别抹那么浓行不            
(2星)	 两星半            
(3星)	 捉棋個段幾低B啊囧            
(3星)	 很。。。不怎么样            
(4星)	 家族戏~还不错            
(3星)	 这就叫经典？笑四我。            
(2星)	 热恋Mo时期看的 别提有多难看            
(NA)	 装好浓。。蒙嘉慧好看。            
(3星)	 民初、亲情、爱情、爱恨情仇            
(4星)	 事件万物都有两面，有些人往往执着于某一面。放开一点，别总是想着攻，退一步反而海阔天空。问题不是你想不到，而是你不愿意去想。既然选择面对，就要步步为营。            
(3星)	 结局。。。哎整的来说就是服装蛮美AND黎姿适合反派            
(2星)	 黎姿是唯一看点            
(3星)	 喜欢演员 不变的TVB情节            
(3星)	 拍的时候是要有多赶. 浓妆也没盖过黎姿的黑眼圈.            
(4星)	 剧情很反转，如果能荡气回肠，就完美了            
(3星)	 看过金枝欲孽，珠光宝气和火舞黄沙的人就不要看了            
(3星)	 小家子气的戏            
(3星)	 对TVB电影永远有挥之不去的情结。。。            
(4星)	 最后结局的确有点出乎意料。            
(3星)	 真的不好看...化妆太浓            
(3星)	 陪妈妈看的～            
(3星)	 蒙嘉慧不错。            
(5星)	 看过一遍了。。再看还是觉得好好看的。。            
(3星)	 本来不是很喜欢家族戏。。不过这部还不赖。。            
(NA)	 港剧还是很适合娱乐的！            
(3星)	 除了三妹外，简直是个人头猪脑家族            
(5星)	 其實吧，TVB拍這些亂好的。除了劇情傻了點。（按劇情給三星）            
(2星)	 一个模板的垃圾            
(NA)	 都喜欢的演员            
(3星)	 勾心斗角。。            
(4星)	 主题曲很好。            
(3星)	  很失望            
(4星)	 家族生意你争我夺，不过蒙嘉慧真的好可爱，唉，竟然便宜了郑伊健            
(4星)	 旗袍不错            
(5星)	 喜欢            
(3星)	 喜欢陈豪,蒙嘉慧和黎姿.我的朋友说这部片子很邪门一看就倒霉.哈哈.            
(NA)	 呃，为什么偶会看一部没有一个主角喜欢的戏            
(4星)	 镜花堂。剧情设计的有点出乎我意料。            
(5星)	 很好看~~黎姿旗袍扮相很美            
(4星)	 yoyo和阿mo真是太配了！！！！如果我是男的，我一定找以方作老婆！            
(3星)	 看的时候还是小时候了            
(NA)	 【2005-10-17】            
(NA)	 有黎姿 大丈夫            
(4星)	 还算明艳动人            
(NA)	 妆化得个个都像白骨精orz...            
(4星)	 从这部起开始喜欢陈豪，黎姿居然演他姐。。。            
(NA)	 男主太丑，更衬托出蒙嘉慧的美貌，不幸的是男主居然还抱得美人归了……            
(4星)	 家族戏~家族戏~            
(3星)	 那时的TVB是，各种版本金枝欲孽。            
(NA)	 又看一遍……黎姿太美了！            
(3星)	 有钱如何，斗来斗去，家务宁日，大哥么眼力，娶了一个疑心病很重女子回来，弄得家务宁日。            
(NA)	 还是黎姿。。。            
(NA)	 此剧完全诠释了恶有恶报善有善报= =            
(NA)	 断断续续地看过，蒙嘉慧演的角色喜欢听商业电台！！！！是真的哦~            
(3星)	 黎姿在里面的扮相真是认不出来，对蒙嘉慧的印像源于此戏            
(3星)	 虎头蛇尾减去一星。坏人发现的太突然减去半星。过于狗血减去半星。            
(3星)	 其实我对黎姿一直很无感的。。。反倒觉得陈豪还是很萌的~~            
(3星)	 但我喜欢民国feel            
(4星)	 啊~黎姿黎姿            
(NA)	 也算经典了..            
(4星)	 哭惨了            
(3星)	 绝对的一般            
(4星)	 风格比较好，但是演员不吸引人。除了蒙嘉慧            
(3星)	 那个原律师长得不错，虽然一看就是斯文败类            
(4星)	 剧情三星，服装四星            
(5星)	 黎姿好美            
(3星)	 结局好像没看到            
(NA)	 一般吧,看过后没什么印象,陈豪的喜剧好多了            
(NA)	 衣服漂亮。。。。喜欢！！            
(5星)	  这种年代戏 人都超美            
(NA)	 对两夫妇的落井下石太看不下去了。            
(4星)	 我就是冲着蒙嘉慧去的！            
(4星)	 全是美女            
(4星)	 还好=.=            
(4星)	 开局还吸引人,云裳开始表现坏后太不连贯顺畅..结尾乏味陈豪太丑...            
(3星)	 2005            
(4星)	 TVB最近几年都拍这些类型……            
(5星)	 老妈说里面女人都漂亮，黎姿最漂亮            
(4星)	 陪我度过“无脑”的日子            
