http://movie.douban.com/subject/2294179/	情牵日月星
(3星)	 小学            
(NA)	 。。。。。。。。。。。真崩溃 我怎么看过这个            
(NA)	 当时就喜欢吴倩莲那个星星来着            
(NA)	 那时候还满喜欢的呀            
(3星)	 不错。            
(3星)	 珠宝很叻            
(4星)	 五年级的时候很喜欢看。。里面的项链特别美            
(5星)	 主题曲主题曲主题曲            
(3星)	 说实话我只记得那个和小妹谈朋友的男生            
(3星)	 那时的詹小楠和杨恭如多漂亮            
(4星)	 就是这部啊 以前很喜欢 对里面的日月星项链印象深刻            
(3星)	 当年觉得吴倩莲配方中信很囧。。            
(4星)	 明星阵容有点小强。 我觉得吴倩莲应该是那个太阳嘛..            
(NA)	 第一部剧,催发了我对上海的渴望= =            
(3星)	 给老庙黄金着实做了好广告。            
(3星)	 方中信            
(3星)	 吴倩莲怎么能这么丑            
(NA)	 小时候好爱的片子。            
(3星)	 贼拉早啊            
(4星)	 当年看了好几遍。            
(5星)	 小时候觉得吴倩莲的角色很Cool啊            
(4星)	 方中信当年好迷人，很想再看一遍～            
(3星)	 這個是我小時候的最愛！老廟黃金的長篇廣告！方中信帥的不成樣。那個丁貝貝最後找了個男朋友叫劉德華。楊恭如怎麼戲裡戲外都喜歡搞人家老公啊。忘年戀什麽的。。。            
(3星)	 我就记得我很爱贝贝            
(3星)	 吳倩蓮            
(3星)	 擦，吴倩莲在里面开吉普！！！            
(4星)	 当年看的时候觉得方中信是理想中的完美男人，吴倩莲很帅很个性，杨恭如很温柔很漂亮~~            
(4星)	 方中信            
(3星)	 老子当年也看肥皂剧的            
(4星)	 小时候的电视剧回忆呵~            
(4星)	 &lt;京港爱情线&gt;后放的,当时记得满好看的            
(3星)	 杨恭如记得 吴倩莲记得 李亚鹏记得 为什么就是不记得方中信            
(4星)	 歌太好听了            
(4星)	 以前很喜欢吴倩莲.            
(NA)	 又是一部失败的明星大拼盘。            
(NA)	 完全不記得~但記得日月星三根項鏈很漂亮~            
(4星)	 我咋没想起方中信阿叔在里面列            
(4星)	 sky真的好帅啊~~~            
(NA)	 记得里面有个DJ长得不错～            
(3星)	 同不记得。            
(NA)	 童年回忆！            
(3星)	 星星月亮太阳            
(3星)	 一直记得里面的一首插曲，似乎叫我在哪里。            
(3星)	 小学时候看的 算是那时候一段时期的最爱...             
(4星)	 当年喜欢，因此知道方中信，帅            
(4星)	 小时候多喜欢这片儿呀            
(3星)	 我小学的时候，狂迷方中信            
(4星)	 我一直记得那首片尾曲 非常喜欢            
(4星)	 小时候看着挺好            
(4星)	 到现在都有看到人在戴里面那个项链。            
(3星)	 当年觉得方中信是那么的帅啊，吴倩莲是那么的个性啊。。。            
(3星)	 吴倩莲那时候真好看            
(NA)	 我妈那时候超迷方中信。。。            
(4星)	 配乐很棒            
(3星)	 记得那会儿觉得方中信好帅啊            
(NA)	 我对里面的项链以及李亚鹏送给杨恭如的黄金小天使，影响太深了，那应该是我第一次有买奢侈品的欲望            
(5星)	 学生时代的偶像剧啊～当时大爱方中信            
(5星)	 三样金饰品真不错            
(NA)	 介个当年小时候晚上起床偷偷看完的~~~~怎么觉得我很老了            
(4星)	 那时候好喜欢的！星星月亮太阳            
(4星)	 当时喜欢方中信那段来的 很小言~            
(NA)	 当年也很迷这部剧的 哎~            
(5星)	 当初很喜欢很喜欢的一部电视剧             
(3星)	 只记得方中信很有味道...            
(NA)	 吴倩莲。杨恭如和李亚鹏。。。            
(4星)	 我好喜欢里面的方中信            
(3星)	 美好的回忆。            
(NA)	 哎。。。。。            
(3星)	 也是小时候看得            
(NA)	 还有李亚鹏呢！            
(NA)	 ⋯⋯当年就是看这些东西情窦初开的？！！            
(3星)	 小时候看果然还是对那三条项链印象深刻啊            
(3星)	 只记得那三根项链了……            
(NA)	 小时候对于所有种类爱情的全部幻想。方中信太诱人了。            
(5星)	 吴倩莲开车的样子真帅啊！            
(4星)	 当时迷恋方中信            
(3星)	 仿佛是金饰广告。            
(4星)	 方中信好像都没怎么变老。越来越有味道。。            
