http://movie.douban.com/subject/2294255/	笑傲江湖
(4星)	 令狐冲非吕颂贤莫属            
(3星)	 我只喜欢吕颂贤版的令狐冲            
(4星)	 除了任盈盈有点丑之外 很不错拉~            
(5星)	 吕颂贤版塑造了最好的令狐冲~            
(4星)	 除了任盈盈，其他都满意。            
(5星)	 經典的令狐沖，最大氣的盈盈。            
(5星)	 比李亚鹏那个版本正常多了。            
(4星)	 不知我当初是不是为了主题曲找来看的 结果 就上了瘾 至今来说 实在是最好的一部笑傲了            
(4星)	 剧里很喜欢吕颂贤            
(NA)	 女主角丑了点。。。吕颂贤不错。。。            
(3星)	 何美钿我好喜欢            
(5星)	 最喜欢这部～            
(4星)	 任盈盈如果真死了，令狐衝這個不羈浪子才真是完滿。            
(3星)	 笑傲电视剧中难得有点神韵的令狐冲，喜欢那曲琴箫合奏~            
(4星)	 公子生性洒脱不羁，却始终摆脱不了一个情字            
(4星)	 最爱这版            
(5星)	 最嗲版            
(3星)	 a waste of time            
(5星)	 超爱            
(3星)	 我讨厌的男女猪脚            
(4星)	 看到呂頌賢脫口而出令狐沖            
(4星)	 冲哥就是适合~格老子的~啊~            
(5星)	 当年很喜欢的- -            
(5星)	 TVB的金庸剧一向有质量保证            
(5星)	 一直看得断断续续的,但就是爱啊,尤是吕颂贤的令狐冲,噢...            
(NA)	 吕颂贤             
(5星)	 太经典了！！！            
(5星)	 金庸所有片子里最喜欢的一部，我爱令狐冲！            
(4星)	 我爱仪琳，体会孤独。            
(5星)	 我想象中的任盈盈就是这样，一模一样。这个版有最好的绿竹巷。            
(4星)	 窃以为这是笑傲江湖连续剧里面最好看得            
(4星)	 冲哥。。            
(4星)	 令狐冲 是金庸笔下的男人里 我最爱的一个。            
(5星)	 重新re了一遍发现更好看，当年的陈少霞和何美钿真是清新脱俗的美丽。吕颂贤把令狐冲演活了，眼神和眉宇间的少年才气百看不厌。            
(5星)	 当年十分之喜欢！            
(5星)	 最喜欢的 冲冲  ^_^            
(5星)	 又重温了一遍，吕颂贤的令狐冲才是最潇洒最经典的， 配乐也是最经典的，琴箫合奏堪称一绝的配乐。。。.            
(5星)	 令狐冲是我最爱的男人            
(4星)	 不喜欢里面的任盈盈，好丑啊。小师妹和仪琳真漂亮            
(2星)	 好烂，看那人选的就不对啊！            
(5星)	 选的好角色，感觉比其他版好太多。            
(3星)	 不喜欢令狐冲            
(5星)	 真的很喜欢这个~~            
(4星)	 哈哈哈哈哈哈哈~~~~何美钿好像我初中同学~我觉得老好看了~            
(5星)	 应该不会找机会重看了，把它留在回忆里，最美丽的任盈盈            
(2星)	 小品+小品+小品+小品+小品+小品+小品+小品+……=《笑骂江湖》            
(4星)	 这个版本最喜欢            
(5星)	 评分全给吕颂贤            
(4星)	 其實一直就搞不懂笑傲江湖的整個故事情節            
(4星)	 一部很普通很普通的TVB古裝劇，而呂頌賢演出了令狐沖的神韻，塑造出讓人印象深刻「是你了是你了」的經典形象，徹徹底底亮了。            
(5星)	 哈哈还是这个最经典~            
(3星)	 任盈盈实在是太难看。            
(3星)	 开始添加TVB...            
(3星)	 令狐冲和任盈盈那首合奏啊啊啊。            
(4星)	 好配樂，雖然東拼西湊            
(3星)	 盈盈真难看啊…            
(4星)	 那時候，很喜歡這一對            
(4星)	 她演冯衡是最好的。            
(5星)	 这个版本的笑傲江湖最好看了，里面的令狐冲和像佳迪            
(4星)	 喜欢吕的令狐冲            
(4星)	 小学时候的记忆            
(5星)	 哈这部小时候觉得好看到天上去了            
(4星)	 很喜欢这个版本的            
(3星)	 笑傲江湖            
(4星)	 布景太差            
(4星)	 任盈盈还是离理想的有距离。。。            
(4星)	 小时候嫌任盈盈难看，不愿意看这剧；今次发现吕颂贤演的真的很好，梁佩玲还是有的……            
(3星)	 这么丑我也看得P颠儿P颠儿地了。。。。            
(NA)	 我看了四遍……            
(4星)	 令狐冲！！！！！！            
(3星)	 演技略好 长相太恐怖            
(5星)	 非常好看            
(5星)	 何宝生，即便你出家了，也是我爱的小林子。            
(4星)	 我觉得这部还是蛮好的，那个坏蛋头子叫啥，演得最好。            
(4星)	 这个版的还不错了，可惜任大小姐太老了！            
(3星)	 他们说这版“令狐冲”长得像我。            
(NA)	 最喜歡的版本            
(4星)	 吕颂贤版的令狐冲还比较可以接受            
(5星)	 最喜欢的一版&lt;笑傲江湖&gt;, 最喜欢的令狐冲! 做男人就要有血性!            
(5星)	 最爱的冲哥            
(5星)	 最喜欢的版本~            
(3星)	 对那支广陵散印象颇深……            
(3星)	 嗯……令狐冲还凑合，任盈盈也太难看了……TV            
(5星)	 真好看！了却儿时心愿~笑傲江湖            
(5星)	 都觉得这版的任盈盈难看。我怎么觉得别有一番味道            
(5星)	 最爱这个版本的            
(NA)	 这是我最爱的版本，吕颂贤也是我最爱的令狐冲扮演者。            
(5星)	 当年觉得吕颂贤和梁佩玲真是配到一个爆炸.两人一起弹起笑傲江湖,当时就觉得神仙眷侣大概就是这样了吧..            
(4星)	 除了说好，没别的话了。令狐冲就是吕颂贤这个样子的，梁佩玲的任盈盈也很有说服力，还有陈少霞的岳灵珊，很喜欢。            
(5星)	 里面梁佩玲真美, 吕颂贤也很帅.            
(5星)	 以后金庸还是看书吧 = =             
(4星)	 喜欢这版~~~~~~~            
(5星)	 近日又回味了一遍96港版的《笑傲江湖》，是否经典见仁见智，不过演员我都还蛮喜欢的。发现这是金庸小说拍成电视剧里最耐看的一部。令狐冲尊师重道却又放浪不羁，重情重义却又笑谈人生，算是一个极潇洒颇豁达的普通人；任盈盈则是我心中大家闺秀的典范，大度、温柔、聪慧、明事理而又敢爱敢恨！            
(5星)	 经典就是经典，对得起我历时半个月的重温。吕颂贤的令狐冲比李亚鹏强太多，女主角们各有各的美，三个女星我都特别爱。岳不群也特别出彩。虽然布景有些粗糙，但演技到位拍得就是好看。这是最好的一版《笑傲江湖》。            
(5星)	 盈盈和冲哥超配！            
(4星)	 小时候看这个超喜欢令狐冲的            
(5星)	 最棒的一版，武侠小说里的男主角最最喜欢放荡不羁潇洒自得的令狐冲            
(4星)	 主题曲好听极了。90年代的金庸系列里，仅次于神话情话。            
(3星)	 这一版的令狐冲和任盈盈我都不喜欢            
(4星)	 自己看的第一版的笑傲江湖。值得一提的是饰演林平之的何宝生，多是悲情角色的他自带忧郁气质，最后居然出家了，实在让人唏嘘不已。            
(4星)	 当年挺喜欢看的...话说吕颂贤长得挺帅的...            
(3星)	 不喜欢，长得不好看            
(4星)	 比央视版好            
(4星)	 其实···女一可以换一个··            
(4星)	 喜欢里面那段箫曲~~原来还用竖笛试着演绎过，哈哈~~            
(5星)	 最爱这个版本的令狐冲            
(NA)	 最正的令狐冲            
(3星)	 当时还不觉得好，只是看到许晴版时，顿时醒悟：梁佩玲真漂亮！            
(5星)	 “血雨腥风终成往事，笑傲江湖，云淡风轻。 ”            
(NA)	 其实，我爱笑傲这个版本~吕颂贤虽然过于书生气，却是咱心中的那杯茶呀&gt;&lt;~            
(5星)	 港剧的黄金时期~            
(5星)	 吕颂贤各种潇洒！咱自制的金庸群侠杀各种牛B！            
(NA)	 盈盈太醜了！            
(4星)	 我脑中的令狐冲            
(5星)	 除了任盈盈其他都好            
(5星)	 我最近是不是太萨比西勒。。。。不过这个还是这么不错看！            
(5星)	 最正的令狐冲            
(NA)	 还是这个版本的好看~            
(4星)	 主题曲真好听。            
(4星)	 他是令狐冲。            
(5星)	 超爱这版令狐冲啊啊啊啊啊             
(5星)	 吕颂贤就是我的令狐冲~~~            
(4星)	 俺最喜欢吕颂贤版本的令狐冲哎！(づ￣ 3￣)づ            
(3星)	 该版本的笑傲江湖曲很不错，不太喜欢改版的令狐冲，盈盈还不错，就是不够美，最喜欢的还是仪琳。。。            
(4星)	 人物的行为偶尔过于延宕。岳灵珊，喜欢极了。            
(NA)	 最丑的男女猪脚吧            
(5星)	 吕颂贤的令狐冲最好            
(5星)	 心中的神作            
(4星)	 看过最好的一部            
(4星)	 经典            
(4星)	 布景好简陋。印象不深。但是令狐冲很喜欢            
(5星)	 可能是该剧许多版本中最好看也最符合原著的小师妹了            
(2星)	 也是很小的时候看的 剧情忘记了 但觉得这两人死不漂亮            
(3星)	 那个愁死人得任盈盈啊！！！还是许晴好看！            
(3星)	 毕竟港版的，不比央视的。            
(5星)	 这一版是真的不错，酣畅淋漓。            
(4星)	 这个版本是最好的~当时看多爽啊~            
(5星)	 人家岳不群都是后来才被发现狐狸尾巴的。这不隔壁也住了一个，想想也半年多了~            
(4星)	 一如既往的布景化妆粗陋但表现力很强。            
(3星)	 就是不喜欢吕颂贤~~难看死了            
(5星)	 剧本差 内心表现过浅 演员声效摄影都好            
(4星)	 最好的令狐冲，没有之一。            
(NA)	 冲哥～～～            
(5星)	 雖然……但是 令狐沖還是真的很不錯的版本呢！            
(5星)	 从林平之报完仇后就开始扯了，之前非常尊重原著，之后将令狐冲、任盈盈和岳灵珊之间的感情纠葛多做了点文章，这也罢了，最后愣是活生生的把任我行塑造成了个自作孽不可活的人，让他死前觉得被向问天和盈盈背叛！原著中平一指在五霸岗就死了，盈盈也没中三尸脑神丹的毒。哎，神教和恒山一战被写无味了。            
(5星)	 最好的一版            
(4星)	 高中时候看的 还是挺喜欢的            
(5星)	 那就是心目中的令狐冲啊            
(4星)	 情结：这一版的任盈盈。            
(5星)	 笑傲江湖的最好版本啊~            
(5星)	 就是喜欢令狐冲！！！！！！            
(4星)	 好看            
(5星)	 比张*中拍的好一万倍。不。是一百万倍。            
(4星)	 除了女主角……            
(5星)	 我最爱的笑傲江湖版本            
(4星)	 喜欢这个版本的笑傲江湖            
(4星)	 比较喜欢吕版的令狐……            
(5星)	 最喜欢这个版本的令狐冲            
(5星)	 我的小贤贤呀，当年看梁佩玲的扮相很老，现在看却觉得很漂亮，于是我老了。            
(5星)	 !!!            
(3星)	 记得当时剧中的《笑傲江湖》的插曲很好听。            
(5星)	 小时候相当喜欢~尤其是张纪中李亚鹏的那个出来之后……            
(4星)	 贼喜欢的一个版本            
(4星)	 算来算去金庸男主角我大概最喜欢的还是令狐冲，虽然曾是痴心的傻子却也没有薄爱盈盈。个人认为这版演员也都蛮好的..            
(5星)	 《笑》也就這部能拿的出手了，雖説男，女主真的很不入眼。。。寳生啊~~~            
(4星)	 音乐大量套用电影《东邪西毒》            
(3星)	 和爸爸一起不午睡的中午            
(3星)	 任盈盈很丑 不过吕颂贤蛮有味道的            
(4星)	 笑傲江湖的最好版本啊~            
(5星)	 我很喜欢这个版本的令狐冲呢            
(3星)	 一般            
(5星)	 36355 53235653 36355 53235653 3212322 2166123565 3212322 21661223 6 6            
(5星)	 吕颂贤真的很令狐冲            
(4星)	 吕颂贤演的很好，虽然任盈盈丑了点，无伤大雅。            
(NA)	 小时侯大家都喜欢看，如果大放到现在我或许不会再看。            
(5星)	 喜欢这个版本            
(5星)	 经典版。吕颂贤把女同学都迷倒赖~东方不败把女同学都赫到赖~            
(3星)	 高中时看的 但看不全。吕颂贤是很强壮滴            
(4星)	 没细看，但爱看，而且在宿舍诨名也被叫做盈盈的……            
(NA)	 最爱令胡冲            
(5星)	 掌门T_____________T            
(5星)	 最经典的令狐冲。笑傲江湖，仰于天地。            
(4星)	 吕颂贤演得太贴切了            
(5星)	 吕颂贤现在去哪了啊，晕            
(4星)	 一直不怎么待见TVB90年代以后所谓的重拍金庸，但是这次吕颂贤同学让人刮目相看，即使外形差强人意，内里本质到真颇似令狐冲            
(4星)	 吕颂贤醒目            
(4星)	 当真是..看到张截图都会哭。            
(NA)	 吕版的令狐冲塑造还算成功            
(3星)	 这个令狐冲感觉最像原著。            
(NA)	 这个版本不错，就是演员质量很缩水            
(4星)	 令狐兄，我真是越看越喜欢你            
(3星)	None
(4星)	 令狐冲            
(5星)	 最佳男主角            
(4星)	 無慾方可以活得瀟灑。            
(3星)	 我以为我会喜欢，但结果我不喜欢……            
(5星)	 香港剧的未来还是要重新拍武侠剧啊            
(NA)	 【1996】            
(5星)	 这是我看的第一版《笑傲江湖》，其他版本的全部无视。在我心中的地位就像古天乐版的《神雕》一样。最高！            
(5星)	 浪子脱不开一个情，爱里才成全笑傲江湖之绝唱。正邪何需分，重情自同心。风雨后一起笑看风清云淡，此为爱之极致。冲盈恋实在而又接近理想。            
(3星)	 这是我看的最早版本的~可此剧中盈盈真是不够灵啊~            
(5星)	 虽然到初中就看完了金庸，那时候就觉得所有男主里面最喜欢令狐冲，但是现在才仿佛懂得了他所坚持的东西。所谓的自由真的是罕见而艰难的。            
(5星)	 我心中不朽的经典&gt; &lt;。吕演得令狐冲太讨喜了，后来看原著的时候觉得令狐冲挺贱的=3=，天天惦记着神马初恋，对盈盈始终是感激多过了爱。            
(4星)	 把盈盈换了就完美了。            
(4星)	 这是我看的那版。            
(4星)	 主角不够美型   不过至少比国产金庸剧好            
(4星)	 男猪脚 好丑~            
(4星)	 小时候其实没看懂。我喜欢小林子始终不被人理解。大师哥很好，足够好，可是，……难道我本质是小师妹……            
(4星)	 唯一不满之处就是，里面的女主角除了仪琳都没令狐冲长得好看有木有！            
(4星)	 怀念，我觉得这个版本挺好的~~            
