http://movie.douban.com/subject/2294268/	新龙门客栈
(5星)	 说实话 陈红好漂亮。。。。            
(4星)	 主题曲爆好听啊……            
(5星)	 超级迷恋关礼杰啊，小学时候            
(NA)	 陈红太适合这类意境了，真正的神仙姐姐            
(4星)	 片头曲片尾曲都太好听了。胡雅斯小朋友太太太萌了。我家闺女要有这么可爱就好了。。。            
(5星)	 马教主那个时候还年轻w陈红各种美            
(NA)	 当时我很讨厌金香玉就对了。觉得马景涛见异思迁，陈红演得那个好可怜，被抛弃了。不过郭晋安还是很帅的。            
(NA)	 好怀念当初看这部剧时候的年纪            
(5星)	 無敵編劇。            
(NA)	 小时候喜欢关礼杰饰的常言笑            
(NA)	 那时喜欢陈红扮演的邱莫言            
(5星)	 这电视剧我心中比电影版还好看，比龙门飞甲更强一百倍            
(5星)	 非常非常怀念，小时候跟外婆坐在一起天天晚上看。现在人都不在了……            
(5星)	 冬日晚阳。陌上飞花。——我要好好地把她记在我的脑海里。            
(NA)	 我相当喜欢的一部电视剧。觉得水准好高。没有当前所谓的电脑特技，但是就是觉得好看。时至现在林忆莲的野风还能带给我客栈外荒野的感觉。            
(4星)	 我又想大声叫关礼杰好帅啊好帅 不知道会不会有人打我 哈哈 曾经的偶像啊            
(4星)	 小时候超爱看，超迷常言笑            
(3星)	 ……            
(NA)	 好喜欢 金镶玉。            
(4星)	 夏文汐气场很强大，关礼杰帅的            
(4星)	 想当年电视儿童就是这样炼成的            
(2星)	 太拖了            
(NA)	 原来看过夏文汐！ 现在想看她演的唐朝豪放女。            
(3星)	 俺都不记得陈红在里面出现过%￥#            
(4星)	 前面神作，出了客栈，尤其关礼杰，立即乏味，唉            
(3星)	 跟电影没法比，烂，8过偶爱关礼杰            
(3星)	 夏文汐太美！！！！！！！！！！            
(5星)	 为啥我小时候看的都是这么有深度的东西而且当时很惘然！小时候真的看不懂！！！            
(5星)	 曾经认为它是武侠连续剧的终结作品，如今仍然这么认为。武侠，武侠……            
(4星)	 关礼杰好帅            
(4星)	 当年很不错的台湾武侠剧了            
