http://movie.douban.com/subject/2295771/	水浒后传
(4星)	 小学时代。若男真好看。            
(5星)	 我当时是有多爱吴京啊            
(2星)	 这个真是很没有意思            
(3星)	 蛮好的，小时候还挺喜欢，但是内容已经模糊了，记得主题曲还挺好听            
(3星)	 现在的印象是，那首主题曲和杨旻娜......吴京演的是个特苦情的小子。            
(2星)	 女主角长的还可以            
(3星)	 息红泪。            
(4星)	 小时候看觉得还挺好看的            
(NA)	 对动力火车的主题曲印象深            
(3星)	 还行，            
(4星)	 只记得女猪好漂亮            
(2星)	 杨旻娜的白色眼线很抢眼来着            
(3星)	 当时真的以为水浒英雄可以生这么子子孙孙的。。            
(4星)	 看过很久的一部电视剧，从这部剧里知道了杨旻娜。            
(2星)	 无奇不有。。。            
(4星)	 背叛情歌 背叛那个情歌啊            
(4星)	 倒不十分经典，却着实记了很多年。            
(5星)	 怎么可以忘记这个！！这个也是必须五星的啊！！女扮男装的若男各种秒杀我！还有结尾的背叛情歌！！            
(3星)	 依稀有点印象。故事还不错，女主都挺有气质的。            
(NA)	 杨明娜            
(3星)	 。。。。。。我都不想重複了 沒有京包子就是1星！【。            
(NA)	 片尾曲很好听，动力火车唱的            
(NA)	 老爸最近在看 歌很好听 吴京很悲催~            
(NA)	 主题曲我都会唱~            
(3星)	 惜红泪，女一先爱的男二，女二的死，我的印象怎么这么深刻啊            
(3星)	 片尾曲好听            
(4星)	 当年可喜欢杨敏娜了。。。            
(4星)	 初中记忆。那时候吴京还很帅。。            
(4星)	 记得女主很好看。            
(3星)	 忽忽，都忘了这部电视剧了～            
(4星)	 息红泪我爱你！你姐肯定叫西红柿～            
(4星)	 比看《水浒》中的“游民”有趣得多~~~            
(2星)	 农民阶级不代表先进的生产力，但是具有先进生产力的英雄却在“君要臣死，臣不得不死”。精忠报国有个鸟用，还不如学学李逵“噢，你这厮就是祝彪啊”，提斧跺下人头。痛快!   推论：狗屎世界的救世主严格不等于（!==）它的统治者。            
(3星)	 又一部很久以前的片子。记得杨旻娜很漂亮，不过后来很少看到她演其它角色~~~还有她姨妈息红泪的红袖书院，好经典的妓院名            
(4星)	 小时候喜欢的一部。今天听动力火车的背叛情歌，才想起来这部            
(NA)	 剧情扯谈，吴京挺好看的            
(4星)	 歌儿不错，演员不错，我喜欢的。            
(3星)	 还想看看，差不多都忘了            
(2星)	 补漏            
(3星)	 曾经还是挺爱看的一部剧，就是觉得那女的可真没劲            
(4星)	 那个女生有在爱诶~~是不是名字里有和我一样的字的那个?            
(NA)	 久到已经不知道            
(4星)	 突然想起来 曾经            
(2星)	 啊就记得片尾曲是动力火车的吧            
(3星)	 片尾曲不错            
(4星)	 吴京傻傻的好可爱啊~            
(NA)	 这个真心还能再扯一点么。。            
(3星)	 我看过，绝对看过。很喜欢年轻时候的吴京。歌也好听。剧情什么的的确忘记了。            
(NA)	 那时候看了不少吴京的电视剧啊。片尾曲《背叛情歌》印象很深            
(NA)	 当年爱到不行啊。。吴京，太帅了。。。            
(2星)	 息红泪这个名字记得好清~            
(5星)	 童年的回忆，男主三观端正积极向上又可爱，女主傲娇别扭颜不错~~深得我心~~            
(4星)	None
(3星)	 时迁（吴京）不只是个小偷啊            
(2星)	None
(4星)	 个人感觉很优秀的电视剧啊，剧情和人物刻画都很考究            
(5星)	 西门金哥……            
(NA)	 喜欢。。。            
(4星)	 多喜欢吴京的冷酷            
(3星)	 动力火车那主题曲印象很深，但鲁智深杨志还活着也就算了，他妈的武松居然还有闺女...阿弥陀佛            
(3星)	 好久远，就记得若男了            
(3星)	 当时就是为了吴京去的····            
(2星)	 这么2的电视剧我竟然看过            
(4星)	 ED            
(5星)	 记忆不都是永远最美好的么            
(4星)	 10多年后重温此片，发现剧情偏幼稚。但是吴京的笑脸，依然那么温暖。多希望以后他可不可以不要再演杀手，回复他本来的亮点。            
(NA)	 好汉们真的有后人吗 太不潇洒看            
(2星)	 以前对着电视学唱《背叛情歌》来着，话说那段片尾还是蛮有感觉的            
(4星)	 哎？脚的挺好            
(5星)	 记得是小时候看的电视剧了 很喜欢吴京 一直纳闷的是吴京怎么现在还不红             
(5星)	 小时候看过，就记得吴京是个妓院里的小木匠，主题曲是背叛情歌和藏龙卧虎。连这故事跟水浒有关我都忘了。            
(4星)	 哈哈,小时候很喜欢看,今天突然想起,再看熟悉的画面,原来仍记得很多的情节,本不想打分的,因为它屬于过去,屬于记忆,不过看了Nebula的文章,觉得还是很惊喜,年幼时本能的喜欢,长大后理性的維护一份侠道,很快乐!            
(3星)	 挺好看的呢~~            
(3星)	 当是那个喜欢吴京啊            
(4星)	 听到《背叛情歌》想起这片            
(4星)	 难忘息红泪。            
(4星)	 小时候看的，回忆起来，还觉得很不错。            
(5星)	 其实这部片子我就看了前面那部分就是，男装被识破后。我就没再看了。。当时息红泪这个名字实在是印象很深刻啊。。            
(4星)	 小学时看过，好看            
(5星)	 喜欢杨旻娜            
(3星)	 印象最深的西门庆的儿子~还有宋江的儿子~差距啊~            
(3星)	 看的时候超喜欢吴京            
(3星)	 。            
(3星)	 早年的武侠片            
(5星)	 我这五星是送给屠洪刚的            
(3星)	 我小时候总看神奇的片子诶            
(NA)	 就是看了这部剧才学会了动力火车的《背叛情歌》            
(5星)	 喜欢吴京啊            
(3星)	 我竟然看过····小时候看电视真是不挑食            
(3星)	 什么都敢拍后传            
(3星)	 那天杀的主题曲我居然到现在都还会唱！！！            
(NA)	 当年认识吴京            
(3星)	 那个片尾曲我记忆很深刻            
(4星)	 当年很喜欢吴京~            
(3星)	 播这部剧的时候正好小学毕业            
(4星)	 小时候很喜欢看            
(5星)	 经典呀，            
(3星)	 吴京好帅  是叫西门今哥吧             
(4星)	 童年回忆            
(3星)	 小金哥            
(3星)	 想当初，把我迷得            
(NA)	 小时候的记忆……尤其是那首背叛情歌            
(2星)	 好吧，这个我也看过            
(3星)	 咦，我连这个居然也看过，真服了自己啦，哈哈~            
(4星)	 好像也是很喜欢那首片尾曲。。。            
(5星)	 我的初中啊            
(4星)	 应该是因为吴京和水浒才看这部作品的吧杨志很有意思西门金哥父亲太悲剧，这书谁写的呀= =            
(3星)	 片头曲的画面和歌词都相当振奋人心啊            
(3星)	 龙盘虎踞有钟有鼓龙腾虎跃有文有武~            
(3星)	 当时很是迷了一阵西门金哥，和那个片尾曲《背叛情歌》            
(5星)	 不管怎么说，还是好看的            
(NA)	 这个也喜欢看，当时~            
(4星)	 这剧里的吴京也像李寻欢一样，刻着木头人相思心上人。            
(4星)	 是这部电视让我喜欢上了动力火车的背叛情歌，觉得超级好听，女主很漂亮            
(2星)	 乱糟糟的            
(3星)	 傻。            
(5星)	 结局是不是挺惨烈啊？只记得那个女主角杨旻娜还演过《康熙微服私访记》大概是三里的撒蓉儿~\(≧▽≦)/~啦啦啦，长得还挺好看嗲！噙架儿吖~            
(4星)	 当时觉得杨x娜很惊艳            
(3星)	 名妓息红泪.            
(3星)	 杨昱娜好看            
