http://movie.douban.com/subject/2295809/	醉打金枝
(4星)	 我喜欢看小白和花花            
(5星)	 可爱的元瑷啊            
(4星)	 魏骏杰跟陈友谅一样，深得朕心！不过传说魏是双子座，做孽啊！            
(3星)	 皇帝之女不愁嫁            
(4星)	 这部剧当年看了一遍又一遍，笑料多，剧情也够精彩。欧阳震华和关咏荷是当时最爱的荧屏官配！ 胖子面前，其他TVB帅哥都是渣（¯﹃¯）            
(4星)	 十二三岁时看的片子 到现在还记得  港剧真的很中国很古典很有味            
(4星)	 这部剧是一只公麻雀变凤凰的故事            
(4星)	 小时候喜欢关咏荷，欧阳震华这一对～            
(NA)	 记得那时年纪小。太小了。            
(3星)	 。。。。。荷姐。。。            
(NA)	 枝山啊            
(3星)	 我还记得那电视剧的主题歌……            
(5星)	 小时候记得很清楚，每次看到公主为郭家请命去找免死金牌那一段，就激动得内流满面。⊙﹏⊙b TVB早些年的电视剧还是很有质量的。            
(4星)	 还不错，消磨时光的片子~            
(5星)	 童年的记忆            
(5星)	 他俩联手，绝配~            
(3星)	 小李白            
(4星)	 烂尾            
(2星)	 不喜欢关咏荷薄命相            
(3星)	 好早了            
(3星)	 TVB            
(3星)	 一般啦。。。            
(3星)	 忘了剧情了，就是喜欢俩演员            
(4星)	 喜欢这部里面的关咏荷和欧阳震华。喜欢算命那个            
(5星)	 经典啊。            
(4星)	 当时觉得这个系列好好看= =            
(NA)	 烂尾剧，可惜.....            
(2星)	 朱咪咪好像是在这里面认识的            
(3星)	 开始添加TVB...            
(4星)	 她拍完醉打金枝10年后她老公也拍。。。            
(4星)	 轻喜剧,            
(4星)	 欧阳震华和关咏荷就是搭            
(4星)	 Boby+关咏荷的首次火花            
(4星)	 经典            
(NA)	 黄帝女吾忧嫁～            
(NA)	 这样粗粗一列，果真曾经花了相当多的时间，在看电视上...虽然住校以后也大多有一集没一集的。            
(5星)	 关咏荷那时很火啊，和欧阳震华有屏幕夫妻之称            
(3星)	 一贯水准            
(4星)	 重温了一下 关咏荷啊关咏荷            
(3星)	 老剧了，呵呵~~~            
(NA)	 张家辉最后娶了公主            
(5星)	 那会超喜欢欧阳震华阿，圆脸一笑多可爱呀。            
(NA)	 位位想变驸马            
(4星)	 花雕很可爱。            
(3星)	 小学时候最爱看的。            
(4星)	 魏俊杰的小白才是最可爱的~            
(4星)	 当时跟妈妈每天守着电视等着。            
(3星)	 还不错啦            
(NA)	 回不去的小时候...曾经陪伴我的TVB...            
(5星)	 童年的记忆            
(5星)	 关咏荷和欧阳震华很搭~~~            
(4星)	 这剧笑死我了            
(3星)	 老搭档了~~            
(5星)	 喜欢这两个演员...            
(3星)	 年少回忆。            
(4星)	 喜欢关泳荷和欧阳的情侣搭档，那个时候的TVB都很好看             
(NA)	 我小时侯啊。。。            
(4星)	 哎，很好看。            
(5星)	 热闹，好看。            
(3星)	 看了一部分，但是觉得不是那么好看。那时候很喜欢魏俊杰。            
(3星)	 他俩是老搭档了。            
(3星)	 你说她到底哪点好看呢~~我就喜欢            
(3星)	 中国香港            
(5星)	 黄金组合 很好看~            
(3星)	 他们真是银幕情侣典范            
(4星)	 荷姐跟震华的经典搭配啊~            
(NA)	 我和妈妈因为喜欢关咏荷看的这个片子~            
(3星)	 看看，笑笑，然后就忘了            
(NA)	 荷姐的一个时代            
(3星)	 还可以。            
(3星)	 电视剧             
(4星)	 蛮搞笑的肥皂剧            
(5星)	 小时候很喜欢看哦  重播两次 看足两次            
(NA)	 经典组合了哦            
(4星)	 好看的电视剧，不错            
(2星)	 看来TVB深入人心。。            
(4星)	 不知道看了多少遍。            
(5星)	 我真是一集不落，看了不止三遍吧。只能说，小孩真容易受骗。            
(NA)	 一般            
(5星)	 那年春节跟我奶奶一起跟过这部片子，(*^__^*) 嘻嘻……            
(5星)	 很适合过年时观看，^_^            
(NA)	 关咏荷和欧阳震华演过好多电视剧,我都很喜欢!!            
(NA)	 喜欢            
(4星)	 满好笑的            
(NA)	 很早以前的片子.但时候总厌烦为什么总是这些人组合.现在想想真的是经典.想那些离开TVB的人再回来拍一部.            
(4星)	 当年很爱……            
(2星)	 醉打金枝            
(3星)	 过年时候看的，蛮有气氛的~            
(4星)	 哈哈，欧阳震华和关咏荷很配很配！李白也很喜欢～            
(4星)	 看着这几个名字心里就开心            
(NA)	 【2002】            
(4星)	 那年我五岁==            
(4星)	 小时候看的啊！            
(3星)	 没看完            
(4星)	 郭暧，花雕，小白，长乐坊，印象好深刻！            
(3星)	 很多年前，在姥姥家看的~~~            
(NA)	 四大才子。。。            
(4星)	 小时候是有多爱看港片。。            
(5星)	 好吧我当时还是……很喜欢的……            
(4星)	 儿时一乐            
(4星)	 长乐坊让人觉得很温暖~            
(4星)	 很小的时候还看过蛮多遍的。。。            
(3星)	 现实生活中欧阳震华和关咏荷不在一起我不想相信爱情了！！！！！            
(4星)	 查漏补缺            
(4星)	 喜欢啊            
(4星)	 记得“小白。。。”            
(3星)	 李白的部分 我很无语...            
(3星)	 又是烂尾的，最后一集看了两遍也没懂            
(3星)	 欧阳胖胖和荷姐的最佳组合。            
(3星)	 不错啊 荷姐和bobby配对很好看~            
(4星)	 再见，我的小时候~~~            
(4星)	 经典搭档。            
(4星)	 长乐坊五虎            
(5星)	 暑假的回忆，TVB的开始            
(4星)	 这个太经典了~            
(NA)	 天天播……            
(5星)	 当年很喜欢看两只斗嘴。。。哈哈哈 还有酿酒            
(4星)	 当时年轻            
(3星)	 好像看过            
(4星)	 啊哈。            
(4星)	 总是跟四大才子搞混            
(2星)	 我真的觉得很无聊的一部剧，不明白为什么不少人奉为经典，果真是咸鱼白菜各有所爱……            
(3星)	 消遣看看。。            
(3星)	 关咏荷和欧阳胖子一段时间内可说是完美荧幕搭档吧？！对了，魏骏杰在里面是演李白小名小白是吧？            
(4星)	 恭喜？            
(NA)	 关咏荷和欧阳还要好配~            
(4星)	 非常happy的剧，花花和李白~            
(5星)	 大公主很识大体的好伐 剧情神马的都是乱来的！            
(4星)	 存着重温            
(4星)	 啊哈哈。幼年的最爱！！！我还记得主人公叫郭嗳诶。。。            
(4星)	 关咏荷            
(3星)	 小生与花旦 一哥与一姐            
(4星)	 前半段很不错~当时的感觉。。            
(3星)	 小学看的，很老很老了            
(5星)	 这对活宝给我年幼时带去多少欢乐啊            
(4星)	 欧阳震华、关咏荷。。咋说捏放在一起咋那么合适啊            
(3星)	 这类片子 我怎么又看了这么多 = =             
(4星)	 好看            
(4星)	 童年的记忆            
(NA)	 第一次知道郭子仪            
(4星)	 有趣！男女主角都很有魅力            
(4星)	 搞笑 = =            
(4星)	 开始做豆列我才发现我看欧阳震华的片子还是很多的&gt;&lt;关咏荷和欧阳震华最精彩的合作应该还是陀枪师姐            
(4星)	 那时候可谓经典            
(4星)	 小时候看过的             
(4星)	 一直最喜欢欧阳震华~            
(NA)	 贺岁的吧好像是，关咏荷那个时候是电视剧好看的信心保证            
(5星)	 咏荷阿姨......            
(NA)	 有关咏荷的电视剧都不会差            
(4星)	 后来新版的新郎是旧版新娘的老公~唏嘘            
(5星)	 关咏荷和欧阳是一对活宝哇~            
(4星)	 很喜欢欧阳震华和关咏荷～            
(4星)	 当时多喜欢魏俊杰啊            
(NA)	 我们当年真的是冲着魏骏杰去的            
(5星)	 不久前重温的一部好剧            
(4星)	 我觉得这也是里程碑式的戏了,好看            
(4星)	 小白和花雕。。。            
(3星)	 小学记忆            
(3星)	 搞笑的            
(4星)	 这看了N遍吧            
(1星)	 我看的肥皂剧还真多！！！            
(4星)	 人人都看过的TVB            
(NA)	 傻不拉幾的歐陽震華，傻不拉幾的青春            
(5星)	 皇帝女唔忧嫁~            
(3星)	 09年有重放了，今年还看了新版的，有蔡琳加盟            
(4星)	 饭点电视剧            
(3星)	 除了倒数第二集，其他都不咋样。            
(4星)	 当时看得很高兴            
(5星)	 恭喜~~~呵呵            
(4星)	 醉打那块儿我还看了呢··那年头的我不知道为什么一直在家看电视剧··            
(4星)	 一般一般，就是看过没啥特别感慨的那种            
(5星)	 洋气！            
(3星)	 他们银幕很配啊~            
(4星)	 胖胖和咏荷姐            
(3星)	 欧阳震华和关咏荷我都很喜欢。            
(4星)	 不错...            
(3星)	 当时觉得傅明宪长得很可爱~            
(3星)	 当年睇觉得很搞笑            
(5星)	 经典啊！！            
(4星)	 還好啦！            
(3星)	 挺好看的            
(5星)	 根本不是2002年的吧。。。荷姐胖胖，我最爱的情侣档~~惋惜可爱的小白和花雕在现实生活中都残成了那个样子。。            
(3星)	 假期印象真美好吖            
(4星)	 演员都喜欢            
(4星)	 我只记得打马吊来着了|||            
(4星)	 TVB特别喜欢简约额皇帝们。            
(2星)	 好笑的            
(4星)	 很喜欢这个搭配            
(3星)	 看了这么欧阳震华的片那~             
(3星)	 老搭档组合...            
(3星)	 欧阳震华真是喜感            
(4星)	 哎呀多好看多热闹呀            
(3星)	 nice 安德尊令人印象深刻            
(3星)	 欧阳震华和关咏荷的时代            
(4星)	 经典啊            
(NA)	 消磨时间的东西。            
(4星)	 还不错            
(4星)	 長樂坊五虎            
(5星)	 没有这部剧再熟了。            
(4星)	 蛮好的            
(4星)	 很可乐            
(3星)	 喜欢关咏荷。            
(3星)	 这种风格很真，起码我能进入角色。            
(5星)	 小时候特别爱            
(4星)	 很搞笑            
(4星)	 欧阳大叔以前的戏            
(3星)	 郭暧            
(3星)	 2002            
(3星)	 24            
(NA)	 有点扯。            
(NA)	 蛮公主升平（关咏荷 饰）冰雪聪明，热情好动。皇上一直忧心她还没有找到如意郎君，便决定把升平嫁给回纥皇子（安德尊 饰）。升平相当不甘，带着丫环逃婚。以平民的身份来到了长乐坊，与不拘小节的郭暧（欧阳震华 饰）不打不相识。刚开始郭暧等人对升平的“公主脾气”十分厌恶，但后来众人一起经历了很多波折。尤其郭暧与升平二人，患难中见真情。他们回到皇宫后正式成亲，可是宫中的繁文缛节、钩心斗角令郭暧倍感压力，升平也不知如何处理婆媳关系，致使二人误会连连。夫妻俩的不和竟被奸人利用，郭家被抄，发放边疆，升平也要再次面对远嫁异邦的            
(NA)	 醉打金枝            
(2星)	 有点小老套            
(3星)	 很早以前看过的~~~之后就很喜欢欧阳鸟~~            
(5星)	 好久之前的了，但是简直太经典了！            
(5星)	 他们几个在一起就是经典剧!!喜欢阿!!            
