http://movie.douban.com/subject/2295811/	机灵小不懂
(5星)	 这么多年了，再看一遍，仍然会感动。            
(3星)	 当时还在上小学五年级，每天中午提前一个小时来到学校，因为教室后面有一家人中午会看电视，于是连同他们的儿子看上一中午，人越来越多，还要提防班主任提前来学校，真是惊心动魄又刺激            
(4星)	 神神气气，神神气气，不懂老师，辩驳最流利！真怀念看这部剧的夏天，宁王，聂远，。。。哈哈            
(4星)	 我以前很喜欢的。            
(3星)	 哦 宁王~~            
(4星)	 很搞笑啊~喜欢那时候的李冰冰            
(4星)	 当年还算喜欢。            
(5星)	 那個時候的最愛            
(5星)	 现在都找不到清晰版 哎~            
(3星)	 傻逼……            
(4星)	 好片啊，台词写的很好。            
(2星)	 好烦张卫健            
(2星)	 装B            
(NA)	 啊，藤原君也看这个？            
(3星)	 又是张卫健李冰冰。中国版一休            
(5星)	 还想再看一遍            
(5星)	 高三时候在安徽电视台影视频道看的，确实搞笑。            
(4星)	 张卫健很可爱。            
(2星)	 都一把老脸了还装什么可爱.......小不懂            
(2星)	 张雷神            
(1星)	 你吓着我了            
(3星)	 聂远不错            
(3星)	 又一个暑假被张卫健给毁掉了...            
(3星)	 神神气气神神气气不懂老师～            
(4星)	 记得当时年纪小 爱看电视又爱笑。            
(3星)	 当年还是很喜欢张卫健同学的……            
(3星)	 那时候李冰冰还是蛮清新滴……聂远在里面演的是正德皇帝哦~~            
(4星)	 那个时候感觉李冰冰很灵            
(4星)	 李冰冰还行吧，在里面。            
(3星)	 过。            
(NA)	 我妈也看。。。。。            
(4星)	 我也觉得很好看- -            
(3星)	 神神气气 神神气气 不懂老师            
(4星)	 在我还年少的时候我是多么喜欢张卫健啊。            
(4星)	 那时候李冰冰还木有整容，还是个挺可爱的姑娘啊~其实还算有趣            
(NA)	 我喜欢啊            
(5星)	 暑假            
(NA)	 补遗               
(5星)	 我当真很喜欢嘛            
(4星)	 很红阿            
(3星)	 小学时候看的，那时候觉得还是满好笑的            
(3星)	 李冰冰很雷            
(4星)	 张卫健 李冰冰  罗家英            
(4星)	 当年我可喜欢了^            
(3星)	 一般性            
(3星)	 初中。            
(3星)	 其实到现在再回想起来,不明白当时为什么还觉得这部电视剧不错..也就一般般吧..故事破绽太多...            
(4星)	 神神气气，神神气气，不懂老师            
(4星)	 小时候看的，看的时候很欢乐~~~~            
(4星)	 永远记得 神神气气神神气气不懂老师 辩驳最流利！            
(4星)	 小时候好喜欢的            
(NA)	 喜欢何美钿            
(NA)	 小时候真的很爱看这部电视剧啊！            
(5星)	 当时感动死了喂            
(NA)	 何美钿姑凉真可爱！            
(2星)	 我那个时候就知道你们在忽悠我·            
(NA)	 哈 当年很喜欢看的啊            
(NA)	 在深圳看的。所以是第一次在电视上看到粤语版的电视剧。            
(4星)	 我记得以前每一年暑假都会有张卫健的            
(5星)	 我和妈咪每晚都看噢每晚都看噢（。。。其实我是喜欢张卫健 噗噗噗噗噗            
(NA)	 满有趣的　我小学就看过了　现在电视台居然还在放　炒冷饭啊~            
(3星)	 依旧想当年……            
(4星)	 张卫健的电视剧永远是一开始很好看越到后面越烂。。。            
(NA)	 我怎么看过这么多电视剧!!            
(4星)	 很逗            
(4星)	 介个大学放假回家还看了            
(4星)	 =。=午饭配菜之一            
(4星)	 当年和同学热捧...            
(4星)	 还是可以看。。。            
(3星)	 张卫健小系列二…一是小鱼儿            
(4星)	 神神气气神神气气不懂老师~~~哒哒哒哒哒~~            
(2星)	 二            
(NA)	 电视台            
(3星)	 张卫健风格就不能改改么~~            
(5星)	 很想念那段时光。            
(5星)	 俺小时候很喜欢看滴            
(5星)	 喜欢演员。喜欢剧情。            
(NA)	 忘了            
(5星)	 小時候的最愛            
(1星)	 随便漂过几集，很肉麻的不懂老师            
(NA)	 张卫健现在是见一次就想打一次，没救了我……            
(5星)	 小学时候我看的满起劲的            
(4星)	 麻辣教师古装版？每年暑假的张卫健~            
(3星)	 我是神神气气神神气气不懂老师            
(NA)	 三部曲            
(4星)	 kao 為什么現在還記得臺詞- -# 分明就是抄襲日本的GTO嗎！            
(NA)	 又在重播了！！            
(3星)	 就还好            
(4星)	 很张卫健            
(4星)	 记得那时他们都还很青春呢^            
(5星)	 经典。。。小学追着看了，今次又追着看了~台词又冷又囧又励志~剧情又连贯又独立又精彩~演员又到位又怀念~没看过？！你怎么活到大的哦。。。。。。            
(2星)	 这就很一般了            
(4星)	 从这里开始的，觉得李冰冰还不错            
(4星)	 [昔日所看]            
(3星)	 很不错哒            
(3星)	 好小的时候看的,在也看不到当时的情趣了吧            
(4星)	 电视剧            
(3星)	 何美钿 ，何美钿 ，何美钿             
(3星)	 小时候看得挺开心             
(4星)	 很好笑            
(5星)	 何美钿，李冰冰，当时就喜欢上了            
(3星)	 GTO麻辣教师古装版。何美钿太美丽。            
(3星)	 光头——自作聪明            
(NA)	 。。。            
(NA)	 不好看            
(4星)	 这老师当得不错。            
(4星)	 我一直在猜测张卫健的年龄。。。            
(NA)	 笑毙了亚当年            
(3星)	 于是聂远又出现了            
(NA)	 也是大爱.现在记得最深的不是笑而是为大官的哭.为他适合种梨而不是读书而难过.            
(3星)	 我们的童年就是这么过的            
(3星)	 小时候就觉得李冰冰挺好看的。            
(2星)	 接片不慎啊,小宝.            
(3星)	 呵呵，曾经很流行的片子            
(NA)	 真得很好看。。            
(NA)	 马精武也是缺钱了吧            
(3星)	 很萌张卫健的，一直喜欢他演的那个张三丰。总之小时候很萌他的风格啊 = =            
(2星)	 学什么麻辣教师，真是画虎不成反类犬            
(5星)	 那时候看的多少遍啊！！！            
(2星)	 看的时候挺欢乐的，回头就TM给2星，我也太忘恩负义了            
(3星)	 回忆一下            
(3星)	 这部的内容真心有点不记得了。。。            
(NA)	 哇！好多年前看的了。。。            
(4星)	 神神气气神神气气不懂老师~辩驳最流利。= =现在我都还会唱！！！            
(4星)	 不懂老湿！            
(5星)	 当时好喜欢。。            
(3星)	 我一直觉得还是林志颖那种形象适合机灵小不懂这样的名头=。=  张卫健那种肥头大耳一脸正气的样子只适合去部队里当军官……            
(4星)	 神神气气神神气气不懂老师            
(5星)	 童年的……TvT            
(3星)	 十年前觉得又好笑又感动。现在想想真是低龄化啊。            
(4星)	 初中倍儿喜欢看哟~            
(4星)	 我小时候还真很爱看这个。。。。。            
(4星)	 当时很喜欢，            
(3星)	 张卫健演什么都一个样            
(4星)	 机灵小不懂真的可爱啊！！好像是我第一部喜欢的电视剧啊哈哈。一年级的时候看的。            
(3星)	 张卫健你再装也不能掩饰满脸的褶子嘛╭(╯^╰)╮            
(3星)	 张卫健拍了多少部励志剧。            
(4星)	 怀个旧            
(2星)	 = =            
(5星)	 神神气气神神气气不懂老师~            
(4星)	 这片看了七八遍,必须给力啊            
(4星)	 不要脸看了五次以上。            
(4星)	 多欢乐的初中时光啊。。每年暑假必有一部张卫健            
(NA)	 还不是游龙戏凤那个桥段？            
(4星)	 李冰冰，你好样的            
(3星)	 神神气气神神气气的不懂老师。            
(2星)	 太做作            
(5星)	 儿时回忆~~            
(3星)	 其实最多两颗半········            
(4星)	 当年多好看的一部电视剧哈~            
(NA)	 现在放还是会看！神神气气神神气气不懂老师~！            
(3星)	 合拍的电视剧貌似比电影合谐            
(3星)	 话说李莲花姐姐没整容的时候我挺待见的            
(4星)	 当年很喜欢的片子，一集不拉地追，到现在剧情都不记得了，只记得满搞笑的            
(NA)	 md我小时候怎么这么多时间啊            
(5星)	 太回忆了 我觉得咱俩抽抽了            
(5星)	 这部剧给我多少美好的回忆啊！            
(3星)	 又名：一休和尚？！            
(3星)	 我发现我其实跟着电视看了张卫健不少片子，由此可见，张童鞋那个时候还是很风光的。这片记不太清了，却记得有好多认识的演员。            
(4星)	 那时候看这部剧真美好。。不懂老师太韦小宝了。。跟18岁的天空联看。            
(3星)	 总之 张卫健的风格一直如此了            
(3星)	 当时我就想看看李冰冰。            
(NA)	 小时候看笑死了            
(3星)	 山寨地方台天天狂轰滥炸            
(4星)	 台词好象很多不错            
(3星)	 当年老喜欢了  = =            
(3星)	 那时候李冰冰真没现在好看            
(4星)	 神神气气神神气气不懂老师            
(4星)	 以前好喜欢好喜欢的            
(5星)	 我记得我哭了            
(4星)	 那时候天天守着看啊。喜欢LBB            
(3星)	 凉风有信 秋月无边...            
(4星)	 GTO的中国改编版……痕迹太重了            
(NA)	 哈哈哈哈哈~            
(4星)	 擦，老子还租碟来看…            
