http://movie.douban.com/subject/2300194/	甜蜜蜜
(3星)	 叶青的妈妈应该去看心理医生            
(NA)	 邓超同志永远那么屌。。。            
(4星)	 那天的云是否都已料到 所以脚步才轻巧 以免打扰到 我们的时光 因为注定那么少            
(4星)	 丫的千万别分手，纯情到底！            
(NA)	 借用《大话西游》中的一句话，“我猜中了开头，却猜不中结局”～～～音乐太伤了... ...            
(3星)	 雷雷这个角色写得夸张过头了。            
(4星)	 这个花岗岩脑袋老太太让我有种把Y从电视里揪出来扇两撇子的冲动！            
(3星)	 除了雷雷他爸和大头以外，其余全是神经病……一部介绍各类神经病和我国医院发展变化的纪录片=-=            
(3星)	 为这要死不活的结局，容嫂子呵呵一笑。            
(NA)	 没看全过，但是结局的时候叶青儿说了一句：“其实我第一眼看到你就知道，其实你比谁都善良。            
(3星)	 老妈一看到这个剧，不管是哪一集，也不论看过多少遍，总是不会再换台的。他们的爱情真是，我看着都头疼啊，还有各方阻挠，尤其受不了女主角那个不讲理到一定程度的母亲，整个片子简直太纠结了。所以，虽然乱七八糟和颠三倒四的勉强看完了，实在不是我喜欢的类型啊。（19:18,26/08/08）            
(3星)	 刚极易折，情深不寿。            
(4星)	 你笑得甜蜜蜜 好像花儿开在春风里             
(5星)	 总觉得他俩很配            
(5星)	 总有那么一首歌曲能让他们想起对方            
(5星)	 雷雷坏起来的样子很像我深爱的那个人            
(4星)	 甜蜜蜜伴着他们一路艰辛。青儿她妈讨厌死了!!! 高希希满有材的哈,至少翻拍的比张纪中强!            
(3星)	 从今天到死，你都是我的女人，无论你跟哪个男人在一起，都会想起我。看到这儿，我的眼泪就刷刷的流下来了。顿时想起丑女贝蒂里的那个画面。　　            
(5星)	 和妈妈两个人，大半夜哭得死哩哗啦地睡觉了。            
(3星)	 实在看不下去这俩人腻的。。。好吧我承认我嫉妒。            
(4星)	 爱与痛的边缘，是甜蜜            
(4星)	 有点粗糙，十分难得的电视剧。老白你不容易啊。            
(5星)	 大陆版甜蜜蜜，有中国人的地方就有邓丽君，爱情怎就不能只是爱情那么简单。。anyway，它是个好东西.这结局让我给多了一星,我真是邪恶...            
(5星)	 好像花儿开在春风里...            
(4星)	 看到雷雷垂首吻叶青的时候  觉得心里很酸  也许永远不能了解那个年代的情况   但却祝福这段感情            
(3星)	 可恶的孙俪的妈，变态简直，哪有这样的妈            
(5星)	 这是在演电视剧吗？？？？感觉就是小两口在生活@！@@！！！太太太感人了！！！！就是喜欢超和孙俪一起!!!!            
(4星)	 邓超 激烈的爱 伤害 甜蜜蜜 青春 那些甜蜜的心酸            
(4星)	 叶青她妈。。。。太无言。。。韩阳。。。。。。太闷骚。。。只有雷子。。。太帅了            
(NA)	 on  tv.            
(4星)	 雷雷，叶青——太惨了结局。            
(4星)	 爱，就是一切与你有关的姿势。            
(3星)	 剧情有硬伤，好在两人还算有气场。            
(3星)	 我极少看完的国内连续剧之一.            
(5星)	 心中关于爱情表达的经典之作，邓超的表演简直是浑然天成            
(4星)	 觉得邓超分別像了庾澄庆杜汶泽王学兵一高中同学苏有朋庹宗华林宥嘉孙鹏囧            
(NA)	 跳过了苦情操蛋的一些集 拖沓大爱雷雷啊 暴烈的温柔 花痴下             
(4星)	 叶青&amp;雷雷。            
(4星)	 結局太讓我接受不了了！ 年輕就要像雷雷那樣為愛不顧一切            
(4星)	 不知道为什么。我就是喜欢邓超演的连续剧            
(NA)	 甜死了            
(NA)	 其实我一点都不喜欢他们俩搭档，可是他们俩总搭档。。。。            
(NA)	 妈妈哭得鼻涕一把泪一把            
(3星)	 苦涩涩。。。。            
(3星)	 没觉得有多好。。。            
(2星)	 不好看。憋屈死了            
(3星)	 演员很好，剧本很烂，编剧有自虐倾向            
(NA)	 以为邓超能让我感动到哭。可我看着看着就看不下去了。还是心酸。            
(NA)	 羡慕            
(5星)	 一个是纨绔子弟，性情顽劣，却纯真善良。一个被人骂作“破鞋”，却冰清玉洁，楚楚动人。雷雷（邓超 饰）和叶青（孙俪饰）这对“落后分子”结成的两小无猜，有着比别人更多的坚定，与信任。在叶青受尽欺负的农场，雷雷总是不顾一切的保护她，替她出气，为她打架。青儿感动，也暗生情愫。　　青儿返城，去医学院读书。雷雷也跟着父母回到了城里。然而，高考落榜成了待业青年的雷雷，却怎么不能让青儿的父母看上眼。青儿的母亲认为雷雷就是小流氓，想尽一切办法拆散他们。而医学院的韩阳（沙益 饰）也一直暗暗的帮助叶青，为她苦苦守候。　　两个            
(3星)	 甜蜜蜜             
(4星)	 没有期望的好             
(NA)	 靡靡之音            
(NA)	 我昨晚竟然看了最后一集            
(3星)	 情侣荧屏合作。            
(3星)	 编剧们酷爱别扭女猪脚            
(NA)	 母上大人非常热爱孙俪邓超这一对。这部算是本色出演吧。            
(5星)	 好好看……            
