http://movie.douban.com/subject/2303112/	法证先锋II Forensic HeroesII
(5星)	 我已经无敌喜欢madam ma和Ivan            
(3星)	 看了十一集，看不下去了！为了佘诗曼和郑嘉颖把前一部的主角们摧残的可以啊……TVB的编剧本着一切为剧情让路的原则根本不管角色死活，说不通的也要被说通……还把蒙嘉慧整个这么丑的造型，靠！            
(4星)	 大胖欧阳震华的片我都爱看.            
(5星)	 这部让我爱上林文龙Dr.Koo,整部戏最感动我的就是他..ps:我的欧阳和蒙嘉慧怎么戏份那么少、            
(4星)	 喜欢Cat Lee的长相和小柔的气质～            
(4星)	 其实开始我觉得佘诗曼太过喧宾夺主。不过慢慢看下来，我还满喜欢她和Ivan和Sam的三角恋啊！我特别特别喜欢Ivan！            
(4星)	 Ivan牌理想男友            
(4星)	 虽然身为KC党但是好希望英国马和阿Sam内什么啊。。。。。            
(3星)	 虽然案情不如第一部，这部感情戏多了点，但也不至于太失望。好在有郑嘉颖            
(3星)	 阿佘个人show。            
(4星)	 真心不习惯看佘诗曼演madam啊！！            
(4星)	 越看佘诗曼越顺眼了            
(5星)	 期待第三部！如果可以評七星就好了...            
(3星)	 最讨厌换演员的了 而且超级讨厌佘诗曼            
(4星)	 个人觉得郑嘉颖的演出实在不怎么样，而佘诗曼的角色塑造得也不是很好，好彩有BOBBY在，倒是案子还是比较好的            
(5星)	 说什么呢，我爱蒙嘉慧，我爱阿佘，以致现在满耳朵都是粤语……            
(4星)	 你說港劇前篇一律也好，你說TVB丟盔棄甲都可，都不能否定TVB得這些特色。終於補完了《法證2》，超愛Lvan。            
(4星)	 4.5。啊好好看啊！！好久没有看TVB看的欲罢不能啊！！CASE虽弱，CAST很不错啊！！KC阿佘你们太配了！！            
(3星)	
(4星)	 080806看完。感动。            
(3星)	 感情路线勉强。            
(4星)	 高一的回忆            
(4星)	 TVB大好！            
(4星)	 佘诗曼最后哭的这么厉害我以为医生死了呢。。。。            
(3星)	 明显没有第一部好看~看不下去呢~            
(4星)	 幸亏编剧没让佘诗曼抢走蒙嘉慧的男人，要不就没天理了            
(1星)	 无理智的判案，幼稚的思考，看港剧易患老年痴呆            
(5星)	 YOYO和嘉颖…哦也！            
(3星)	 可怜的郑嘉颖，被佘大妈玩死了~            
(3星)	 我烦郑嘉颖！！烦死了烦死了烦死他了！！！            
(3星)	 完全变味 不过发现了郑嘉颖很帅            
(3星)	 難為我第一次覺得佘詩曼米有那么丑，是因為之前鐘嘉欣太丑了嗎哈哈哈哈哈。            
(4星)	 没第一步精彩。。不过可以流着口水看一下郑嘉颖~            
(3星)	 案子们质素比第一部差少少, 但是 ---- 这部有郑嘉颖呐~~ 腐片呐腐片~ 慈云山双龙~ 契合温馨~ 暧昧足廿九集~            
(4星)	 法证先锋2             
(3星)	 2永远没有1好看..还是没有打破这个规律            
(3星)	 慈云山双龙好有爱啊。。            
(2星)	 本来想打三星算了，结果最后一集又让我恶心了。马帼英去死。            
(4星)	 欧阳震华演感情戏我始终不是很习惯            
(4星)	 有些桥段实在是bug多，不过Ivan牌体贴男友，好期待哦~            
(3星)	 二是二的来我都看完了...            
(5星)	 好多男角。            
(4星)	 即使郑嘉颖洗白好多年了，但是每次看到他总还觉得是奸角            
(NA)	 看了第一部再看第二部完全不能接受            
(5星)	 这两天连着把1、2部都看完了 意犹未尽啊啊啊            
(5星)	 阿佘和KC這一對好感人啊！最後還來這麼一招。。。整部劇里KC被爆炸到了好多次。。。            
(3星)	 走了一个林丁丁，又来一个方妙娜，我始终都觉得这种性格过于外放的人都好假好可怕。前一集觉得林文龙长的有点奇怪，这一集被郑嘉颖一衬顿时就帅了起来，不知为什么就是觉得郑演戏老做作了，而林文龙自从没有了林丁丁，整个人就沉稳内敛了许多，果然是傻事做少了人也会随之变有型。            
(3星)	 案子已经不记得 只记得Bell和Sam的暧昧            
(3星)	 我还是只能说，探案部分不错。。演员有的部分也不错。。林文龙和钟嘉欣的甜蜜假得我都看不下去了。。鸡皮疙瘩一阵一阵的，大家继续装博学，雷人            
(5星)	 拖拉将近两年终于看完整。感情戏描绘好细腻~开始觉得理性熟男Sam更适合Bell，其实神勇madam需要的反倒是Ivan这一型的浪漫温情活力男来互补吧。时隔多年破案片已经这么高科技了，偶尔伴有Tim Sir的自言自语科普知识教学。伴娘撕裙戏是为了首尾呼应咩~            
(NA)	 啊又抓坏人            
(3星)	 太讨厌佘诗曼了。。。。            
(4星)	 佘诗曼的演技明显比蒙嘉慧好太多，可以理解为何第二部换掉女一号了。            
(4星)	 结局吓死我了，还以为Ivan死了。不过我真想看到他们两个人结婚啊，居然没有！            
(4星)	 确实小柔的发型变了减分了~~~喵呜~~~            
(4星)	 科技真是发达~~~有那么几集貌似以前看过~就是不记得在哪看的了~            
(3星)	 狮子男+狮子女，狮子男+双子女，射手男+白羊女，天平男+处女女            
(NA)	 纯娱乐            
(3星)	 Ivan简直就是我的理想型啊～～            
(4星)	 Dr.koo!            
(2星)	 讨厌佘诗曼。这部片子简直是狗尾续貂            
(4星)	 终于看完了。。。            
(3星)	 无敌又盗墓的香港犯罪终结者            
(NA)	 我是如此的迷恋TVB啊。。            
(3星)	  佘诗曼   我真的受不了你            
(3星)	 可惜少了，高科技镜头~~~~~~            
(3星)	 没I好看            
(4星)	 佘斯曼你去死啦~            
(5星)	 依旧很精彩            
(5星)	 最爱TVB，又是好剧一部。            
(5星)	 精彩。。好久都没有这样的精彩了 。。tvb            
(4星)	 TVB悬疑电视剧            
(3星)	 感情的太哀怨了。。。。            
(3星)	 无法喜欢佘诗曼            
(4星)	 更胜第一部~Once a TVBer,always a TVBee....            
(2星)	 差强人意！            
(2星)	 看不完，放弃了。            
(4星)	 面對。接受。放下。            
(NA)	 看了第一部，还想看第二部，可是编剧为什么要让汀汀死，这个死编剧。。            
(3星)	 额...实在看不下去了,看这种东西是有限度的            
(5星)	 结局才是最精彩。            
(4星)	 今天总算追看完啦！！            
(3星)	 如果只是喜欢这个题材，请看美剧。如果喜欢某个演员，请耐心些看吧就。            
(4星)	None
(4星)	 IVAN終於醒返TAT 不然我今晚就不睡了。。。            
(5星)	 看完了，好迷佘诗曼！！！TVB里都是美女啊！！！o&gt;_&lt;o~            
(3星)	 为郑嘉颖而看～            
(4星)	 最佳一部            
(4星)	 郑嘉颖            
(4星)	 明显没有1好。平时一群跟尸体玩的人现在谈情说爱了是搞毛啊！明明是探案剧感情线那么多那么复杂是要搞毛啊！主角的老婆或未婚妻不是死就是重伤又是要搞毛啊！你们两人在房间里干什么，我们孤男寡女你说我们在干什么？恩，这是一个问题。说真心话，我同情最后一个案子的卓岚。一生一世说出口真的很容易            
(4星)	 虽然身为KC党但是好希望英国马和阿Sam内什么啊。。。。。            
(4星)	 同伯好可爱~            
(4星)	 不及第一部            
(3星)	 佘诗曼的个人秀 蒙嘉慧戏份上了整个剧就弱了诶            
(5星)	 明显林和郑是一对            
(3星)	 梁小柔终于打酱油了。。。。。。            
(3星)	 虽然比不上第一部但也忍了            
(NA)	 看过一集算不算？            
(3星)	 因为第三部的热播才开始看前两部，看完前两部后角色的大洗牌却又提不起看第三部的兴趣。什么缘？            
(4星)	 虽然从现在看是老套的TVB的感觉，但是暖暖的人情让人喜欢。            
(5星)	 小柔真好。            
(4星)	 每次看警匪片肾上腺素都飙升啦，巨兴奋~            
(4星)	 最后一集剧情虽然狗血，但是赚了我好多眼泪啊~            
(5星)	 好少觉得tvb剧最后一集好看啊~~！！！！！            
(5星)	 真心好看            
(4星)	 前15集太扯 最后单case简直令我对梅大妈刮目相看啊&gt;&lt;对sam和bell比较有赶脚  yoyo真苦逼 活生生被消失10集..            
(4星)	 鄭嘉穎好帥！！            
(4星)	 TVB下一次啥時候再出一部讓我從頭可以看到尾的劇呢            
(4星)	 欧阳振华算是TVB顶梁柱            
(2星)	 狗尾续貂。ssm你还敢演得再假点吗            
(3星)	 有时候能帮助别人也是一种福气。上面那位老板自有安排            
(NA)	 记得欧阳震华的片偶都看完了呀，怎么这部还没看过呢呵，一个订婚礼，一个结婚礼，很完美呀            
(NA)	 你赔我的蒙嘉慧！            
(3星)	 TVB出品，一如既让，杀时间首选。            
(4星)	 好喜欢正康和妙娜！！！            
(4星)	 没有1 好看咯            
(4星)	 钟嘉欣你挂的也太快了吧T3T            
(NA)	 边绣十字绣 边看 的            
(4星)	 每个都是好男人啊            
(NA)	 不太记得了            
(4星)	 有欧阳震华坐阵自然不错。            
(5星)	 全都是在国庆期间看完的。。。佘诗曼的出场我好喜欢&gt; &lt;            
(NA)	 08            
(5星)	 喜欢林文龙。喜欢喜欢喜欢            
(NA)	 喜欢阿佘            
(3星)	 佘个人秀，不喜欢            
(4星)	 Ivan!!!            
(5星)	 ivan~~            
(3星)	 比不上一            
(4星)	 欧阳振华啊啊啊~            
(4星)	 比较迂回曲折~~~            
(NA)	 按理说蒙嘉慧是比佘诗曼漂亮的··但是蒙嘉慧的短发造型太雷人太土气了···反而是佘诗曼的出场惊艳许多···            
(3星)	 还是喜欢第一部呢            
(3星)	 哎……有了佘诗曼就没劲了            
(4星)	 男人居然也这么愿意看港剧 带着我几天就把这30集给搞定了。。。            
