http://movie.douban.com/subject/2303233/	风云岁月
(3星)	 我居然也是看过的，张延自杀那段印象深刻            
(5星)	 那个时候喜欢得不得了            
(4星)	 关礼杰那是坏魅力的确迷人~~            
(NA)	 有印象，陶大宇同学又是一张正义的大饼脸， 关礼杰同学就记得当时脸上褶子比较多， 没休息好？            
(NA)	 啊我看过这个            
(4星)	 在Google上搜爱一个人好难这首歌是哪部电视剧里的 然后转到百度知道 居然真的有人问过同样的问题  于是终于找到这部电视剧 太神奇了！            
(3星)	 记得主题曲么。爱一个人好难。            
(4星)	 草！终于知道这片子叫什么了！！！！！！！            
(5星)	 WOW~~~这都被我想起了！！当年跟老哥一起看得好HAPPY啊~            
(3星)	 唯一的答案，爱一个人好难。            
(3星)	 终于找到这个了            
(NA)	 爱一个人好难            
(3星)	 张延为关礼杰自杀的时候放的是爱一个人好难            
(5星)	 苏永康的爱一个人好难出自这里。            
(4星)	 初中时候看过            
(4星)	 片尾曲很赞            
(3星)	 很小的时候看的了            
(3星)	 当年看过的，居然叫这个名字。            
(4星)	 OMG..最近又在看..才发现我竟然11岁就看过这么剧情的片子..怪不得我的心里如此阴暗.当初印象最深的大概就是主题曲了            
(NA)	 苏永康的片尾曲哈哈            
(4星)	 片尾曲爆好听！因为这部剧而喜欢张延和关礼杰~~            
(4星)	 小时候。《爱一个人好难》            
(3星)	 那时候好喜欢的            
(NA)	 好吧，我承认我看过。            
(NA)	 当时认定关礼杰深爱着张延。            
(NA)	 最后她服药自杀了。            
(4星)	 你说你还是喜欢孤单，其实你怕被我看穿。你怕属于我们的船，飘飘荡荡靠不了岸。            
(3星)	 很喜欢关礼杰啊！！为什么再电视剧里面坏人就不能赢？            
(NA)	 就是喜欢周蕾。            
(4星)	 对开头那辆敞篷印象很深关很帅            
(4星)	 又是一个坏人出彩的片子关礼杰很帅！            
(NA)	 张延             
(4星)	 风云岁月            
(NA)	 记得那女很想不开啊            
(4星)	 看得我超投入的~年轻的时候。            
(3星)	 当年的福建台播过N遍            
(4星)	 看过这 真心喜欢坏到掉渣的关礼杰 被张延的美惊到了  额  对陶大宇一直无感啊            
(5星)	 童年的美好回忆呀~！！！还记得那首著名的主题曲“爱一个人好难”。。。            
(3星)	 高中时断断续续看的，因为里面的女演员都不太喜欢，只记得张延自杀时放的爱一个人好难觉得好好听呀当时有感动到我。。            
(NA)	 小时候看的，好好看呢~            
(4星)	 记得主题曲好听            
(4星)	 美林告诉我，爱一个不问值不值得            
(3星)	 老片，张延很漂亮            
(3星)	 - - 小学的时候看的 有少儿不宜的镜头来着.......            
(3星)	 苏永康的片尾曲真好听～            
(3星)	 剧情不怎么记得了，记得爱一个人好难好像它的片尾曲来着。            
(5星)	 偶好喜欢的。            
(NA)	 当年好喜欢！            
(4星)	 断断续续看完的 青葱的陶大宇            
(4星)	 我觉得这电视剧太成熟了，不适合那个时候的我看，那时我多大来着？            
(4星)	 99年的片子了 记得当时很迷。因为爱一个人好难 因为印象中美丽的美玲 重温旧梦了一番。            
(3星)	 认识了张延，当时就想，为什么女主和男主不在一起呢，非要喜欢那个坏人            
(4星)	 小时候看的 到现在还念念不忘 这就是这部电视剧对我的影响 极其深远 不仅是爱情            
(NA)	 好早以前看过这个电视剧，好喜欢。            
(3星)	 爱一个人好难，今天谁唱起来，就让我想到这个            
(NA)	 好剧好剧 虐虐更健康             
(3星)	 还蛮喜欢它的主题曲            
(5星)	 回忆~            
(4星)	 他只对她一个人说对不起。            
(4星)	 小学看的            
(5星)	 ╮(╯▽╰)╭小学时最爱的片尾曲            
(3星)	 两大最爱都在             
(4星)	 片尾曲很经典。。。小时候很爱看的片子            
(3星)	 反正就是不记得了，好像结尾谁死了还是进监狱了？……额……不知道~~就记得片尾曲苏永康那首《爱一个人好难》不错~~            
(3星)	 当时觉着张延特好看。            
(4星)	 记得主题曲:爱一个人好难            
(5星)	 欲罢不能的爱。            
(3星)	 记住了爱一个人好难这首歌，还有张延吞安眠药自杀那段            
(3星)	 印象里这好像真正是我第二次见某人然后……这剧囧到我了啊OTZ            
(3星)	 歌好听            
(NA)	 终于知道这名字了            
(3星)	 爱一个人好难            
