http://movie.douban.com/subject/2303292/	海豚湾恋人 海豚灣戀人
(1星)	如果不是寝室人有在看，我压根不会瞄一眼任何有关许绍洋的片子，他长的也太难看了，而且还很做作
(3星)	三颗都是因为霍建华。。。。
(3星)	劳资当初脚得霍建华好晒气
(3星)	白豆腐TM比男主帅一万倍好吗
(3星)	关键我是受不了那么假的声音说那么傻的话
(3星)	就是看许绍洋不顺眼呢～
(3星)	我当时也就是无聊时候看看。。。默默觉得霍建华挺帅的~其他没啥映像了
(1星)	扯。
(NA)	瞄过。
(3星)	许绍洋已经老成大叔了。
(3星)	台湾偶像剧 
(3星)	完完整整的看下来.老天.
(2星)	好 屎
(2星)	为什么我当时会哭啊啊啊？！
(1星)	老子就是被这种傻逼剧弄的对偶像剧一点也不喜欢
(4星)	非常不喜欢许绍洋。
(2星)	张韶涵毫无进步，看着郁闷。
(3星)	= =
(1星)	这种故事我不用脑子也掰得出来。
(2星)	！！！！想起來了！！因為這劇我小學叫過一段時間的小瓶蓋！！！
(4星)	看过的唯一一部偶像剧
(3星)	過。
(3星)	小时候很喜欢 长大觉得很···
(NA)	看看看骨頭張韶涵
(NA)	我还看过这个……男主角是在丑得有一拼
(2星)	扯
(4星)	It is a long long journey~~~
(3星)	N年前就是這部偶像劇認識了張韶涵 很可愛的丫頭！
(4星)	一直默默支持张韶涵
(3星)	当做她的奋斗史看也不错。。= =
(4星)	从这部爱上海豚
(3星)	应该是大学前
(NA)	只是喜欢那首journey
(3星)	张韶涵第二部偶像剧
(3星)	霍建华真漂亮
(NA)	许绍洋那国语练好点再出来吧
(3星)	台湾的制作费还真是省啊　从头到尾女主角的衣服不超过四套　
(3星)	一般般。
(3星)	当年是有多迷霍建华！姐当年也是少女一枚～
(2星)	我原来不只看过流星花园斗鱼什么的啊。
(3星)	张韶涵的成名作~
(NA)	我只是马克一下
(4星)	歌好听，当年怎么就觉得霍建华挺帅的呢
(3星)	那时候就觉得张韶涵丑！
(2星)	无知年幼的我呀！！！
(3星)	我妈爱看
(NA)	……在看这剧之前我一直觉得张韶涵还蛮不错的
(2星)	许绍洋说话那个音调啊...恶，让人无法忍受
(4星)	是放了多少遍!!!
(3星)	这个......别说，我还真看完了。学许绍洋咬字和口音是我曾经的一大爱好。
(1星)	我是来打分的。
(4星)	中学时代的台剧儿六。
(2星)	杀时间
(4星)	还是不错的= =
(3星)	那时候许绍洋演了个什么的，还蛮红的啊。
(3星)	高中时看过~~~~那时我就是萝莉控~~~
(2星)	苦情
(3星)	掌勺寒演的那个烂啊
(2星)	重新让我觉得许绍洋帅的一部戏
(NA)	kokia
(3星)	因为霍建华咯~
(4星)	当年很爱~~原声带不错。。
(NA)	许绍洋看起来就是腻腻歪歪的
