http://movie.douban.com/subject/2303714/	蜀山奇侠
(5星)	 驾御紫青剑剑变龙那段让人印象尤其深刻,那时候那么一点小特技就让人迷得一踏糊涂,还到处模仿着扮侠士,小时候真是太丢脸了.            
(5星)	 关礼杰好帅好帅好帅 当时还是个小女生的我就是这样的想法 虽然他现在早就老掉了 而我看他也不那么帅了 但是在那个年代 我做梦都会梦到紫青双剑……            
(3星)	 还可以。            
(4星)	 当年看的时候还挺喜欢的 关礼杰毁容那段我还挺害怕的 他那时候多帅啊            
(NA)	 龚慈恩比同时期的美女美好多哦……            
(NA)	 紫青双剑……            
(NA)	 紫青双剑.剑仙好潇洒            
(NA)	 貌似看过，里面人的扮相很不古装            
(4星)	 最近我们学校的BT老是在怀旧，这就是其中之一，还有就是新白娘子传奇。。。            
(4星)	 当时怎么就那么喜欢哪。。            
(5星)	 血魔血魔！！！            
(4星)	 龚慈恩可圈可点。            
(4星)	 关礼杰的巅峰期。。。            
(4星)	 比现在的好看多了！            
(NA)	 TVB奇幻启蒙片            
(3星)	 紫青双剑!            
(NA)	 只记得两个女孩挺漂亮，还有绿袍老祖，好像还有郭富城            
(5星)	 关礼杰 年轻时候帅得可以阿            
(NA)	 只记得上官谨我了……            
(NA)	 上小学的时候看的这个片子，记得当时每天晚上都喝中药 Ojz            
(NA)	 紫青双剑！ 还有可怕的血魔洞。。。。。~&gt;&lt;~。。。。。            
(NA)	 我居然还记得丁影和沙艳红=。=            
(NA)	 很久很久很久以前            
(3星)	 老片子了  相对来说 我更喜欢 仙侣奇缘            
(5星)	 当年的关少真是潇洒得一塌啊~            
(4星)	 无耻的瓣瓣为什么米有仙侣奇缘？？？小时候很喜欢这两部的说。一个讲孽缘，一个讲轮回。最近又看了一遍。很萌关同学！！！            
(4星)	 经典            
(4星)	 话说御剑、双剑合璧什么的是不是蜀山首创？            
(3星)	 小时候看过很多次，大了完全不记得，听到主题曲就想起来了            
(NA)	 哈哈，怎么没有写郭富城，那么抢眼的龙套            
(3星)	 关礼杰好帅！            
(4星)	 太邪了没一个好下场。入魔真叫人神魂颠倒            
(5星)	 这个好几部呢吧……            
(3星)	 10年3月3-5日            
(5星)	 当时哈欢喜关礼杰和杨宝玲            
(3星)	 1993年冬天看过            
(5星)	 那时候觉得真好看啊~            
(NA)	 小时候我和姐姐一起看的，过年的时候，好好看，我想念小时候过年的样子，好开心的            
(4星)	 那个时候的关礼杰多帅啊，还有郭富城的，为了看到这个多辛苦的呢。龚慈恩也很美貌            
(4星)	 当年还录音了。。歌词还记得            
(2星)	 1.特技虽烂，但是好歹飞起来都很美。2.这是中国版的奥特曼么，里面有那么多怪兽。3.20集了朋友们就不可以换身衣服么？4.好幼稚又好难理解的的剧情…….5.龚慈恩还蛮美的嘛，那个年代果然美女比较有味道。            
(5星)	 我一辈子的最爱            
(4星)	 美女多啊  但是发型特别            
(4星)	 武侠奇幻先河！            
(4星)	 上官瑾我师兄太帅了！            
(NA)	 蜀山奇侠            
(4星)	 有空回顾下，忘光了。            
(4星)	 奴家不遇世,本是餐霞人            
(4星)	 小时候看录像带的。            
(4星)	 关礼杰好帅~~            
(5星)	 紫青双剑，绝代双骄！            
(NA)	 小时候每次播都是深夜啊！好想看啊！            
(4星)	 看过的关于什么魔的第一部片子吧，其实我不喜欢这类，里面的人都歇斯底里的，赶不上武侠有魅力            
(NA)	 有空去回顾下小时的记忆            
(NA)	 小时候看的~~龚慈恩美爆了！！！！！！            
(NA)	None
(3星)	 租片时代回忆，小时候以为世界很玄幻            
(5星)	 好小的时候看过的一部剧，当时真的是喜欢死里面的紫琼和上官警我了            
(5星)	 比郑伊健后来那本《蜀山传》的剧情好看 也丰富            
(5星)	 爱死这部电视剧了，那时候整天想着怎么飞。            
(5星)	 这评分给当年的小时候看这电视每晚都在天上御剑飞行 = =  很多年后找来看 发现特技效果比较雷  还是看不下去            
(4星)	 当年迷得是一个劲啊            
(3星)	 儿时的记忆。当时就炒喜欢男主角，关礼杰！            
(4星)	 小时候从来没完整看完过~现在要好好补番            
(4星)	 各种CP各种萌系啊~~            
