http://movie.douban.com/subject/2305334/	先生贵性
(5星)	 太经典了～ 剧情绝对六星级!            
(NA)	 后来一度在tvb午间档播了无数次            
(4星)	 當時在香港很受歡迎            
(4星)	 我还被着实感动了一会            
(5星)	 超级好看，开始爱上罗嘉良，偶也            
(4星)	 虽然看的过程中可能会觉得有些混乱和不合逻辑的地方，但情节的安排很好，坚持看完还是有惊喜的            
(5星)	 幸好我把老片翻出来看，要不就错过一部那么好的TVB了。            
(4星)	 经典啊~~~反窜            
(4星)	 記憶比較深,好像滿感人的            
(4星)	 主题曲、剧情都还记得            
(5星)	 難道當初權只是做夢嗎？不管怎樣，權和晴最終還是有情人終成眷屬！            
(4星)	 只能说罗嘉良真行，扮完可爱的李奇之后，又挑战当山东女子足球队，这部戏太成功了，Diana唱歌那段太绝了，著实在加一颗星；陈慧珊这部戏也让我对她刮目相看，有笑有泪，水中真情著实感动，梦醒继续有结果，tvb以前真的是很多好戏阿！！现在真是...唉            
(4星)	 罗嘉良扮女人都好得！            
(4星)	 这个好好看哦，陈慧珊。            
(4星)	 山东女子足球队……            
(4星)	 轻松搞笑，情节不落俗套。罗嘉良的Mr.Diana很挑战演技啊。            
(NA)	 小时候看的了 当时好喜欢陈慧珊 每天晚上就是为了看她            
(3星)	 其实我基本已经忘了剧情是啥子了，就记得罗嘉良男扮女装的样子。。。            
(4星)	 真能扯。。            
(NA)	 哎,好核突            
(4星)	 挺搞笑的，捞家的表演很惊艳！            
(NA)	 音乐很好听            
(4星)	 嘿嘿，印象很深，捞家的Diana~~XD            
(3星)	 其實無聊            
(3星)	 那時候很喜歡這部戯。只是結尾讓人納悶。好像以前寫作文什麽南柯一夢的感覺。敗點。不過唯一讓人安慰的是，兩個主角都作了同一則夢吧。            
(5星)	 2007            
(3星)	 罗嘉良扮女人还真像！            
(NA)	 滿好笑的~            
(4星)	 罗嘉良男扮女装的样子好像我们班上某个同学的家长，当时家长会我们几个接待的班干犹豫了好久都不确定要叫叔叔还是阿姨……            
(4星)	 重播过很多次！！！陈慧珊 vs.罗嘉良            
(3星)	 剧情有点拖了，但男女主角太给力了            
(3星)	 陈慧珊演女鬼，罗嘉良扮女装，早年的剧集，从演员到剧情总有一点小动心            
(3星)	 罗嘉良被附身后变成Diana, 整天躲在厕所里剃脚毛......囧死了。            
(4星)	 好经典            
(4星)	 谁共谁一起~缘分冥冥之中连于一起~            
(4星)	 真系好中意陈慧珊咯            
(4星)	 有点雷 三星半啦            
(4星)	 十年前看过的？            
(NA)	 When I need you...            
(4星)	 印象挺深~ 挺特别            
(4星)	 MR。diana 哈哈，罗嘉良牛逼！            
(NA)	 完全被佢剧情带住走            
(5星)	 Mr.Diana 南柯一梦~山东女子足球队大妈和女鬼的爱情 在现实中继续了。。。有笑有泪 捞家和flora着实是太可爱了            
(4星)	 对你我永不放弃            
(3星)	 亮点是罗嘉良的男扮女装……            
(5星)	 一直忘不了大结局那集。主角唱的插曲也好好听。            
(5星)	 大力推荐 结局耐人寻味            
(5星)	 有点重口味            
(5星)	 其实蛮好看的，90年代的港剧质量都不错！            
(3星)	 尾段不好            
(5星)	 喜欢主题曲，那年在正月十五播出第一集            
(NA)	 一直记得这个电视剧             
(4星)	 哈哈。。喜欢~            
(NA)	 夢中相遇、相認、相戀。原來是兩個人的夢。            
(5星)	 超正啊！！！            
(4星)	 有段时间TVB中午老是播这个            
(5星)	 睇呢个噶时候，觉得里面噶英文名都好好听 宜家林翻 无非就戏andrew / sophie 之类噶 不过我觉得真系几有创意下 几好玩  罗嘉良扮女人果时超级搞笑            
(4星)	 罗嘉良            
(5星)	 结局深深地傻死了我。。这辈子都记得。。            
(NA)	 不记得剧情，记得嘉良哥的经典造型            
(5星)	 曾经，被最后红绿灯的桥段虐哭过。            
