http://movie.douban.com/subject/2310046/	李卫当官
(NA)	 记得大学时看的，徐峥不演韦小宝可惜了，大陆属他最合适。            
(5星)	 刘和平这个编剧我挺喜欢的            
(3星)	 那时的陈好还没出名~当时好喜欢她的说~多纯啊~也喜欢里面的徐峥~哇咔咔            
(4星)	 当年很喜欢看那            
(4星)	 说来汗颜.本人看过的完整的辫子戏就这一部.而且放一遍看一遍.觉得很好!!非常好!!里面的任南坡是个经典啊~~            
(4星)	 难得的国产好片啊 编剧和主演在当年都很给力            
(NA)	 康熙太子老四老十三老八老九老十，刚从雍正王朝出来就演了这么个戏感觉那叫一个不搭调            
(4星)	 徐峥蛮好            
(2星)	 《雍正王朝》原班人马            
(4星)	 丫丫个呸的            
(NA)	 当时一群历史剧都很好看呢            
(4星)	 妈了个巴子的。。。。。笑死我我了。            
(3星)	 青海卫视  五集连播   播到13集就被下了  原因是  收视太差！            
(NA)	 因为这个喜欢徐峥 还有那个贴纸喷水杀人法= =            
(5星)	 我妈看了3遍了！            
(3星)	 中国的好片 哈哈            
(5星)	 喜欢古装喜剧，徐峥演得好            
(4星)	 尺度很大。            
(NA)	 我只是马克一下            
(4星)	 徐峥的牙缝儿组么就嫩么黑 陈好的演技组么就介么烂 但素我爸笑的hin开心~            
(4星)	 好看的            
(NA)	 我爸我妈强烈推荐，看之。            
(NA)	 总的来说还不错。发现自己极度无法适应陈好的表演方式~            
(4星)	 喜欢里面的徐峥和陈好~~~不过，后来再看时，怎么看怎么觉得李卫就是皇上的一炮灰。。。= =||“呀呀个呸呸”！~            
(3星)	 阴影啊~阴影~            
(2星)	 中国大陆            
(NA)	 爹爱看            
(3星)	 一个混混，玩转朝野。            
(NA)	 徐峥说话的声音听着别扭            
(4星)	 看来国内还是有好编剧的，可惜近年都看不到这么好的片子了            
(4星)	 就是看了这个特别喜欢徐峥，喜欢陈好，不过后来看了她拍的粉红女郎，囧个...李卫他妈，简直是个活宝！！！太逗了！！！            
(NA)	 md这也看过            
(4星)	 這種類型的劇不是我的菜啦 = =            
(5星)	 丫丫拉个呸            
(4星)	 徐铮一直都蛮喜欢的~当年陈好还不是粉红女郎~~~            
(5星)	 挺喜欢徐铮的            
(4星)	 徐峥你呀呀个呸得演的帅呀~~~            
(4星)	 蛮不错的国产剧，笑料很多，对官场刻画的也不错。            
(5星)	 我是電視放一遍我就看一遍的，除了陳好演得做作之外沒別的缺點。太喜歡焦晃老爺子了！            
(5星)	 最爱看的内地剧。            
(4星)	 徐铮萌！！！另外那是直隶总督署！！！亲！！！            
(4星)	 我挺喜欢的。            
(NA)	 居然出到第三部 回家看看~            
(3星)	 徐峥的确不是我的菜，所以这李卫当官我也就没好好看完。            
(4星)	 我喜欢徐峥！！！！我想让他搅基去！！！！！！！！！！！！            
(4星)	 徐峥撑起来的电视剧~就只有好玩            
(5星)	 挺喜感的 我觉得徐峥是个人才啊            
(3星)	 忘了忘了            
(4星)	 当时很喜欢~            
(NA)	 在纯喜剧里还算好片。这两年这种也没了。            
(3星)	 还算不错，不过更喜欢《李卫辞官》里面圆滑老辣的李卫。            
(1星)	 雷剧 = =            
(3星)	 爱死了...            
(4星)	 还行的。            
(4星)	 很搞笑……            
(4星)	 2010.06.01            
(4星)	 喜感。当初和奶奶天天看完才睡觉            
(4星)	 第一部还可以，里面的师爷又牛逼又装逼            
(4星)	 漕帮帮主女儿是朱七七那演员演的            
(4星)	 大爱这里面的陈好 真漂亮~            
(5星)	 这个我老喜欢的            
(4星)	 真好看。            
(4星)	 徐峥从此定型            
(3星)	 我不喜欢看这样的            
(4星)	 徐峥和陈好，当时“小荷才露尖尖角”！            
(NA)	 http://www.douban.com/pics/sth.gif            
(3星)	 6/10            
(4星)	 怎麽說呢...放一次看一次...而且還是看得很歡o 0            
(3星)	 三揭皇榜咋地。            
(4星)	 好看好玩。            
(4星)	 第一部很好看            
(5星)	 太喜欢徐峥了~~            
(3星)	 正史不是正史，戏说不是戏说            
(3星)	 躺上几天可以都看完。            
(3星)	 我追着看来这            
(4星)	 蛮搞笑的哦~            
(4星)	 喜欢第一部            
(4星)	 重看 第30集奈何他是个混不吝的混蛋 也不过她一句，走吧 这就是  一物降一物  因为他爱她             
(5星)	 “你，呀呀个胚啊！”   呵呵            
(4星)	 从那时候开始觉得徐峥和陈好这两个演员还是比较有水的            
(4星)	 陈好            
(5星)	 我看过的最好的古装历史非正剧。            
(5星)	 雍正王朝附属系列，哈哈~还算有点想法。            
(3星)	 因为这个喜欢徐峥            
(NA)	 依旧是演一遍我爸就要看一遍的～            
(4星)	 今天居然重播了            
(5星)	 从此片开始喜欢徐峥、陈好，可惜陈好在此后就由剧中的灵秀路线改成走“万人迷”的性感路线了。            
(NA)	 还是挺逗的。            
(4星)	 借着雍正王朝的余晖，徐峥继猪八戒之后又火了一把，还挺喜欢这个演员的            
(5星)	 看了两遍了，依然感觉热血沸腾，兴奋异常，徐峥的表演太赞了，台词也是非常见功力，现在哪还能看到这么耐看的电视剧！            
(5星)	 以前的古装剧真是经典啊！            
(4星)	 我爸当时硬是天天守到看哦。            
(4星)	 丫丫个呸的            
(4星)	 徐铮就是这么火起来的            
(5星)	 那时候高一，突然发现男人不一定非要一本正经，李卫这样的小聪明也不错            
(NA)	 觉得还不错            
(4星)	 最喜欢第一部里的徐铮和陈好（当时还没演万人迷，依然清纯）            
(3星)	 还好吧，陈好那时候挺清纯的~            
(4星)	 那阵子有点小迷徐铮            
(NA)	 其实很好玩啊，喜欢            
(3星)	 很久以前。。。。            
(4星)	 做个好官不容易……            
(5星)	 挺好看的~~            
(4星)	 可以啊            
(5星)	 很喜欢很喜欢徐峥            
(5星)	 经常看            
(2星)	 呀呀个呸的            
(4星)	 徐峥的喜剧，，呵呵            
(3星)	 陈好哪儿好看了。。徐铮演技真棒            
(4星)	 陈好的角色曾经是这个样子的 后来的角色是那个样子的            
