http://movie.douban.com/subject/2326683/	聊斋先生
(2星)	 最深的印象是此剧此男主女主很淫乱 ==            
(2星)	 这片子猥琐，这片子神奇……            
(3星)	 蒲松龄在芦荡里推倒狐仙还是谁的时候，爸爸进房间了，挡在电视机前，对五年级的我说：这片是演给大人看的，小孩子看了晚上睡不着，你快洗洗睡。            
(5星)	 比较靠谱的聊斋故事            
(NA)	 补遗                
(3星)	 美女较多            
(5星)	 有些话小孩看不懂吧 ，想给6分            
(3星)	 片头、片尾曲都不错，至于剧情总比现在林林总总垃圾场好很多吧！意外看见柳红orz；两集后看书算了            
(1星)	 云集内地三线女明星            
(4星)	 第一次知道蒲松龄此人            
(3星)	 记得好像还有香艳剧情            
(2星)	 张铁林各种恶心            
(3星)	 主要剧情就是男主做春梦成为创作素材。            
(3星)	 1，张铁林的各种吻戏激情戏是男演员里面最难看的，没有之一 2，小时候觉得片头片尾的歌很好听            
(5星)	 一直念念不忘，前幾日又重溫一遍            
(3星)	 这部片子其实不错，营造的那种气氛很美妙，亦幻亦真，还穿插着人的七情六欲。我印象很深的是主题曲，还有男主角那胸口的一戳毛。            
(3星)	 感觉很色。            
(4星)	 初中时候看的吧？            
(NA)	 小时候看的，剧情都记不太清楚了。只是记得那时觉得蒲松林娶得老婆是个好女人，很贤惠，还有些文采。            
(3星)	 童年记忆。喜欢王菁华。            
(3星)	 好几年前了            
(3星)	 1998            
(3星)	 张铁林在上面好色啊            
(3星)	 年代太就久远了，就记得张铁林这个面孔了。            
(5星)	 如果说中国历史上第一个民主战士是鲁迅先生的话，那么蒲松龄就是第一个敢于向封建势力挑衅的英雄！嬉笑怒骂皆成文章，狐精鬼怪独领风骚啊！            
(3星)	 当年应该是一集都没有拉掉            
(NA)	 魅啊            
(4星)	 喜欢里面的狐仙鬼女们            
(NA)	 看到漂亮的女鬼和色老先生~            
(2星)	 小时候看这个的时候还挺喜欢常远的            
(NA)	 很香艳的电视剧，没什么花哨的特效，感觉满忠于原著的。特别受不了看张铁林的吻戏，好像他只适合演皇阿玛那种角色，不适宜和女主角有什么亲密的接触。            
(2星)	 虽然那时貌似看的挺起劲，但现在想来，色鬼啊~~            
(3星)	 不错啊            
(3星)	 总感觉张铁林色色的。            
(5星)	 这是一部好剧，改变蒲松龄的作品，很少有能用心刻画的了。说鬼道狐话聊斋，人生，虚幻，鬼狐。看你怎么看待了。            
(3星)	 常远美人。。。。。。            
(1星)	 张铁林演这部戏完全毁了我对他的印象还有对聊斋题材电视剧的好感。。。公主头。。。。真猥琐            
(3星)	 子夜荧荧点孤灯，天上地下说鬼神。花妖仙子笔中舞，狐狸精灵梦驰骋·····这电视剧拍得一股很浓的民间怪谈的味道，狐妖鬼怪气质都很对，故事也都是飘飘然玄乎乎的。现在要找这样仙气儿鬼气儿都浓的聊斋电视剧真是找不到了，全是一股子言情酸劲儿··            
(3星)	 小时候跟粑粑麻麻一起看的，记忆里挺色的            
(NA)	 添加这部是想到剧里结尾蒲的老婆讲月宫仙子的故事，结局是仙子被诏返回天，书生跟着她一起攀上梯子离去，蒲说你是仙子我是书生；因此想到大鱼的结局，相比之下书生的避世出于无奈多过对梦幻的渴望。还有，鬼狐是因身为异类而被落魄人引为知己，爱情故事还是省省吧，宅男想象而已。。            
(5星)	 人生看的第一部聊斋影视剧，它把我带入了聊斋中            
(3星)	 童年回忆            
(2星)	 说真的，小时看的时候还真的吓到我            
(2星)	 黄            
(4星)	 小时候看的  那句“书中自有黄金屋，书中自有颜如玉”记忆深刻            
(NA)	 蒲松林穷到煮宣纸当馒头的场景我现在还记得～            
(2星)	 很激情 小时候看都怕家长发现            
(NA)	 很小的时候看的。对最后一集有点映像。            
(NA)	 知道了那句 吃着碗里的 看着锅里的 = =……            
(5星)	 和，李若彤的 神雕侠侣，一般，同时启蒙。            
(5星)	 甚爱此剧，这种想象力才是中国编剧该有的啊。。。            
(NA)	 看完电视剧，我就把书全看了。我记得我买了一本盗版的，白话文的            
(4星)	 小时候看的时候被片头曲中一张挤来挤去一会儿眼睛大一会儿嘴大的脸给吓着了……            
(5星)	 小时候看的。最大的印象是中间广告区【野酸枣~滴溜溜溜圆~福运泉~纯天然~】            
(5星)	 其实张铁林这部可以算他的代表做的。皇帝已经演烂了。            
(4星)	 记得剧情挺快滴            
(2星)	 张铁林一副猥琐样……            
(3星)	 看蒲松龄想到以前也看过这个的，小时候还挺爱看的，哈哈。            
(4星)	 现在一说起聊斋我还是会想到张铁林            
(NA)	 我为露点而来            
(2星)	 片头飘渺的女声当年吓到过哥= =以为是鬼片。。。            
(4星)	 音乐，挺喜欢音乐……先生先生XD            
(3星)	 小时侯看过的..            
(1星)	 歌太惊悚了。            
(4星)	 小时候看过             
(3星)	 一直觉得此片很YD~            
(5星)	 激情戏超多，超喜欢            
(4星)	 咿呀……            
(NA)	 哎呀，小时候最喜欢看神话了。。所以才看的，给我的印象是，蒲。。很风流。。。            
(3星)	 那是一个夏天话说这剧有后宫倾向            
(4星)	 我记得挺好看的~            
(NA)	 小时候吓的我不轻的电视剧。            
(3星)	 捡起来看，竟发现美女如云！先生真是艳福不浅啊！            
(5星)	 看的时候老爸就在一旁叨叨：“少不看聊斋...”            
(4星)	 张铁林似乎很满意这个剧，当有人批评他是皇帝专业户时他就提起这个来。我挺认可这个剧的。            
