http://movie.douban.com/subject/2327494/	刁蛮公主
(1星)	 皇上不是微服私访就是谈恋爱- -            
(1星)	 超山寨的片            
(1星)	 剧情/服装/道具/演技/格调真的鲜有可取之处            
(2星)	 这部剧除了人....其他都不能看            
(1星)	 和怀玉公主不是一个档次的。。。。            
(1星)	 完全山寨怀玉公主。            
(NA)	 我妈整天在家看这个！我也跟着看过！            
(1星)	 恶傻            
(1星)	 被迫看过两三集            
(3星)	 我妈最爱司徒静这种类型的角色了。            
(2星)	 这个剧。很神。。。            
(NA)	 抄啊抄。。。            
(2星)	 我奶奶看得挺高兴            
(NA)	 补遗               
(2星)	 欢乐悲惨的脑残。。。            
(1星)	 模仿            
(1星)	 脑残            
(NA)	 内容已经不重要了，你的简介也太长了吧！             
(2星)	 巨恶            
(1星)	 乃乃個孫子嘴兒!            
(2星)	 又是很欢喜的一部            
(2星)	 对张娜拉比较没爱            
(2星)	 抄袭怀玉公主！            
(4星)	 鲍蕾也很可爱啊            
(3星)	 电视剧            
(2星)	 无法直视。。跟怀玉公主一模一样的剧情。。            
(3星)	 以我当时智商觉得还可以            
(NA)	 小苏当时很缺钱吗 也没弄很帅 心疼... 这么糟糕的剧怪不得拍完就毅然转大叔了！            
(1星)	 给星是冲着白云飞和公主，不喜欢皇上，更不喜欢司徒静，爱情比国家比亲人还重要吗？自私鬼！            
(1星)	 整个抄怀玉格格啊            
(2星)	 真的很没意思，还特别长。            
(2星)	 堅決擁護懷玉公主！我真的很討厭張娜拉的演技啊！！！            
(1星)	 对于请外籍演员然后对口型这事我真是深恶痛绝，当年张娜拉还被评为最受观众欢迎的女演员？棒子说的。            
(2星)	 看到张娜拉我很烦也！！！            
(4星)	 喜欢白云飞，超级爱            
(1星)	 张娜拉 ……            
(4星)	 哈哈哈哈哈            
(2星)	 可以装可爱哦，不过别触动sb的民族情绪哦，你了的。不过张娜拉的头发发质怎么一直这么差。陕西台            
(NA)	 配音要配好 不配好 很糟糕的 为什么大陆的配音都这么糟蹋人的耳朵呢            
(3星)	 心想苏有朋怎么会演这种片子。            
(3星)	 - 哎。            
(NA)	 吐。。            
(3星)	 。。。            
(2星)	 抄袭怀玉公主            
(2星)	 非得整个韩国女银演中国公主然后别别扭扭对口型么            
(2星)	 昨天还看电视里在放。。。。            
(NA)	 偶尔吃饭时看的电视剧。。            
(NA)	 抄袭！            
(NA)	 此剧何以反复被播            
(3星)	 像怀玉公主  但是韩国人的夸张表演放到中国的电视剧还真让人不习惯            
(2星)	 韩国人表来抢占中国过气市场了。            
(1星)	 最讨厌请个韩国的来拍中国片子！            
(2星)	 原来抄袭怀玉公主，可是本来的也不怎么好看。编剧们都用一下脑子好不好。            
(1星)	 sb            
(2星)	 看过的 好没意思的古装剧... 不过妈妈还挺喜欢看的  说是 张娜拉挺可爱的.... 好吧            
(2星)	 剧情完全抄袭怀玉公主，就换了个朝代。。。            
(4星)	 很好            
(1星)	 看不下去。            
(3星)	 小时候一直以为张娜拉真的会讲中文...            
(1星)	 对于一部基本上完全抄袭怀玉格格的翻拍片，还换了名字换了背景……还拍的没有原版好。我觉得实在不值得我给好评。            
(2星)	 以后这种白痴戏你们都少拍拍。            
(2星)	 没什么，我只是讨厌这个棒子            
(3星)	 这个公主有点怪            
(1星)	 哼哼，据说这是抄袭《怀玉公主》的……切，找个韩国人来演中国公主！            
(1星)	 能不能给0分。张娜拉的嘴巴好恐怖。            
(3星)	 当初太多台放这个了····            
(1星)	 明目张胆的照抄台剧            
(4星)	 不知道为毛我就是待见张娜拉 陆毅老婆没有难看啊            
(NA)	 唉，这个貌似也看过。。。            
(1星)	 白腻熟烂到无以附加            
(2星)	 天啊啊啊 啊啊为什么            
(NA)	 有点闹得慌，最近还有很多卫视在播。。。            
(1星)	 讨厌死张ＸＸ了　抄袭怀玉公主            
(1星)	 怀玉的狗血版。喜欢白云飞。。。o(╯□╰)o            
(2星)	 缺钱还是前卫            
(3星)	 其实我对她师傅比较有爱。            
(2星)	 张娜拉说话和配音真的很别扭啊。还是比较喜欢第二男主角啊。            
(4星)	 很娱乐 张娜拉果然比较滑稽    对她的成见有所改观            
(3星)	 据说很搞笑确实很搞笑            
(1星)	 烂...            
(NA)	 抄袭！劣质！造型巨雷~            
(4星)	 很搞笑！！苏友朋好帅～            
(1星)	 抄袭 抄袭 恶心的抄袭            
(2星)	 演技挺烂            
(2星)	 劇情直接抄《懷玉公主》？            
(2星)	 无聊时看看的            
(3星)	 山寨怀钰。。            
(1星)	 小白剧            
(4星)	 做人要刁蛮好么= =            
(3星)	 抄袭怀玉公主太严重。。。            
(1星)	 不解释。。            
(2星)	 中国没人了咋的 非得用个韩国人            
(3星)	 超爱张娜拉~            
(NA)	 ………………………………………………            
